tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,45.00,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,18,50.22,12.83,8.17,255.00,6,0.160208,0.154496,0.149085,0.091161,29936
2000,20,45.95,12.95,8.25,255.00,6,0.153821,0.147688,0.140702,0.102033,30490
3000,20,45.95,12.95,8.25,255.00,6,0.153493,0.147625,0.140871,0.101859,30503
4000,20,45.95,12.95,8.25,255.00,6,0.153543,0.147572,0.140748,0.102428,30480
5000,20,45.95,12.95,8.25,255.00,6,0.153407,0.147636,0.140224,0.102151,30494
6000,20,45.95,12.95,8.25,255.00,6,0.153576,0.147572,0.139633,0.102362,30480
7000,19,47.32,12.89,8.21,255.00,6,0.158418,0.151744,0.141998,0.096934,30268
8000,18,45.94,12.83,8.17,255.00,5,0.163609,0.149638,0.142341,0.090039,30420
9000,24,31.79,13.12,8.38,255.00,6,0.163577,0.148148,0.146628,0.086728,30267
10000,25,28.36,13.16,8.40,255.00,7,0.164042,0.148861,0.144515,0.080249,29907
11000,32,20.94,13.34,8.53,255.00,8,0.164127,0.149161,0.144116,0.079978,29733
12000,28,25.96,13.25,8.46,255.00,7,0.164375,0.149326,0.144105,0.079509,29305
13000,28,25.32,13.25,8.46,255.00,7,0.163501,0.148692,0.143666,0.079874,29847
14000,25,29.00,13.16,8.40,255.00,6,0.163720,0.148799,0.143848,0.079755,29691
15000,28,25.50,13.25,8.46,255.00,7,0.163830,0.148863,0.143784,0.079477,29732
16000,25,32.20,13.16,8.40,255.00,7,0.168536,0.152576,0.144336,0.069519,28884
17000,28,27.93,13.25,8.46,255.00,7,0.168915,0.155214,0.145696,0.066102,28683
18000,34,22.44,13.38,8.56,255.00,7,0.168736,0.155379,0.145779,0.065915,28749
19000,31,26.48,13.32,8.52,255.00,7,0.169192,0.155470,0.145648,0.065859,28713
20000,29,28.03,13.28,8.48,255.00,7,0.168894,0.154938,0.145820,0.066019,28734
21000,30,26.47,13.30,8.50,255.00,7,0.170172,0.155139,0.144327,0.065990,28671
22000,30,26.90,13.30,8.50,255.00,7,0.169117,0.155354,0.145901,0.066069,28773
23000,29,29.86,13.28,8.48,255.00,8,0.168961,0.155159,0.145633,0.063899,28764
24000,29,27.55,13.28,8.48,255.00,8,0.169578,0.154913,0.145021,0.062567,28913
25000,29,28.69,13.28,8.48,255.00,8,0.169198,0.155576,0.145985,0.062133,28777
26000,32,26.19,13.34,8.53,255.00,8,0.169207,0.155252,0.145890,0.061704,28734
27000,30,27.73,13.30,8.50,255.00,8,0.168810,0.155185,0.145997,0.062337,28843
28000,27,29.81,13.22,8.44,255.00,8,0.168914,0.155084,0.145771,0.062444,28778
29000,30,28.03,13.30,8.50,255.00,8,0.169373,0.155986,0.146041,0.061650,28759
30000,29,30.41,13.28,8.48,255.00,8,0.169566,0.155613,0.145870,0.062008,28738
31000,29,28.86,13.28,8.48,255.00,8,0.168927,0.155263,0.145968,0.062459,28835
32000,28,28.93,13.25,8.46,255.00,8,0.169128,0.155335,0.146058,0.062016,28783
33000,29,29.62,13.28,8.48,255.00,8,0.169064,0.155407,0.146107,0.061679,28924
34000,31,26.84,13.32,8.52,255.00,8,0.168930,0.155174,0.146038,0.061938,28787
35000,33,25.36,13.36,8.55,255.00,8,0.169142,0.155157,0.145718,0.062326,28816
36000,28,29.54,13.25,8.46,255.00,8,0.169077,0.155379,0.146061,0.062200,28762
37000,29,29.14,13.28,8.48,255.00,8,0.169096,0.155421,0.146154,0.061953,28812
38000,30,27.33,13.30,8.50,255.00,8,0.169113,0.155408,0.145727,0.062385,28821
39000,30,27.97,13.30,8.50,255.00,8,0.171418,0.155647,0.146157,0.060186,28661
40000,30,28.73,13.30,8.50,255.00,8,0.174777,0.155609,0.146237,0.057399,28276
41000,28,32.93,13.25,8.46,255.00,8,0.174642,0.155656,0.146233,0.057312,28441
42000,28,31.43,13.25,8.46,255.00,8,0.174210,0.155396,0.146253,0.057671,28437
43000,31,27.61,13.32,8.52,255.00,8,0.174462,0.155838,0.146175,0.057486,28459
44000,27,33.22,13.22,8.44,255.00,8,0.174658,0.155689,0.146240,0.057716,28467
45000,28,31.89,13.25,8.46,255.00,8,0.174750,0.155632,0.145966,0.057533,28349
46000,31,27.65,13.32,8.52,255.00,8,0.174247,0.155506,0.146276,0.057521,28494
47000,30,28.50,13.30,8.50,255.00,8,0.174870,0.156461,0.146355,0.056747,28301
48000,27,32.78,13.22,8.44,255.00,8,0.174348,0.155484,0.146315,0.057894,28466
49000,26,32.65,13.19,8.42,255.00,8,0.174475,0.155566,0.145970,0.057678,28451
50000,29,30.03,13.28,8.48,255.00,8,0.174532,0.155824,0.146434,0.057533,28436
51000,31,28.13,13.32,8.52,255.00,8,0.174139,0.155692,0.146100,0.057484,28460
52000,25,35.28,13.16,8.40,255.00,8,0.174834,0.155479,0.146030,0.057643,28364
53000,27,31.85,13.22,8.44,255.00,8,0.174445,0.155257,0.146331,0.057527,28456
54000,31,28.68,13.32,8.52,255.00,8,0.174517,0.155746,0.146078,0.057373,28341
55000,30,29.93,13.30,8.50,255.00,8,0.174661,0.155622,0.146542,0.057294,28415
56000,27,33.59,13.22,8.44,255.00,8,0.174472,0.155528,0.146303,0.057606,28400
57000,29,29.72,13.28,8.48,255.00,8,0.174538,0.155633,0.145934,0.057910,28458
58000,31,29.32,13.32,8.52,255.00,8,0.174561,0.155938,0.146240,0.057133,28460
59000,28,30.96,13.25,8.46,255.00,8,0.174327,0.155527,0.145899,0.057734,28458
60000,28,30.93,13.25,8.46,255.00,8,0.174651,0.155574,0.146422,0.057513,28411
