tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,5.50,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,12,767.00,4.25,776.83,253.25,3778,3810,514,13987,0.270108,0.272396,0.036748,0.165434,0.000000,5
2000,12,796.42,4.25,1620.83,254.50,3452,3627,288,12018,0.287236,0.301797,0.023964,0.000000,0.000000,14
3000,12,821.33,4.25,2447.50,253.58,3452,3619,290,12020,0.287188,0.301082,0.024126,0.000000,0.000000,24
4000,12,840.25,4.25,3274.17,252.42,3462,3618,288,12020,0.288020,0.300998,0.023960,0.000000,0.000000,34
5000,12,841.67,4.25,4118.17,254.83,3452,3629,288,12018,0.287236,0.301964,0.023964,0.000000,0.000000,43
6000,12,838.75,4.25,4944.83,253.92,3452,3619,288,12020,0.287188,0.301082,0.023960,0.000000,0.000000,53
7000,12,838.25,4.25,5771.50,252.75,3460,3618,290,12020,0.287854,0.300998,0.024126,0.000000,0.000000,63
8000,12,839.83,4.25,6615.50,254.00,3452,3627,288,12018,0.287236,0.301797,0.023964,0.000000,0.000000,72
9000,12,838.42,4.25,7442.17,254.25,3454,3621,288,12020,0.287354,0.301248,0.023960,0.000000,0.000000,82
10000,11,914.09,3.91,9030.91,253.18,3386,3548,222,11530,0.293669,0.307719,0.019254,0.000000,0.000000,91
11000,11,911.45,3.91,9936.36,254.55,3308,3483,144,11010,0.300454,0.316349,0.013079,0.000000,0.000000,101
12000,11,909.55,3.91,10841.82,253.73,3308,3475,145,11010,0.300454,0.315622,0.013170,0.000000,0.000000,111
13000,11,914.00,3.91,11756.73,252.73,3317,3474,144,11009,0.301299,0.315560,0.013080,0.000000,0.000000,120
14000,11,911.27,3.91,12662.18,254.73,3308,3484,144,11010,0.300454,0.316440,0.013079,0.000000,0.000000,130
15000,11,912.18,3.91,13577.09,254.00,3308,3475,144,11009,0.300481,0.315651,0.013080,0.000000,0.000000,139
16000,11,912.91,3.91,14482.55,252.91,3316,3474,145,11010,0.301181,0.315531,0.013170,0.000000,0.000000,149
17000,11,911.18,3.91,15388.00,254.27,3309,3483,144,11010,0.300545,0.316349,0.013079,0.000000,0.000000,159
18000,11,912.00,3.91,16302.91,254.18,3308,3476,144,11009,0.300481,0.315742,0.013080,0.000000,0.000000,168
19000,11,912.73,3.91,17208.36,253.09,3316,3474,144,11010,0.301181,0.315531,0.013079,0.000000,0.000000,178
20000,11,910.09,3.91,18113.82,254.45,3308,3483,145,11010,0.300454,0.316349,0.013170,0.000000,0.000000,188
21000,11,911.00,3.91,19028.73,253.73,3308,3475,144,11009,0.300481,0.315651,0.013080,0.000000,0.000000,197
22000,11,912.55,3.91,19934.18,253.27,3317,3475,144,11010,0.301272,0.315622,0.013079,0.000000,0.000000,207
23000,11,912.73,3.91,20849.09,254.73,3308,3483,144,11009,0.300481,0.316378,0.013080,0.000000,0.000000,216
24000,11,910.82,3.91,21754.55,253.91,3308,3475,144,11010,0.300454,0.315622,0.013079,0.000000,0.000000,226
25000,11,911.55,3.91,22660.00,252.82,3316,3474,145,11010,0.301181,0.315531,0.013170,0.000000,0.000000,236
26000,11,912.64,3.91,23574.91,254.27,3309,3483,144,11009,0.300572,0.316378,0.013080,0.000000,0.000000,245
27000,11,910.64,3.91,24480.36,254.09,3308,3476,144,11010,0.300454,0.315713,0.013079,0.000000,0.000000,255
28000,11,914.18,3.91,25395.27,253.09,3316,3474,144,11009,0.301208,0.315560,0.013080,0.000000,0.000000,264
29000,11,911.55,3.91,26300.73,254.45,3308,3483,145,11010,0.300454,0.316349,0.013170,0.000000,0.000000,274
30000,11,934.36,3.91,27253.45,254.18,3321,3488,66,11005,0.301772,0.316947,0.005997,0.000000,0.000000,279
31000,11,981.27,3.91,28253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
32000,11,997.64,3.91,29253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
33000,11,997.18,3.91,30253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
34000,11,998.82,3.91,31253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
35000,11,997.64,3.91,32253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
36000,11,997.18,3.91,33253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
37000,11,998.82,3.91,34253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
38000,11,997.64,3.91,35253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
39000,11,997.18,3.91,36253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
40000,11,998.82,3.91,37253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
41000,11,997.64,3.91,38253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
42000,11,997.18,3.91,39253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
43000,11,998.82,3.91,40253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
44000,11,997.64,3.91,41253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
45000,11,997.18,3.91,42253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
46000,11,998.82,3.91,43253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
47000,11,997.64,3.91,44253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
48000,11,997.18,3.91,45253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
49000,11,998.82,3.91,46253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
50000,11,997.64,3.91,47253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
51000,11,997.18,3.91,48253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
52000,11,998.82,3.91,49253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
53000,11,997.64,3.91,50253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
54000,11,997.18,3.91,51253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
55000,11,998.82,3.91,52253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
56000,11,997.64,3.91,53253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
57000,11,997.18,3.91,54253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
58000,11,998.82,3.91,55253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
59000,11,997.64,3.91,56253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
60000,11,997.18,3.91,57253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
61000,11,998.82,3.91,58253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
62000,11,997.64,3.91,59253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
63000,11,997.18,3.91,60253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
64000,11,998.82,3.91,61253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
65000,11,997.64,3.91,62253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
66000,11,997.18,3.91,63253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
67000,11,998.82,3.91,64253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
68000,11,997.64,3.91,65253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
69000,11,997.18,3.91,66253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
70000,11,998.82,3.91,67253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
71000,11,997.64,3.91,68253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
72000,11,997.18,3.91,69253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
73000,11,998.82,3.91,70253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
74000,11,997.64,3.91,71253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
75000,11,997.18,3.91,72253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
76000,11,998.82,3.91,73253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
77000,11,997.64,3.91,74253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
78000,11,997.18,3.91,75253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
79000,11,998.82,3.91,76253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
80000,11,997.64,3.91,77253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
81000,11,997.18,3.91,78253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
82000,11,998.82,3.91,79253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
83000,11,997.64,3.91,80253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
84000,11,997.18,3.91,81253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
85000,11,998.82,3.91,82253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
86000,11,997.64,3.91,83253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
87000,11,997.18,3.91,84253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
88000,11,998.82,3.91,85253.45,252.91,3338,3496,0,11000,0.303455,0.317818,0.000000,0.000000,0.000000,279
89000,11,997.64,3.91,86253.45,254.64,3331,3506,0,11000,0.302818,0.318727,0.000000,0.000000,0.000000,279
90000,11,997.18,3.91,87253.45,254.18,3331,3498,0,11000,0.302818,0.318000,0.000000,0.000000,0.000000,279
