tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,5.50,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,20,527.00,5.50,537.50,255.00,5330,5320,1425,23275,0.229001,0.228571,0.061224,0.174051,0.000000,6
2000,20,521.50,5.50,1017.50,255.00,4775,4780,1445,20100,0.237562,0.237811,0.071891,0.000000,0.000000,16
3000,20,529.25,5.50,1549.50,255.00,4770,4775,1440,20090,0.237432,0.237680,0.071677,0.000000,0.000000,25
4000,20,526.00,5.50,2029.50,255.00,4785,4775,1440,20100,0.238060,0.237562,0.071642,0.000000,0.000000,35
5000,20,518.00,5.50,2509.50,255.00,4770,4780,1445,20100,0.237313,0.237811,0.071891,0.000000,0.000000,45
6000,19,550.74,5.37,3197.26,255.00,4638,4642,1312,19194,0.241638,0.241846,0.068355,0.000000,0.000000,54
7000,19,548.05,5.37,3704.63,255.00,4641,4631,1300,19090,0.243112,0.242588,0.068098,0.000000,0.000000,64
8000,19,542.26,5.37,4212.00,255.00,4630,4640,1296,19090,0.242535,0.243059,0.067889,0.000000,0.000000,74
9000,19,549.79,5.37,4768.63,255.00,4626,4626,1296,19081,0.242440,0.242440,0.067921,0.000000,0.000000,83
10000,19,544.74,5.37,5276.00,255.00,4636,4626,1301,19090,0.242850,0.242326,0.068151,0.000000,0.000000,93
11000,19,554.37,5.37,5832.63,255.00,4631,4636,1300,19081,0.242702,0.242964,0.068131,0.000000,0.000000,102
12000,19,549.05,5.37,6340.00,255.00,4630,4631,1296,19090,0.242535,0.242588,0.067889,0.000000,0.000000,112
13000,19,582.42,5.37,6885.68,255.00,4677,4523,1190,19083,0.245087,0.237017,0.062359,0.000000,0.000000,122
14000,19,607.00,5.37,7502.53,255.00,4689,4499,1115,19070,0.245884,0.235920,0.058469,0.000000,0.000000,131
15000,19,628.89,5.37,8119.37,255.00,4707,4504,1012,19070,0.246827,0.236182,0.053068,0.000000,0.000000,141
16000,19,654.05,5.37,8772.74,255.00,4716,4479,1008,19064,0.247377,0.234945,0.052875,0.000000,0.000000,151
17000,19,658.00,5.37,9406.26,255.00,4717,4382,956,19072,0.247326,0.229761,0.050126,0.000000,0.000000,166
18000,19,702.95,5.37,10114.42,255.00,4742,4383,768,19055,0.248859,0.230018,0.040304,0.000000,0.000000,171
19000,19,750.68,5.37,10868.11,255.00,4761,4384,720,19045,0.249987,0.230192,0.037805,0.000000,0.000000,179
20000,19,746.89,5.37,11594.42,255.00,4752,4395,723,19050,0.249449,0.230709,0.037953,0.000000,0.000000,189
21000,19,794.37,5.37,12353.58,255.00,4870,4400,630,19044,0.255724,0.231044,0.033081,0.000000,0.000000,199
22000,19,799.84,5.37,13156.53,255.00,4950,4406,576,19036,0.260034,0.231456,0.030258,0.000000,0.000000,208
23000,19,795.95,5.37,13937.58,255.00,4940,4416,578,19040,0.259454,0.231933,0.030357,0.000000,0.000000,218
24000,19,799.63,5.37,14740.53,255.00,4940,4406,578,19036,0.259508,0.231456,0.030364,0.000000,0.000000,227
25000,19,819.00,5.37,15559.89,255.00,4969,4425,464,19033,0.261073,0.232491,0.024379,0.000000,0.000000,237
26000,19,842.21,5.37,16395.68,255.00,4963,4441,432,19030,0.260799,0.233368,0.022701,0.000000,0.000000,247
27000,19,847.89,5.37,17247.89,255.00,4961,4429,433,19027,0.260735,0.232774,0.022757,0.000000,0.000000,256
28000,19,847.89,5.37,18083.68,255.00,4973,4428,434,19030,0.261324,0.232685,0.022806,0.000000,0.000000,266
29000,19,849.68,5.37,18935.89,255.00,4963,4440,432,19027,0.260840,0.233353,0.022705,0.000000,0.000000,275
30000,19,847.58,5.37,19771.68,255.00,4963,4431,432,19030,0.260799,0.232843,0.022701,0.000000,0.000000,285
31000,19,847.05,5.37,20607.47,255.00,4972,4428,433,19030,0.261272,0.232685,0.022754,0.000000,0.000000,295
32000,19,848.89,5.37,21459.68,255.00,4963,4439,432,19027,0.260840,0.233300,0.022705,0.000000,0.000000,304
33000,19,846.32,5.37,22295.47,255.00,4962,4430,434,19030,0.260746,0.232790,0.022806,0.000000,0.000000,314
34000,19,846.74,5.37,23131.26,255.00,4974,4430,432,19030,0.261377,0.232790,0.022701,0.000000,0.000000,324
35000,19,848.58,5.37,23983.47,255.00,4963,4439,432,19027,0.260840,0.233300,0.022705,0.000000,0.000000,333
36000,19,845.53,5.37,24819.26,255.00,4961,4429,433,19030,0.260694,0.232738,0.022754,0.000000,0.000000,343
37000,19,850.42,5.37,25671.47,255.00,4973,4428,434,19027,0.261365,0.232722,0.022810,0.000000,0.000000,352
38000,19,848.37,5.37,26507.26,255.00,4965,4440,432,19030,0.260904,0.233316,0.022701,0.000000,0.000000,362
39000,19,845.21,5.37,27343.05,255.00,4961,4431,432,19030,0.260694,0.232843,0.022701,0.000000,0.000000,372
40000,19,849.58,5.37,28195.26,255.00,4972,4428,433,19027,0.261313,0.232722,0.022757,0.000000,0.000000,381
41000,19,847.05,5.37,29031.05,255.00,4964,4439,434,19030,0.260851,0.233263,0.022806,0.000000,0.000000,391
42000,19,848.84,5.37,29883.26,255.00,4961,4430,432,19027,0.260735,0.232827,0.022705,0.000000,0.000000,400
43000,19,849.26,5.37,30719.05,255.00,4974,4430,432,19030,0.261377,0.232790,0.022701,0.000000,0.000000,410
44000,19,846.21,5.37,31554.84,255.00,4963,4439,433,19030,0.260799,0.233263,0.022754,0.000000,0.000000,420
45000,19,848.05,5.37,32407.05,255.00,4961,4429,432,19027,0.260735,0.232774,0.022705,0.000000,0.000000,429
46000,19,848.00,5.37,33242.84,255.00,4973,4429,434,19030,0.261324,0.232738,0.022806,0.000000,0.000000,439
47000,19,845.89,5.37,34078.63,255.00,4965,4441,432,19030,0.260904,0.233368,0.022701,0.000000,0.000000,449
48000,19,847.74,5.37,34930.84,255.00,4961,4429,432,19027,0.260735,0.232774,0.022705,0.000000,0.000000,458
49000,19,847.21,5.37,35766.63,255.00,4972,4428,433,19030,0.261272,0.232685,0.022754,0.000000,0.000000,468
50000,19,849.58,5.37,36618.84,255.00,4964,4439,434,19027,0.260892,0.233300,0.022810,0.000000,0.000000,477
51000,19,848.00,5.37,37454.63,255.00,4964,4431,425,19030,0.260851,0.232843,0.022333,0.000000,0.000000,487
52000,19,874.58,5.37,38345.16,255.00,4995,4453,288,19020,0.262618,0.234122,0.015142,0.000000,0.000000,497
53000,19,898.26,5.37,39246.63,255.00,4985,4461,288,19018,0.262120,0.234567,0.015144,0.000000,0.000000,506
54000,100,983.69,7.50,8193.12,255.00,22223,4326,7946,74593,0.297923,0.057995,0.106525,0.539130,0.000000,520
55000,100,991.52,7.50,9193.12,255.00,30015,4306,11485,100000,0.300150,0.043060,0.114850,0.000000,0.000000,520
56000,100,996.39,7.50,10193.12,255.00,29993,4316,11482,100000,0.299930,0.043160,0.114820,0.000000,0.000000,520
57000,100,997.67,7.50,11193.12,255.00,29994,4307,11488,100000,0.299940,0.043070,0.114880,0.000000,0.000000,520
58000,100,997.99,7.50,12193.12,255.00,30009,4306,11481,100000,0.300090,0.043060,0.114810,0.000000,0.000000,520
59000,100,997.77,7.50,13193.12,255.00,30003,4315,11476,100000,0.300030,0.043150,0.114760,0.000000,0.000000,520
60000,100,997.78,7.50,14193.12,255.00,30002,4307,11482,100000,0.300020,0.043070,0.114820,0.000000,0.000000,520
61000,100,998.17,7.50,15193.12,255.00,30016,4306,11481,100000,0.300160,0.043060,0.114810,0.000000,0.000000,520
62000,100,998.31,7.50,16193.12,255.00,30005,4316,11485,100000,0.300050,0.043160,0.114850,0.000000,0.000000,520
63000,100,997.98,7.50,17193.12,255.00,29992,4307,11482,100000,0.299920,0.043070,0.114820,0.000000,0.000000,520
64000,100,998.01,7.50,18193.12,255.00,30005,4306,11488,100000,0.300050,0.043060,0.114880,0.000000,0.000000,520
65000,100,997.79,7.50,19193.12,255.00,29999,4316,11481,100000,0.299990,0.043160,0.114810,0.000000,0.000000,520
66000,100,997.63,7.50,20193.12,255.00,30002,4306,11476,100000,0.300020,0.043060,0.114760,0.000000,0.000000,520
67000,100,998.12,7.50,21193.12,255.00,30013,4306,11482,100000,0.300130,0.043060,0.114820,0.000000,0.000000,520
