tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,112.50,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,11,114.09,13.36,8.55,255.00,36,0.151168,0.146852,0.140432,0.095060,28035
2000,15,94.53,13.53,8.67,255.00,45,0.148191,0.143101,0.137066,0.092710,27505
3000,10,134.00,13.30,8.50,255.00,45,0.147894,0.143306,0.137562,0.087927,27682
4000,12,114.58,13.42,8.58,255.00,45,0.148236,0.143430,0.138299,0.089188,27672
5000,17,78.76,13.59,8.71,255.00,45,0.148385,0.143708,0.137898,0.090434,27368
6000,26,58.65,13.73,8.81,255.00,45,0.149453,0.144832,0.139714,0.081035,28136
7000,25,66.04,13.72,8.80,255.00,45,0.147781,0.143459,0.138435,0.078985,28461
8000,23,71.87,13.70,8.78,255.00,45,0.147013,0.142922,0.138553,0.080060,28841
9000,25,64.76,13.72,8.80,255.00,45,0.147302,0.143448,0.138332,0.079187,28540
10000,15,111.20,13.53,8.67,255.00,45,0.147234,0.142877,0.138032,0.078741,28689
11000,20,88.35,13.65,8.75,255.00,45,0.147319,0.148292,0.138450,0.076024,28754
12000,27,63.78,13.74,8.81,255.00,45,0.147337,0.148312,0.139010,0.075428,28703
13000,30,60.80,13.77,8.83,255.00,45,0.147024,0.148446,0.138492,0.073252,28832
14000,29,61.10,13.76,8.83,255.00,45,0.147209,0.148637,0.138400,0.071516,28721
15000,31,58.81,13.77,8.84,255.00,45,0.147000,0.148312,0.137989,0.071843,28966
16000,28,63.82,13.75,8.82,255.00,45,0.146760,0.148351,0.138668,0.071928,28918
17000,30,60.13,13.77,8.83,255.00,45,0.147024,0.148318,0.138316,0.071798,28594
18000,32,53.91,13.78,8.84,255.00,45,0.146641,0.148662,0.138695,0.072066,28696
19000,28,65.11,13.75,8.82,255.00,45,0.147245,0.147869,0.138172,0.071891,28877
20000,29,59.83,13.76,8.83,255.00,45,0.147199,0.148384,0.138206,0.071700,28689
21000,19,95.79,13.63,8.74,255.00,45,0.146590,0.148076,0.138329,0.072448,28931
