tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,112.50,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,7,139.86,13.00,8.29,184.14,18,0.151799,0.148771,0.141419,0.096796,25435
2000,7,139.71,13.00,8.29,156.57,26,0.146253,0.145505,0.137609,0.104484,24061
3000,7,139.71,13.00,8.29,156.57,34,0.146072,0.145697,0.137237,0.104397,23995
4000,7,139.71,13.00,8.29,156.57,42,0.146244,0.146202,0.137301,0.103985,24042
5000,7,139.71,13.00,8.29,156.57,50,0.146331,0.145832,0.137295,0.104148,24014
6000,7,139.71,13.00,8.29,156.57,58,0.146318,0.145985,0.137285,0.103859,24023
7000,7,139.71,13.00,8.29,156.57,66,0.146114,0.145574,0.137353,0.103720,24084
8000,7,139.71,13.00,8.29,156.57,74,0.145782,0.145284,0.137660,0.103058,24132
9000,7,139.71,13.00,8.29,156.57,82,0.146155,0.146030,0.137195,0.104147,23995
10000,7,139.71,13.00,8.29,156.57,90,0.146058,0.144935,0.137703,0.103496,24059
11000,7,139.71,13.00,8.29,156.57,98,0.145822,0.145697,0.137320,0.104563,23995
12000,7,139.71,13.00,8.29,156.57,106,0.146239,0.146030,0.137362,0.104272,23995
13000,7,139.71,13.00,8.29,156.57,114,0.145854,0.146063,0.137054,0.104438,23976
14000,7,139.71,13.00,8.29,156.57,122,0.146015,0.145556,0.137382,0.104267,23977
15000,7,139.71,13.00,8.29,156.57,130,0.146313,0.145896,0.137221,0.104313,23976
16000,7,139.71,13.00,8.29,156.57,138,0.146135,0.146010,0.137573,0.103450,24060
17000,7,139.71,13.00,8.29,156.57,146,0.146057,0.146182,0.137522,0.103880,24018
18000,7,139.71,13.00,8.29,156.57,154,0.145911,0.144996,0.120373,0.103943,24042
19000,7,139.71,13.00,8.29,156.57,162,0.145995,0.145995,0.075160,0.103694,24042
20000,7,139.71,13.00,8.29,160.00,170,0.146274,0.145526,0.074677,0.103632,24037
21000,7,139.71,13.00,8.29,157.71,178,0.145869,0.145786,0.074205,0.104496,24001
22000,7,139.71,13.00,8.29,156.57,186,0.146476,0.145605,0.074378,0.103317,24120
23000,7,139.71,13.00,8.29,156.57,194,0.146277,0.145859,0.074413,0.104579,23934
24000,8,134.88,13.12,8.38,162.50,202,0.146643,0.147308,0.074900,0.102941,24072
25000,6,138.83,12.83,8.17,157.33,215,0.147127,0.145135,0.015443,0.103952,24088
26000,7,131.29,13.00,8.29,162.86,231,0.147195,0.145822,0.010814,0.102317,24043
27000,6,138.83,12.83,8.17,132.00,247,0.147082,0.145122,0.010679,0.104451,23973
28000,7,139.71,13.00,8.29,115.43,263,0.147581,0.145415,0.010785,0.103065,24014
29000,6,138.83,12.83,8.17,132.00,279,0.145725,0.145683,0.010347,0.104296,24162
30000,6,138.83,12.83,8.17,132.00,295,0.145591,0.145260,0.010621,0.104719,24198
31000,6,138.83,12.83,8.17,132.00,311,0.145540,0.145292,0.010549,0.104998,24172
32000,6,138.83,12.83,8.17,132.00,327,0.145597,0.145473,0.010459,0.104671,24190
33000,6,138.83,12.83,8.17,118.67,343,0.146104,0.145728,0.010445,0.102904,23935
34000,10,84.90,13.30,8.50,180.00,360,0.146061,0.145400,0.010327,0.104465,24209
35000,11,90.55,13.36,8.55,194.36,376,0.145288,0.145288,0.010325,0.105559,24214
36000,11,91.27,13.36,8.55,208.09,385,0.145747,0.144873,0.010405,0.105044,24028
37000,10,99.60,13.30,8.50,187.20,392,0.145267,0.144605,0.010624,0.105043,24190
38000,11,90.55,13.36,8.55,172.55,408,0.145261,0.145137,0.010449,0.105397,24308
39000,11,90.55,13.36,8.55,172.55,424,0.145489,0.145199,0.010723,0.105784,24153
40000,10,98.90,13.30,8.50,167.30,440,0.145551,0.145427,0.010385,0.105799,24074
41000,11,90.55,13.36,8.55,172.55,456,0.145350,0.145681,0.010338,0.105363,24183
42000,11,90.55,13.36,8.55,172.55,472,0.145706,0.145416,0.010343,0.105328,24172
43000,11,90.55,13.36,8.55,172.55,488,0.145517,0.145311,0.010297,0.104617,24279
44000,11,90.55,13.36,8.55,172.55,504,0.145747,0.145458,0.010343,0.104998,24172
45000,11,90.55,13.36,8.55,172.55,520,0.145277,0.145443,0.010546,0.105252,24085
46000,11,90.55,13.36,8.55,172.55,536,0.145623,0.145375,0.010343,0.105287,24172
47000,8,122.50,13.12,8.38,152.50,552,0.148142,0.147133,0.010594,0.104086,23788
48000,8,122.50,13.12,8.38,157.50,568,0.145410,0.146277,0.010319,0.104714,24228
49000,11,90.55,13.36,8.55,182.73,584,0.145582,0.144922,0.010322,0.105739,24220
50000,8,104.75,13.12,8.38,175.12,596,0.145471,0.145471,0.010326,0.104870,24211
51000,7,119.29,13.00,8.29,174.29,606,0.145515,0.145350,0.010311,0.105053,24245
52000,7,119.29,13.00,8.29,146.86,620,0.145369,0.145493,0.010378,0.105382,24283
53000,7,119.29,13.00,8.29,146.86,636,0.145528,0.145734,0.010359,0.105370,24229
54000,7,119.29,13.00,8.29,146.86,652,0.145858,0.145487,0.010318,0.105576,24229
55000,8,122.12,13.12,8.38,142.75,668,0.146211,0.145470,0.010297,0.104572,24280
56000,7,119.29,13.00,8.29,146.86,684,0.146410,0.145704,0.010547,0.104472,24083
57000,8,122.50,13.12,8.38,129.50,700,0.144863,0.145893,0.010789,0.105333,24285
