tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,11.00,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,10,7.70,7.00,4.00,254.00,0,0.248506,0.247723,0.247723,0.000000,10209
2000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
3000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
4000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
5000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
6000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
7000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
8000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
9000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
10000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
11000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
12000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
13000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
14000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
15000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
16000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
17000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
18000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
19000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
20000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
21000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
22000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
23000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
24000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
25000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
26000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
27000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
28000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
29000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
30000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
31000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
32000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
33000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
34000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
35000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
36000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
37000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
38000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
39000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
40000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
41000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
42000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
43000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
44000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
45000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
46000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
47000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
48000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
49000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
50000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
51000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
52000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
53000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
54000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
55000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
56000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
57000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
58000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
59000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
60000,10,7.70,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,10000
