tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,45.00,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,18,50.50,12.83,8.17,255.00,6,0.165080,0.156819,0.151677,0.083966,30143
2000,19,47.47,12.89,8.21,255.00,7,0.160745,0.147429,0.142320,0.093078,30340
3000,19,46.58,12.89,8.21,255.00,7,0.163334,0.147754,0.142406,0.090818,30104
4000,26,27.92,13.19,8.42,255.00,8,0.161767,0.147573,0.142918,0.084546,30717
5000,22,34.68,13.05,8.32,255.00,11,0.184932,0.148182,0.119519,0.080830,30422
6000,24,32.92,13.12,8.38,255.00,9,0.183855,0.148019,0.120904,0.080788,30611
7000,24,32.29,13.12,8.38,255.00,9,0.176957,0.147851,0.127760,0.080687,30612
8000,33,22.67,13.36,8.55,255.00,8,0.179110,0.148265,0.127577,0.074962,29535
9000,28,26.32,13.25,8.46,255.00,8,0.181800,0.148810,0.125081,0.074354,29373
10000,28,27.25,13.25,8.46,255.00,8,0.176119,0.148611,0.130340,0.074136,29446
11000,30,23.90,13.30,8.50,255.00,8,0.183741,0.151856,0.122956,0.069885,28132
12000,31,24.16,13.32,8.52,255.00,8,0.183626,0.153016,0.123968,0.067583,27507
13000,27,28.56,13.22,8.44,255.00,8,0.184022,0.153242,0.124215,0.065613,27388
14000,28,29.07,13.25,8.46,255.00,8,0.183290,0.153215,0.124344,0.062664,27432
15000,30,27.37,13.30,8.50,255.00,8,0.182086,0.152933,0.125455,0.058888,27476
16000,31,27.90,13.32,8.52,255.00,8,0.183544,0.154590,0.127855,0.055980,27492
17000,29,29.34,13.28,8.48,255.00,8,0.187787,0.154667,0.127960,0.052102,27446
18000,21,40.86,13.00,8.29,255.00,8,0.187331,0.153073,0.126317,0.054141,27059
19000,26,32.42,13.19,8.42,255.00,8,0.187599,0.152956,0.125818,0.054350,27047
20000,31,27.81,13.32,8.52,255.00,8,0.187341,0.152792,0.126261,0.054281,27063
21000,27,31.52,13.22,8.44,255.00,8,0.187657,0.153134,0.126167,0.053971,26996
22000,30,30.03,13.30,8.50,255.00,8,0.187042,0.152639,0.126119,0.054109,27149
