tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,118.75,13.75,8.75,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,13,92.77,14.15,9.08,255.00,15,0.143726,0.139036,0.134312,0.086188,29424
2000,14,76.07,15.00,9.64,255.00,33,0.146697,0.137738,0.132306,0.092342,28351
3000,17,68.59,15.35,9.88,255.00,34,0.176480,0.132573,0.127494,0.068253,30519
4000,10,107.70,14.80,9.50,255.00,31,0.178445,0.132465,0.127021,0.065844,30861
5000,18,67.00,14.78,9.50,255.00,37,0.176762,0.133121,0.129085,0.067233,30476
6000,16,74.75,15.06,9.69,255.00,39,0.178515,0.132315,0.132734,0.065351,31017
7000,16,76.38,15.25,9.81,255.00,47,0.170385,0.137445,0.136335,0.072238,29721
8000,15,81.00,15.13,9.73,255.00,49,0.173658,0.136450,0.135282,0.069476,29967
9000,15,78.67,15.13,9.73,255.00,52,0.172591,0.135940,0.136208,0.070988,29822
10000,10,107.10,14.50,9.30,255.00,57,0.174051,0.136231,0.136064,0.069386,29905
11000,16,82.38,15.25,9.81,255.00,62,0.171111,0.136841,0.136132,0.072189,29589
12000,15,79.07,15.53,10.00,255.00,66,0.173135,0.136557,0.135991,0.069560,30046
13000,17,75.18,15.18,9.76,255.00,70,0.173528,0.136269,0.135969,0.069371,29926
14000,10,113.30,14.20,9.10,255.00,71,0.170238,0.137155,0.135983,0.070352,29864
15000,26,53.58,14.65,9.42,255.00,74,0.168774,0.137588,0.136012,0.071158,29821
16000,23,58.13,15.00,9.65,255.00,81,0.165991,0.137384,0.135783,0.073971,29363
17000,19,63.42,13.95,8.95,255.00,87,0.165086,0.137985,0.136149,0.075113,29409
18000,17,78.12,14.65,9.41,255.00,93,0.163129,0.139077,0.137017,0.077114,28646
19000,19,76.42,15.21,9.79,255.00,100,0.165703,0.137681,0.136073,0.073904,29227
20000,17,82.35,13.94,8.94,255.00,97,0.160548,0.139879,0.136558,0.078826,28303
21000,21,61.90,13.95,8.95,255.00,97,0.151653,0.142368,0.137125,0.086877,27464
22000,22,58.18,13.95,8.95,255.00,97,0.151652,0.143483,0.137282,0.089194,26930
23000,13,100.46,13.92,8.92,255.00,97,0.151525,0.142868,0.136950,0.090119,27375
24000,14,97.71,13.93,8.93,255.00,97,0.152466,0.143069,0.137015,0.089845,26924
25000,19,75.79,13.95,8.95,255.00,97,0.152720,0.143740,0.137558,0.089387,27174
26000,14,107.00,13.93,8.93,255.00,97,0.153138,0.144923,0.139117,0.086099,27387
27000,15,99.47,13.93,8.93,255.00,97,0.154012,0.144763,0.139719,0.085798,27355
