tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,45.00,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,21,44.81,13.00,8.29,132.57,22,0.163754,0.158649,0.153543,0.090439,28207
2000,14,52.21,12.50,7.93,127.57,31,0.154919,0.146287,0.141534,0.104316,28615
3000,13,51.08,12.38,7.85,172.23,43,0.155162,0.146277,0.141433,0.104324,28699
4000,21,39.43,13.00,8.29,163.29,60,0.187067,0.141670,0.136431,0.099204,29011
5000,24,24.96,13.08,8.38,184.29,67,0.241117,0.133305,0.123889,0.090718,30479
6000,18,33.17,12.78,8.17,169.28,71,0.244046,0.132880,0.132379,0.087919,29982
7000,17,33.65,12.71,8.12,156.65,79,0.244314,0.133327,0.132853,0.087327,29544
8000,20,29.55,12.90,8.25,164.80,86,0.244041,0.133101,0.132733,0.087975,29872
9000,21,27.52,12.95,8.29,167.57,92,0.244127,0.133209,0.132308,0.087727,29968
10000,20,42.05,12.90,8.25,164.50,99,0.262860,0.133113,0.132709,0.087766,29704
11000,18,48.39,12.78,8.17,167.50,103,0.297563,0.133475,0.130686,0.087323,30118
12000,20,42.70,12.90,8.25,150.35,112,0.302708,0.132778,0.131824,0.087663,30389
13000,19,50.00,12.84,8.21,143.47,120,0.309758,0.133506,0.132015,0.087216,30201
14000,19,44.00,12.84,8.21,137.84,128,0.324300,0.133415,0.131531,0.087676,30259
15000,19,43.26,12.84,8.21,161.89,136,0.329051,0.133757,0.132259,0.087197,30047
16000,17,47.41,12.71,8.12,147.65,146,0.328766,0.133158,0.131716,0.087723,30505
17000,19,43.00,12.84,8.21,156.53,154,0.329305,0.133827,0.131669,0.086983,30121
18000,19,44.58,12.84,8.21,154.05,166,0.328304,0.133550,0.131775,0.087368,30423
19000,19,43.26,12.84,8.21,159.00,177,0.329038,0.133219,0.131993,0.087311,30191
20000,18,49.83,12.78,8.17,110.33,185,0.328562,0.133699,0.131947,0.087116,30247
21000,15,48.07,12.53,8.00,137.13,197,0.329478,0.133402,0.132333,0.086138,29917
22000,20,44.70,12.90,8.25,151.35,206,0.328757,0.133439,0.132113,0.087014,30156
23000,18,41.78,12.78,8.17,164.50,214,0.329736,0.133865,0.132089,0.086339,29836
24000,16,46.62,12.62,8.06,153.62,219,0.329826,0.133414,0.132278,0.087317,29937
25000,18,46.11,12.78,8.17,138.94,226,0.328952,0.133355,0.131832,0.087237,30205
26000,19,44.05,12.84,8.21,146.11,231,0.327645,0.133573,0.132121,0.086210,30298
27000,16,48.25,12.62,8.06,142.19,242,0.328859,0.133472,0.131859,0.087281,30396
28000,17,48.47,12.71,8.12,132.47,252,0.328634,0.133028,0.131283,0.087544,30362
29000,20,46.30,12.90,8.25,141.25,264,0.327443,0.133429,0.132166,0.087591,30106
30000,20,42.55,12.90,8.25,169.70,275,0.326747,0.133254,0.131599,0.087280,30213
31000,16,48.75,12.62,8.06,159.19,281,0.329213,0.133609,0.131659,0.087244,30260
32000,20,43.85,12.90,8.25,171.15,298,0.326968,0.133534,0.131582,0.087236,30217
33000,17,45.18,12.71,8.12,154.65,308,0.328417,0.133373,0.131756,0.087243,30306
34000,20,42.90,12.90,8.25,152.15,317,0.323946,0.133235,0.136627,0.087516,30360
35000,17,44.71,12.71,8.12,167.88,332,0.329078,0.133518,0.131902,0.087176,30318
36000,18,41.33,12.78,8.17,174.06,338,0.329579,0.133642,0.131924,0.087498,30275
37000,15,44.80,12.53,8.00,153.60,351,0.329197,0.133344,0.131962,0.087393,30380
38000,20,45.50,12.90,8.25,130.75,361,0.328809,0.133393,0.131940,0.087123,30279
39000,17,42.24,12.71,8.12,164.65,374,0.328698,0.133316,0.131664,0.087204,30274
40000,20,40.75,12.90,8.25,137.25,383,0.328819,0.133254,0.131508,0.090418,30348
41000,18,44.89,12.78,8.17,137.56,390,0.329951,0.134366,0.132148,0.109099,29762
42000,18,41.11,12.78,8.17,156.94,397,0.343383,0.133847,0.132378,0.089343,29952
43000,18,44.28,12.78,8.17,157.44,398,0.350062,0.133362,0.131852,0.087475,30466
44000,17,46.82,12.71,8.12,151.71,407,0.328452,0.133461,0.131507,0.087042,30181
45000,19,44.05,12.84,8.21,147.74,414,0.329319,0.133386,0.131675,0.087257,30393
46000,18,42.39,12.78,8.17,167.17,421,0.328808,0.133824,0.132085,0.086842,29905
47000,17,46.53,12.71,8.12,157.24,428,0.329617,0.133371,0.132206,0.085674,30044
48000,17,48.65,12.71,8.12,141.35,435,0.329305,0.133307,0.131800,0.087485,30531
49000,19,44.74,12.84,8.21,147.32,448,0.329057,0.133652,0.130270,0.086383,30168
50000,17,42.53,12.71,8.12,164.12,459,0.329317,0.133410,0.131445,0.087347,30545
51000,19,43.74,12.84,8.21,157.26,468,0.329198,0.133801,0.132238,0.087039,30067
52000,18,45.56,12.78,8.17,138.67,474,0.328972,0.133482,0.131608,0.087618,30416
53000,19,47.79,12.84,8.21,140.05,481,0.330527,0.133935,0.132504,0.086483,30052
54000,19,42.47,12.84,8.21,154.00,494,0.328687,0.133419,0.131739,0.087189,30348
55000,19,47.74,12.84,8.21,119.84,506,0.329316,0.133338,0.131786,0.087835,30284
56000,19,42.05,12.84,8.21,157.79,517,0.329101,0.133322,0.131904,0.087420,30325
57000,17,47.71,12.71,8.12,149.00,524,0.329147,0.133571,0.131725,0.087454,30336
58000,18,40.39,12.78,8.17,167.89,534,0.328225,0.133183,0.131628,0.087311,30214
59000,18,47.17,12.78,8.17,154.33,539,0.328409,0.133664,0.132143,0.087589,30255
60000,19,42.89,12.84,8.21,142.32,543,0.307848,0.133336,0.132143,0.109252,30187
61000,20,39.70,12.90,8.25,157.95,553,0.298576,0.132597,0.131771,0.119774,30257
62000,19,47.21,12.84,8.21,136.05,560,0.287213,0.132748,0.132514,0.131712,29929
