tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,60,108.33,11.67,7.67,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,14,86.29,13.50,8.79,255.00,4,0.159119,0.152831,0.131166,0.076921,30694
2000,12,96.33,13.42,8.75,255.00,4,0.156545,0.144498,0.124167,0.088664,26561
3000,13,99.08,13.46,8.77,255.00,4,0.154320,0.144234,0.127104,0.085910,26970
4000,20,68.20,13.65,8.85,255.00,4,0.153677,0.144040,0.126342,0.086109,27291
5000,14,82.50,13.50,8.79,255.00,4,0.154595,0.144367,0.126279,0.085853,26592
6000,8,126.88,13.12,8.62,255.00,1,0.154033,0.144305,0.126433,0.087924,27137
7000,16,80.12,13.56,8.81,255.00,2,0.154611,0.144738,0.126655,0.086199,27042
8000,25,46.76,13.72,8.88,255.00,4,0.154327,0.144595,0.125318,0.088374,26716
9000,17,72.41,13.59,8.82,255.00,11,0.154635,0.144311,0.126011,0.088554,26831
10000,11,112.18,13.36,8.73,255.00,1,0.154642,0.144444,0.126086,0.089182,26474
11000,17,78.00,13.59,8.82,255.00,2,0.154569,0.144457,0.130300,0.086704,26700
12000,17,77.71,13.59,8.82,255.00,5,0.154315,0.144529,0.132048,0.084524,27081
13000,17,67.35,13.59,8.82,255.00,2,0.154298,0.144504,0.127665,0.088375,26546
14000,25,50.72,13.72,8.88,255.00,5,0.153266,0.143680,0.126180,0.086758,26914
15000,15,91.27,13.53,8.80,255.00,4,0.153191,0.143122,0.125537,0.085740,27012
16000,12,102.00,13.42,8.75,255.00,1,0.152777,0.143303,0.125358,0.085789,26915
17000,27,48.52,13.74,8.89,255.00,6,0.153367,0.144222,0.125709,0.085511,26792
18000,14,98.71,13.50,8.79,255.00,2,0.155584,0.143627,0.126132,0.084211,27265
19000,17,77.82,13.59,8.82,255.00,2,0.152813,0.143205,0.129631,0.083303,27478
20000,14,87.29,13.50,8.79,255.00,4,0.153365,0.143703,0.126157,0.086511,27014
21000,21,56.90,13.67,8.86,255.00,3,0.154040,0.144222,0.126204,0.088963,26584
22000,13,91.31,13.46,8.77,255.00,4,0.153863,0.143246,0.125550,0.086618,26842
23000,12,96.33,13.42,8.75,255.00,4,0.154245,0.144224,0.125544,0.089242,26445
24000,11,107.82,13.36,8.73,255.00,4,0.154048,0.144982,0.128552,0.084184,27024
25000,22,53.77,13.68,8.86,255.00,13,0.154710,0.144645,0.126362,0.089230,26527
26000,20,65.80,13.65,8.85,255.00,4,0.154242,0.144697,0.126439,0.085152,26400
27000,14,94.71,13.50,8.79,255.00,4,0.153764,0.143767,0.126143,0.085268,27009
28000,20,63.20,13.65,8.85,255.00,2,0.153681,0.143846,0.126799,0.085710,27453
29000,25,48.84,13.72,8.88,255.00,5,0.154213,0.144272,0.126848,0.084702,26859
30000,18,69.50,13.61,8.83,255.00,4,0.154403,0.144065,0.126028,0.089088,26502
31000,12,98.42,13.42,8.75,255.00,3,0.154112,0.143721,0.125761,0.086389,26948
32000,19,65.74,13.63,8.84,255.00,4,0.153231,0.144329,0.125502,0.088681,26398
33000,17,82.94,13.59,8.82,255.00,5,0.153708,0.144602,0.125878,0.085247,27344
34000,19,73.00,13.63,8.84,255.00,2,0.157983,0.144602,0.126906,0.084275,27351
35000,25,51.20,13.72,8.88,255.00,5,0.159223,0.144089,0.126290,0.084958,27025
36000,22,58.45,13.68,8.86,255.00,3,0.162469,0.143922,0.126488,0.082570,26959
37000,16,83.81,13.56,8.81,255.00,3,0.159506,0.143955,0.126389,0.085776,26814
38000,23,56.57,13.70,8.87,255.00,4,0.158619,0.143329,0.126183,0.084765,26945
39000,27,45.70,13.74,8.89,255.00,3,0.158982,0.143240,0.126456,0.085966,26871
40000,19,70.00,13.63,8.84,255.00,2,0.159158,0.143324,0.125855,0.085006,26904
41000,23,55.87,13.70,8.87,255.00,4,0.159000,0.143174,0.126350,0.085934,27044
42000,18,74.50,13.61,8.83,255.00,4,0.159193,0.143800,0.126182,0.085531,26961
43000,26,54.31,13.73,8.88,255.00,3,0.158297,0.142623,0.125823,0.081421,27499
44000,21,61.57,13.67,8.86,255.00,5,0.158642,0.143417,0.126307,0.084919,27061
45000,12,100.67,13.42,8.75,255.00,5,0.158019,0.143104,0.126754,0.086246,27155
46000,21,61.76,13.67,8.86,255.00,3,0.159523,0.144228,0.126066,0.084809,26153
47000,16,81.31,13.56,8.81,255.00,2,0.159673,0.143511,0.126111,0.084336,26667
48000,17,84.06,13.59,8.82,255.00,3,0.159241,0.143602,0.126188,0.085074,27047
49000,21,68.33,13.67,8.86,255.00,4,0.159898,0.143289,0.126306,0.084130,26792
50000,23,56.91,13.70,8.87,255.00,4,0.164399,0.144303,0.126284,0.080753,26971
51000,21,62.81,13.67,8.86,255.00,4,0.163607,0.143903,0.126093,0.082459,27456
52000,30,43.60,13.77,8.90,255.00,3,0.158694,0.143739,0.126293,0.085410,26882
53000,23,55.87,13.70,8.87,255.00,3,0.159067,0.143792,0.126286,0.085148,26448
54000,25,50.72,13.72,8.88,255.00,3,0.159502,0.143373,0.125866,0.084892,26846
55000,22,62.27,13.68,8.86,255.00,4,0.158694,0.143870,0.126550,0.080631,27657
