tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,60,108.33,11.67,7.67,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,8,137.50,13.12,8.38,159.62,12,0.155583,0.153876,0.138331,0.084274,28692
2000,7,139.71,13.00,8.29,134.86,27,0.146730,0.145399,0.137749,0.103447,24051
3000,7,139.71,13.00,8.29,120.00,43,0.146185,0.144955,0.138843,0.101436,24380
4000,7,119.14,13.00,8.29,159.29,59,0.145485,0.145362,0.137235,0.104608,24243
5000,7,126.86,13.00,8.29,144.29,75,0.145684,0.145354,0.137398,0.104089,24258
6000,6,138.83,12.83,8.17,130.67,87,0.145655,0.145201,0.137184,0.103963,24201
7000,6,138.83,12.83,8.17,132.00,103,0.145601,0.145147,0.137299,0.105122,24210
8000,7,135.86,13.00,8.29,136.71,119,0.145771,0.145400,0.137242,0.104157,24271
9000,6,138.83,12.83,8.17,132.00,135,0.145869,0.145165,0.136923,0.103624,24145
10000,6,138.83,12.83,8.17,134.67,151,0.146469,0.145060,0.137226,0.103490,24128
11000,6,138.83,12.83,8.17,132.00,167,0.145694,0.145446,0.137172,0.104865,24174
12000,6,138.83,12.83,8.17,132.00,183,0.145355,0.145520,0.137626,0.104811,24196
13000,6,138.83,12.83,8.17,132.00,199,0.145491,0.145202,0.136974,0.105015,24187
14000,7,138.14,13.00,8.29,114.43,215,0.145781,0.145410,0.137257,0.103776,24283
15000,6,138.83,12.83,8.17,132.00,231,0.146399,0.145238,0.137029,0.104440,24119
16000,7,139.71,13.00,8.29,116.57,247,0.147508,0.145061,0.137306,0.103882,24114
17000,6,138.83,12.83,8.17,132.00,263,0.145979,0.145648,0.137146,0.104176,24113
18000,6,138.83,12.83,8.17,172.00,279,0.145119,0.145411,0.136869,0.103454,24001
19000,7,119.43,13.00,8.29,188.14,295,0.145908,0.145166,0.137003,0.105051,24255
20000,6,129.00,12.83,8.17,190.83,307,0.146256,0.144764,0.137469,0.104853,24129
21000,6,138.83,12.83,8.17,157.33,319,0.146004,0.145095,0.137160,0.104678,24198
22000,6,138.83,12.83,8.17,157.33,335,0.145216,0.145671,0.137477,0.104825,24164
23000,6,138.83,12.83,8.17,157.33,351,0.146246,0.145211,0.137139,0.104851,24158
