tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,112.50,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,100,139.95,13.30,8.50,255.00,5,0.138778,0.138644,0.138337,0.109453,97494
2000,100,140.22,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
3000,100,140.12,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
4000,100,139.50,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
5000,100,140.34,13.30,8.50,255.00,5,0.137680,0.137680,0.137670,0.111250,100000
6000,100,140.38,13.30,8.50,255.00,5,0.137680,0.137670,0.137680,0.111250,100000
7000,100,140.36,13.30,8.50,255.00,5,0.137670,0.137680,0.137680,0.111250,100000
8000,100,139.73,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
9000,100,139.66,13.30,8.50,255.00,5,0.137680,0.137690,0.137690,0.111230,100000
10000,100,140.26,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
11000,100,140.90,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
12000,100,140.31,13.30,8.50,255.00,5,0.137680,0.137680,0.137670,0.111250,100000
13000,100,139.79,13.30,8.50,255.00,5,0.137680,0.137670,0.137680,0.111250,100000
14000,100,141.08,13.30,8.50,255.00,5,0.137670,0.137680,0.137680,0.111250,100000
15000,100,140.63,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
16000,100,140.99,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
17000,100,140.80,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
18000,100,140.50,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
19000,100,140.30,13.30,8.50,255.00,5,0.137680,0.137680,0.137670,0.111250,100000
20000,100,140.16,13.30,8.50,255.00,5,0.137680,0.137670,0.137680,0.111250,100000
21000,100,141.19,13.30,8.50,255.00,5,0.137670,0.137680,0.137680,0.111250,100000
22000,100,140.44,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
23000,100,140.40,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
24000,100,140.44,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
25000,100,140.67,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
26000,100,141.07,13.30,8.50,255.00,5,0.137680,0.137680,0.137670,0.111250,100000
27000,100,140.41,13.30,8.50,255.00,5,0.137680,0.137670,0.137680,0.111250,100000
28000,100,140.62,13.30,8.50,255.00,5,0.137670,0.137680,0.137680,0.111250,100000
29000,100,140.55,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
30000,100,141.07,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
31000,100,140.50,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
32000,100,140.51,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
33000,100,140.24,13.30,8.50,255.00,5,0.137680,0.137680,0.137670,0.111250,100000
34000,100,139.95,13.30,8.50,255.00,5,0.137680,0.137670,0.137680,0.111250,100000
35000,100,140.63,13.30,8.50,255.00,5,0.137670,0.137680,0.137680,0.111250,100000
36000,100,140.39,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
37000,100,140.60,13.30,8.50,255.00,5,0.137680,0.137680,0.137680,0.111250,100000
