tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,112.50,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,79,88.35,13.11,8.37,168.90,11,0.141159,0.141007,0.140574,0.106410,85471
2000,93,112.37,13.25,8.46,106.56,20,0.140386,0.140202,0.140822,0.107472,87046
3000,42,114.10,12.33,7.81,124.24,29,0.140257,0.140210,0.140140,0.107711,85172
4000,74,77.78,13.05,8.32,163.95,36,0.140240,0.140344,0.140414,0.107918,86010
5000,91,107.70,13.23,8.45,117.03,48,0.140489,0.140432,0.140293,0.108103,86704
6000,52,118.62,12.65,8.04,118.46,53,0.140449,0.140367,0.140332,0.107702,85597
7000,68,102.07,12.97,8.26,157.16,62,0.140541,0.140355,0.138263,0.107628,86046
8000,87,100.53,13.20,8.43,119.94,71,0.140662,0.140282,0.138679,0.107804,86704
9000,55,121.00,12.73,8.09,118.22,77,0.142762,0.140289,0.140056,0.109229,85737
10000,66,101.52,12.94,8.24,157.23,84,0.138845,0.138553,0.138460,0.120636,85671
11000,83,89.57,13.16,8.40,120.17,89,0.132363,0.132571,0.127781,0.163325,86429
12000,57,109.70,12.77,8.12,118.32,95,0.129839,0.129863,0.119953,0.178382,85575
13000,66,93.55,12.94,8.24,155.15,102,0.130272,0.130319,0.120882,0.174482,85728
14000,90,98.10,13.22,8.44,124.70,109,0.131351,0.129586,0.120631,0.173843,86653
15000,71,110.38,13.01,8.30,172.62,115,0.131276,0.129262,0.135305,0.163436,86878
16000,100,135.90,13.30,8.50,250.70,114,0.125940,0.126033,0.215226,0.106641,97205
17000,100,136.67,13.30,8.50,249.80,114,0.125070,0.124900,0.224800,0.099900,100000
18000,100,136.76,13.30,8.50,248.90,114,0.124900,0.125070,0.224800,0.099900,100000
19000,100,135.01,13.30,8.50,250.01,114,0.124900,0.124900,0.225300,0.100300,100000
20000,100,135.08,13.30,8.50,249.11,114,0.125230,0.124900,0.224800,0.099900,100000
21000,100,137.79,13.30,8.50,248.21,114,0.124900,0.125230,0.224800,0.099900,100000
22000,100,135.67,13.30,8.50,250.49,114,0.124900,0.124900,0.225530,0.100070,100000
23000,100,136.48,13.30,8.50,249.59,114,0.125300,0.124900,0.224800,0.099900,100000
24000,100,137.57,13.30,8.50,248.69,114,0.124900,0.125300,0.224800,0.099900,100000
25000,100,137.46,13.30,8.50,250.70,114,0.124900,0.124900,0.225370,0.100230,100000
26000,100,136.34,13.30,8.50,249.80,114,0.125070,0.124900,0.224800,0.099900,100000
27000,100,137.60,13.30,8.50,248.90,114,0.124900,0.125070,0.224800,0.099900,100000
28000,100,135.62,13.30,8.50,250.01,114,0.124900,0.124900,0.225300,0.100300,100000
29000,100,135.07,13.30,8.50,249.11,114,0.125230,0.124900,0.224800,0.099900,100000
30000,100,137.14,13.30,8.50,248.21,114,0.124900,0.125230,0.224800,0.099900,100000
31000,100,135.88,13.30,8.50,250.49,114,0.124900,0.124900,0.225530,0.100070,100000
32000,100,136.18,13.30,8.50,249.59,114,0.125300,0.124900,0.224800,0.099900,100000
33000,100,139.12,13.30,8.50,248.69,114,0.124900,0.125300,0.224800,0.099900,100000
34000,100,137.76,13.30,8.50,250.70,114,0.124900,0.124900,0.225370,0.100230,100000
35000,100,136.72,13.30,8.50,249.80,114,0.125070,0.124900,0.224800,0.099900,100000
36000,100,138.01,13.30,8.50,248.90,114,0.124900,0.125070,0.224800,0.099900,100000
37000,100,136.18,13.30,8.50,250.01,114,0.124900,0.124900,0.225300,0.100300,100000
38000,100,135.69,13.30,8.50,249.11,114,0.125230,0.124900,0.224800,0.099900,100000
39000,100,137.99,13.30,8.50,248.21,114,0.124900,0.125230,0.224800,0.099900,100000
40000,100,136.69,13.30,8.50,250.49,114,0.124900,0.124900,0.225530,0.100070,100000
41000,100,134.93,13.30,8.50,249.59,114,0.125300,0.124900,0.224800,0.099900,100000
42000,100,138.02,13.30,8.50,248.69,114,0.124900,0.125300,0.224800,0.099900,100000
43000,100,137.50,13.30,8.50,250.70,114,0.124900,0.124900,0.225370,0.100230,100000
44000,100,135.97,13.30,8.50,249.80,114,0.125070,0.124900,0.224800,0.099900,100000
45000,100,137.68,13.30,8.50,248.90,114,0.124900,0.125070,0.224800,0.099900,100000
46000,100,136.77,13.30,8.50,250.01,114,0.124900,0.124900,0.225300,0.100300,100000
47000,100,135.81,13.30,8.50,249.11,114,0.125230,0.124900,0.224800,0.099900,100000
48000,100,138.03,13.30,8.50,248.21,114,0.124900,0.125230,0.224800,0.099900,100000
49000,100,136.81,13.30,8.50,250.49,114,0.124900,0.124900,0.225530,0.100070,100000
50000,100,135.39,13.30,8.50,249.59,114,0.125300,0.124900,0.224800,0.099900,100000
51000,100,137.88,13.30,8.50,248.69,114,0.124900,0.125300,0.224800,0.099900,100000
52000,100,137.39,13.30,8.50,250.70,114,0.124900,0.124900,0.225370,0.100230,100000
53000,100,137.82,13.30,8.50,249.80,114,0.125070,0.124900,0.224800,0.099900,100000
54000,100,136.72,13.30,8.50,248.90,114,0.124900,0.125070,0.224800,0.099900,100000
55000,100,135.95,13.30,8.50,250.01,114,0.124900,0.124900,0.225300,0.100300,100000
56000,100,136.73,13.30,8.50,249.11,114,0.125230,0.124900,0.224800,0.099900,100000
57000,100,138.16,13.30,8.50,248.21,114,0.124900,0.125230,0.224800,0.099900,100000
58000,100,135.94,13.30,8.50,250.49,114,0.124900,0.124900,0.225530,0.100070,100000
59000,100,135.39,13.30,8.50,249.59,114,0.125300,0.124900,0.224800,0.099900,100000
60000,100,139.13,13.30,8.50,248.69,114,0.124900,0.125300,0.224800,0.099900,100000
61000,100,138.37,13.30,8.50,250.70,114,0.124900,0.124900,0.225370,0.100230,100000
62000,100,137.34,13.30,8.50,249.80,114,0.125070,0.124900,0.224800,0.099900,100000
63000,100,136.36,13.30,8.50,248.90,114,0.124900,0.125070,0.224800,0.099900,100000
64000,100,136.53,13.30,8.50,250.01,114,0.124900,0.124900,0.225300,0.100300,100000
65000,100,135.97,13.30,8.50,249.11,114,0.125230,0.124900,0.224800,0.099900,100000
66000,100,137.16,13.30,8.50,248.21,114,0.124900,0.125230,0.224800,0.099900,100000
67000,100,135.69,13.30,8.50,250.49,114,0.124900,0.124900,0.225530,0.100070,100000
68000,100,136.10,13.30,8.50,249.59,114,0.125300,0.124900,0.224800,0.099900,100000
69000,100,138.46,13.30,8.50,248.69,114,0.124900,0.125300,0.224800,0.099900,100000
70000,100,137.90,13.30,8.50,250.70,114,0.124900,0.124900,0.225370,0.100230,100000
71000,100,136.58,13.30,8.50,249.80,114,0.125070,0.124900,0.224800,0.099900,100000
72000,100,136.44,13.30,8.50,248.90,114,0.124900,0.125070,0.224800,0.099900,100000
73000,100,136.35,13.30,8.50,250.01,114,0.124900,0.124900,0.225300,0.100300,100000
74000,100,135.83,13.30,8.50,249.11,114,0.125230,0.124900,0.224800,0.099900,100000
75000,100,137.99,13.30,8.50,248.21,114,0.124900,0.125230,0.224800,0.099900,100000
76000,100,136.57,13.30,8.50,250.49,114,0.124900,0.124900,0.225530,0.100070,100000
77000,100,134.49,13.30,8.50,249.59,114,0.125300,0.124900,0.224800,0.099900,100000
78000,100,138.35,13.30,8.50,248.69,114,0.124900,0.125300,0.224800,0.099900,100000
79000,100,138.18,13.30,8.50,250.70,114,0.124900,0.124900,0.225370,0.100230,100000
80000,100,135.47,13.30,8.50,249.80,114,0.125070,0.124900,0.224800,0.099900,100000
81000,100,137.57,13.30,8.50,248.90,114,0.124900,0.125070,0.224800,0.099900,100000
82000,100,136.14,13.30,8.50,250.01,114,0.124900,0.124900,0.225300,0.100300,100000
83000,100,135.43,13.30,8.50,249.11,114,0.125230,0.124900,0.224800,0.099900,100000
84000,100,137.24,13.30,8.50,248.21,114,0.124900,0.125230,0.224800,0.099900,100000
85000,100,135.11,13.30,8.50,250.49,114,0.124900,0.124900,0.225530,0.100070,100000
86000,100,137.31,13.30,8.50,249.59,114,0.125300,0.124900,0.224800,0.099900,100000
87000,100,139.14,13.30,8.50,248.69,114,0.124900,0.125300,0.224800,0.099900,100000
88000,100,137.14,13.30,8.50,250.70,114,0.124900,0.124900,0.225370,0.100230,100000
89000,100,135.66,13.30,8.50,249.80,114,0.125070,0.124900,0.224800,0.099900,100000
90000,100,137.58,13.30,8.50,248.90,114,0.124900,0.125070,0.224800,0.099900,100000
91000,100,136.70,13.30,8.50,250.01,114,0.124900,0.124900,0.225300,0.100300,100000
92000,100,135.38,13.30,8.50,249.11,114,0.125230,0.124900,0.224800,0.099900,100000
93000,100,136.48,13.30,8.50,248.21,114,0.124900,0.125230,0.224800,0.099900,100000
94000,100,136.62,13.30,8.50,250.49,114,0.124900,0.124900,0.225530,0.100070,100000
95000,100,136.11,13.30,8.50,249.59,114,0.125300,0.124900,0.224800,0.099900,100000
96000,100,137.75,13.30,8.50,248.69,114,0.124900,0.125300,0.224800,0.099900,100000
97000,100,137.28,13.30,8.50,250.70,114,0.124900,0.124900,0.225370,0.100230,100000
98000,100,137.04,13.30,8.50,249.80,114,0.125070,0.124900,0.224800,0.099900,100000
99000,100,137.51,13.30,8.50,248.90,114,0.124900,0.125070,0.224800,0.099900,100000
100000,100,136.59,13.30,8.50,250.01,114,0.124900,0.124900,0.225300,0.100300,100000
