tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,112.50,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,11,111.00,13.36,8.55,255.00,39,0.149968,0.145368,0.140448,0.097911,28046
2000,13,97.23,13.46,8.62,255.00,2,0.148024,0.142645,0.139158,0.097570,26955
3000,14,101.36,13.50,8.64,255.00,4,0.151662,0.141359,0.141692,0.089693,26981
4000,22,64.23,13.68,8.77,255.00,5,0.151695,0.141989,0.141804,0.089683,26995
5000,15,93.60,13.53,8.67,255.00,5,0.151306,0.141382,0.141710,0.085960,27408
6000,15,92.33,13.53,8.67,255.00,3,0.150796,0.141174,0.141504,0.086812,27335
7000,23,57.00,13.70,8.78,255.00,3,0.154074,0.141830,0.141980,0.088176,26708
8000,26,53.19,13.73,8.81,255.00,3,0.157724,0.141638,0.142393,0.085262,26483
9000,23,63.48,13.70,8.78,255.00,3,0.157493,0.142164,0.147325,0.080538,25963
10000,27,52.59,13.74,8.81,255.00,3,0.157321,0.142329,0.147454,0.080048,25947
11000,27,54.37,13.74,8.81,255.00,3,0.157936,0.142551,0.148160,0.080039,25675
12000,26,56.38,13.73,8.81,255.00,3,0.157692,0.142752,0.147616,0.080757,25905
13000,24,60.46,13.71,8.79,255.00,3,0.157569,0.142647,0.147673,0.080254,25868
14000,27,51.96,13.74,8.81,255.00,3,0.157365,0.142411,0.147846,0.080282,25946
15000,25,57.36,13.72,8.80,255.00,3,0.157522,0.142031,0.147542,0.080919,25952
16000,26,53.31,13.73,8.81,255.00,3,0.157783,0.142747,0.147694,0.080399,25871
17000,27,52.63,13.74,8.81,255.00,3,0.156990,0.142339,0.147313,0.080692,25938
18000,27,53.15,13.74,8.81,255.00,3,0.157500,0.143462,0.147308,0.080346,26000
19000,27,51.56,13.74,8.81,255.00,3,0.157535,0.142554,0.147149,0.080505,25899
20000,22,66.95,13.68,8.77,255.00,3,0.157303,0.142362,0.147830,0.080327,25969
21000,25,56.24,13.72,8.80,255.00,3,0.157712,0.142670,0.147684,0.079724,25927
22000,27,53.56,13.74,8.81,255.00,3,0.157637,0.142521,0.147573,0.080322,25933
23000,27,54.48,13.74,8.81,255.00,3,0.157430,0.142439,0.147719,0.080314,25948
24000,27,53.19,13.74,8.81,255.00,3,0.157607,0.142312,0.147166,0.080287,25957
25000,26,55.35,13.73,8.81,255.00,3,0.157520,0.142384,0.147429,0.080493,25965
26000,26,54.88,13.73,8.81,255.00,3,0.157490,0.142317,0.148031,0.080039,25900
27000,25,56.48,13.72,8.80,255.00,3,0.157692,0.142550,0.147661,0.080518,26019
28000,22,64.73,13.68,8.77,255.00,3,0.157338,0.142362,0.147444,0.080074,25976
29000,30,46.57,13.77,8.83,255.00,3,0.157755,0.142275,0.148152,0.079511,26034
30000,26,55.96,13.73,8.81,255.00,3,0.157417,0.142510,0.147530,0.080446,25893
31000,26,53.46,13.73,8.81,255.00,3,0.157453,0.142338,0.147595,0.080640,25868
32000,25,56.96,13.72,8.80,255.00,3,0.157719,0.142181,0.147566,0.080571,26002
33000,21,70.57,13.67,8.76,255.00,3,0.157569,0.142604,0.147567,0.080285,25995
34000,26,54.69,13.73,8.81,255.00,3,0.157812,0.142543,0.147401,0.080159,25936
35000,26,53.19,13.73,8.81,255.00,3,0.157726,0.141927,0.147245,0.080501,25950
36000,28,50.93,13.75,8.82,255.00,3,0.157719,0.142489,0.147143,0.080263,26002
37000,27,51.41,13.74,8.81,255.00,3,0.158190,0.142526,0.147824,0.080139,25855
38000,25,56.00,13.72,8.80,255.00,3,0.157553,0.142363,0.146785,0.080372,26004
39000,23,62.70,13.70,8.78,255.00,3,0.157523,0.142427,0.148025,0.079881,25901
40000,24,61.17,13.71,8.79,255.00,3,0.157664,0.142641,0.147752,0.080304,25827
41000,24,59.25,13.71,8.79,255.00,3,0.157673,0.142697,0.147754,0.080400,25908
42000,23,62.83,13.70,8.78,255.00,3,0.157154,0.142113,0.147397,0.079792,25930
43000,24,60.08,13.71,8.79,255.00,3,0.157842,0.141989,0.147299,0.080576,25988
44000,26,55.46,13.73,8.81,255.00,3,0.157808,0.142231,0.147385,0.080154,26000
45000,31,48.48,13.77,8.84,255.00,3,0.157644,0.142453,0.147762,0.080062,25805
46000,28,49.57,13.75,8.82,255.00,3,0.157591,0.142197,0.146969,0.080393,25985
47000,27,51.41,13.74,8.81,255.00,3,0.157378,0.142139,0.147747,0.079714,25855
48000,25,58.96,13.72,8.80,255.00,3,0.157567,0.142406,0.147678,0.080803,25989
49000,28,50.61,13.75,8.82,255.00,3,0.157364,0.142417,0.147463,0.080781,25959
