tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,5.50,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,20,538.35,5.50,547.90,252.75,5018,5002,1228,21179,0.236933,0.236177,0.057982,0.181750,0.000000,7
2000,20,567.00,5.50,1116.30,253.70,4793,4804,1296,20083,0.238660,0.239207,0.064532,0.000000,0.000000,17
3000,19,598.00,5.37,1741.47,253.11,4721,4726,1236,19608,0.240769,0.241024,0.063035,0.000000,0.000000,26
4000,19,596.42,5.37,2303.58,251.84,4664,4649,1154,19080,0.244444,0.243658,0.060482,0.000000,0.000000,36
5000,19,607.32,5.37,2909.47,254.11,4658,4663,1142,19072,0.244232,0.244495,0.059878,0.000000,0.000000,45
6000,19,647.05,5.37,3526.32,253.37,4793,4649,1009,19070,0.251337,0.243786,0.052910,0.000000,0.000000,55
7000,19,645.68,5.37,4148.63,252.32,4801,4648,1012,19069,0.251770,0.243746,0.053070,0.000000,0.000000,64
8000,19,658.21,5.37,4814.74,253.32,4799,4667,953,19061,0.251771,0.244845,0.049997,0.000000,0.000000,74
9000,19,681.00,5.37,5486.32,253.53,4816,4674,866,19060,0.252676,0.245226,0.045435,0.000000,0.000000,84
10000,19,703.21,5.37,6190.74,252.63,4825,4670,865,19054,0.253228,0.245093,0.045397,0.000000,0.000000,93
11000,19,698.11,5.37,6862.32,253.74,4814,4682,864,19060,0.252571,0.245645,0.045331,0.000000,0.000000,103
12000,19,693.37,5.37,7533.89,253.21,4814,4672,867,19060,0.252571,0.245121,0.045488,0.000000,0.000000,113
13000,19,703.95,5.37,8243.79,252.00,4830,4701,842,19053,0.253503,0.246733,0.044193,0.000000,0.000000,121
14000,19,717.68,5.37,8970.11,253.53,4837,4872,720,19050,0.253911,0.255748,0.037795,0.000000,0.000000,130
15000,19,737.32,5.37,9718.32,253.79,4836,4863,720,19046,0.253912,0.255329,0.037803,0.000000,0.000000,140
16000,19,749.21,5.37,10450.11,252.68,4845,4859,723,19049,0.254344,0.255079,0.037955,0.000000,0.000000,149
17000,19,746.16,5.37,11176.42,253.11,4839,4869,722,19050,0.254016,0.255591,0.037900,0.000000,0.000000,159
18000,19,749.89,5.37,11930.11,253.79,4836,4864,720,19045,0.253925,0.255395,0.037805,0.000000,0.000000,168
19000,18,787.83,5.22,13357.00,253.39,4736,4753,612,18295,0.258869,0.259798,0.033452,0.000000,0.000000,178
20000,18,783.78,5.22,14125.89,253.56,4692,4724,578,18040,0.260089,0.261863,0.032040,0.000000,0.000000,188
21000,18,786.83,5.22,14917.89,253.17,4691,4717,576,18036,0.260091,0.261532,0.031936,0.000000,0.000000,197
22000,18,787.39,5.22,15693.28,252.94,4704,4717,577,18037,0.260797,0.261518,0.031990,0.000000,0.000000,207
23000,18,789.83,5.22,16483.11,253.94,4692,4725,576,18027,0.260276,0.262107,0.031952,0.000000,0.000000,216
24000,18,785.11,5.22,17244.78,253.83,4691,4717,576,18030,0.260177,0.261620,0.031947,0.000000,0.000000,226
25000,51,512.02,7.02,6462.61,193.37,11761,4779,4059,42649,0.275763,0.112054,0.095172,0.403087,0.000000,244
26000,93,222.68,7.46,4030.18,252.35,20841,9349,11118,91000,0.229022,0.102736,0.122176,0.231364,0.000000,240
27000,100,430.74,7.50,4717.99,252.25,16388,16407,12946,99687,0.164395,0.164585,0.129866,0.226351,0.000000,240
28000,100,545.09,7.50,5717.99,252.37,16435,16452,12999,100000,0.164350,0.164520,0.129990,0.000000,0.000000,240
29000,29,519.97,6.28,13261.17,253.38,10755,10778,6882,60049,0.179104,0.179487,0.114606,0.153573,0.000000,242
30000,29,569.86,6.28,13811.76,253.38,6477,6344,2023,29078,0.222746,0.218172,0.069571,0.171480,0.000000,250
31000,29,571.69,6.28,14359.90,252.66,6501,6347,2019,29126,0.223203,0.217915,0.069320,0.000000,0.000000,260
32000,28,598.54,6.21,15474.61,253.46,6398,6270,1779,28596,0.223738,0.219261,0.062211,0.000000,0.000000,269
33000,29,587.66,6.28,15533.97,252.97,6326,6183,1691,28095,0.225165,0.220075,0.060189,0.000000,0.000000,279
34000,28,623.39,6.21,16706.61,252.29,6338,6208,1663,28094,0.225600,0.220972,0.059194,0.000000,0.000000,288
35000,28,630.25,6.21,17338.50,253.14,6326,6347,1536,28088,0.225221,0.225968,0.054685,0.000000,0.000000,298
36000,28,647.07,6.21,18019.50,253.29,6348,6517,1400,28077,0.226093,0.232112,0.049863,0.000000,0.000000,307
37000,28,665.82,6.21,18700.50,252.32,6358,6511,1402,28077,0.226449,0.231898,0.049934,0.000000,0.000000,317
38000,28,679.18,6.21,19373.25,253.07,6347,6524,1399,28077,0.226057,0.232361,0.049827,0.000000,0.000000,327
39000,28,719.46,6.21,20095.11,253.39,6537,6540,1257,28066,0.232915,0.233022,0.044787,0.000000,0.000000,336
40000,28,723.21,6.21,20802.11,252.93,6547,6536,1257,28070,0.233238,0.232846,0.044781,0.000000,0.000000,346
41000,28,725.50,6.21,21513.32,253.21,6562,6570,1281,28074,0.233739,0.234024,0.045629,0.000000,0.000000,362
42000,28,725.75,6.21,22232.79,253.18,6561,6564,1282,28074,0.233704,0.233811,0.045665,0.000000,0.000000,379
43000,28,727.57,6.21,22948.54,253.07,6574,6562,1282,28075,0.234159,0.233731,0.045663,0.000000,0.000000,396
44000,28,724.29,6.21,23652.32,253.18,6560,6570,1282,28076,0.233652,0.234008,0.045662,0.000000,0.000000,413
45000,28,724.68,6.21,24371.79,253.29,6562,6564,1280,28074,0.233739,0.233811,0.045594,0.000000,0.000000,430
46000,29,701.66,6.28,24228.07,252.59,6571,6559,1283,28073,0.234068,0.233641,0.045702,0.000000,0.000000,446
47000,28,727.57,6.21,25804.57,253.21,6563,6572,1281,28074,0.233775,0.234096,0.045629,0.000000,0.000000,463
48000,28,728.64,6.21,26524.04,253.07,6567,6567,1259,28074,0.233918,0.233918,0.044846,0.000000,0.000000,480
49000,28,740.79,6.21,27273.21,252.64,6593,6583,1137,28066,0.234911,0.234554,0.040512,0.000000,0.000000,497
50000,28,751.29,6.21,28017.86,253.43,6584,6595,1138,28065,0.234598,0.234990,0.040549,0.000000,0.000000,514
51000,28,760.32,6.21,28770.75,253.00,6586,6585,1137,28065,0.234670,0.234634,0.040513,0.000000,0.000000,531
52000,28,762.25,6.21,29527.36,252.75,6592,6583,1138,28064,0.234892,0.234571,0.040550,0.000000,0.000000,548
53000,28,759.71,6.21,30272.82,253.50,6584,6595,1137,28067,0.234582,0.234973,0.040510,0.000000,0.000000,565
54000,28,759.54,6.21,31021.18,253.57,6585,6587,1137,28064,0.234642,0.234714,0.040515,0.000000,0.000000,582
55000,28,761.14,6.21,31774.07,252.25,6594,6579,1138,28065,0.234955,0.234420,0.040549,0.000000,0.000000,599
56000,28,761.00,6.21,32526.96,253.57,6584,6597,1138,28065,0.234598,0.235061,0.040549,0.000000,0.000000,616
57000,28,759.36,6.21,33267.89,253.32,6587,6586,1137,28066,0.234697,0.234661,0.040512,0.000000,0.000000,633
58000,28,760.29,6.21,34020.79,252.64,6592,6582,1136,28065,0.234883,0.234527,0.040477,0.000000,0.000000,650
59000,29,733.28,6.28,33577.55,253.10,6608,6479,1165,28076,0.235361,0.230766,0.041495,0.000000,0.000000,679
60000,28,760.07,6.21,35522.00,252.71,6623,6418,1174,28082,0.235845,0.228545,0.041806,0.000000,0.000000,713
61000,29,735.14,6.28,35024.76,250.10,6632,6286,1175,28086,0.236132,0.223813,0.041836,0.000000,0.000000,748
62000,28,760.36,6.21,37024.57,252.32,6622,6280,1175,28089,0.235751,0.223575,0.041831,0.000000,0.000000,782
