tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,5.50,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,21,950.48,5.62,548.24,255.00,5450,5586,1402,23971,0.227358,0.233032,0.058487,0.176755,0.000000,6
2000,21,1914.62,5.62,1057.95,255.00,4943,5114,1443,21099,0.234277,0.242381,0.068392,0.000000,0.000000,16
3000,20,3028.60,5.50,1682.65,255.00,4801,4978,1314,20177,0.237944,0.246717,0.065124,0.000000,0.000000,25
4000,20,4046.05,5.50,2219.85,255.00,4807,4962,1296,20089,0.239285,0.247001,0.064513,0.000000,0.000000,35
5000,20,5075.05,5.50,2793.45,255.00,4811,4988,1189,20082,0.239568,0.248382,0.059207,0.000000,0.000000,45
6000,20,6143.05,5.50,3455.45,255.00,4838,5005,1009,20065,0.241116,0.249439,0.050287,0.000000,0.000000,54
7000,25,5775.04,6.00,3286.44,255.00,4915,4971,1071,20414,0.240766,0.243509,0.052464,0.121212,0.000000,67
8000,24,6866.25,5.92,4063.12,255.00,6539,4772,2666,29964,0.218229,0.159258,0.088973,0.191426,0.000000,73
9000,22,8410.45,5.73,4929.95,255.00,5401,4713,1531,23197,0.232832,0.203173,0.066000,0.199237,0.000000,82
10000,22,9385.41,5.73,5625.95,255.00,5250,4570,1239,22051,0.238084,0.207247,0.056188,0.196970,0.000000,97
11000,22,10348.05,5.73,6229.45,255.00,5280,4580,1282,22292,0.236856,0.205455,0.057509,0.201474,0.000000,110
12000,22,11303.68,5.73,6868.86,255.00,5316,4570,1323,22556,0.235680,0.202607,0.058654,0.192254,0.000000,120
13000,23,11729.35,5.83,7167.30,255.00,5359,4568,1346,22708,0.235996,0.201163,0.059274,0.195804,0.000000,129
14000,22,13227.91,5.73,8153.82,255.00,5279,4580,1281,22291,0.236822,0.205464,0.057467,0.196676,0.000000,141
15000,22,14183.23,5.73,8793.50,255.00,5311,4569,1302,22524,0.235793,0.202850,0.057805,0.207810,0.000000,151
16000,21,15904.19,5.62,9831.48,255.00,5139,4455,1129,21238,0.241972,0.209766,0.053159,0.160839,0.000000,168
17000,22,16140.73,5.73,10082.27,255.00,5327,4436,1327,22396,0.237855,0.198071,0.059252,0.217330,0.000000,181
18000,20,18837.80,5.50,11779.85,255.00,5301,4419,1190,21861,0.242487,0.202141,0.054435,0.204503,0.000000,192
19000,21,19066.24,5.62,11926.38,255.00,5332,4139,918,20716,0.257386,0.199797,0.044314,0.191638,0.000000,203
20000,20,21196.25,5.50,13254.55,255.00,5385,4137,891,20979,0.256685,0.197197,0.042471,0.190969,0.000000,212
21000,20,22402.10,5.50,14041.25,255.00,5282,3997,691,20156,0.262056,0.198303,0.034283,0.200000,0.000000,222
22000,20,23620.80,5.50,14841.75,255.00,5275,3996,664,20000,0.263750,0.199800,0.033200,1.000000,0.000000,236
23000,19,26150.16,5.37,16458.47,255.00,5233,4007,641,19836,0.263813,0.202006,0.032315,0.296296,0.000000,251
24000,19,27488.21,5.37,17300.58,255.00,5093,3997,501,19000,0.268053,0.210368,0.026368,0.000000,0.000000,268
25000,19,28836.84,5.37,18145.84,255.00,5108,3996,498,19000,0.268842,0.210316,0.026211,0.000000,0.000000,284
26000,19,30176.47,5.37,18984.79,255.00,5099,4007,501,19000,0.268368,0.210895,0.026368,0.000000,0.000000,301
27000,19,31510.32,5.37,19828.79,255.00,5093,4115,501,19011,0.267898,0.216454,0.026353,0.000000,0.000000,318
28000,19,32848.05,5.37,20670.89,255.00,5108,4163,498,19017,0.268602,0.218909,0.026187,0.000000,0.000000,334
29000,20,32474.35,5.50,20444.95,255.00,5102,4174,507,19058,0.267709,0.219016,0.026603,0.142857,0.000000,350
30000,20,33680.80,5.50,21243.65,255.00,5312,4035,719,20346,0.261083,0.198319,0.035339,0.204082,0.000000,360
31000,21,33210.05,5.62,21023.48,255.00,5438,3996,699,20879,0.260453,0.191388,0.033479,0.207763,0.000000,371
