tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,5.50,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,20,527.00,5.50,537.50,255.00,5330,5320,1425,23275,0.229001,0.228571,0.061224,0.174051,0.000000,6
2000,20,524.10,5.50,1027.90,255.00,4774,4780,1410,20098,0.237536,0.237835,0.070156,0.000000,0.000000,16
3000,19,571.05,5.37,1686.11,255.00,4636,4640,1162,19182,0.241685,0.241893,0.060578,0.000000,0.000000,25
4000,18,613.33,5.22,2369.78,255.00,4540,4534,1057,18416,0.246525,0.246199,0.057396,0.000000,0.000000,35
5000,18,622.72,5.22,2965.33,255.00,4481,4491,1011,18070,0.247980,0.248533,0.055949,0.000000,0.000000,45
6000,18,630.78,5.22,3601.33,255.00,4481,4481,1008,18063,0.248076,0.248076,0.055805,0.000000,0.000000,54
7000,18,628.61,5.22,4196.89,255.00,4494,4483,1012,18070,0.248700,0.248091,0.056004,0.000000,0.000000,64
8000,18,623.67,5.22,4792.44,255.00,4484,4495,1008,18070,0.248146,0.248755,0.055783,0.000000,0.000000,74
9000,18,629.78,5.22,5428.44,255.00,4481,4481,1008,18063,0.248076,0.248076,0.055805,0.000000,0.000000,83
10000,18,635.94,5.22,6047.11,255.00,4499,4489,963,18066,0.249031,0.248478,0.053305,0.000000,0.000000,93
11000,18,669.17,5.22,6732.94,255.00,4506,4512,866,18045,0.249709,0.250042,0.047991,0.000000,0.000000,102
12000,18,682.11,5.22,7389.89,255.00,4505,4507,863,18050,0.249584,0.249695,0.047812,0.000000,0.000000,112
13000,18,678.72,5.22,8036.00,255.00,4514,4506,864,18050,0.250083,0.249640,0.047867,0.000000,0.000000,122
14000,18,682.11,5.22,8721.83,255.00,4502,4511,867,18045,0.249487,0.249986,0.048047,0.000000,0.000000,131
15000,18,679.50,5.22,9378.78,255.00,4506,4439,865,18050,0.249640,0.245928,0.047922,0.000000,0.000000,141
16000,18,686.33,5.22,10064.61,255.00,4514,4362,864,18045,0.250152,0.241729,0.047880,0.000000,0.000000,150
17000,18,688.50,5.22,10733.11,255.00,4510,4370,825,18048,0.249889,0.242132,0.045711,0.000000,0.000000,160
18000,18,712.83,5.22,11447.83,255.00,4526,4360,723,18040,0.250887,0.241685,0.040078,0.000000,0.000000,170
19000,17,777.06,5.06,12897.53,255.00,4449,4276,636,17453,0.254913,0.245001,0.036441,0.000000,0.000000,179
20000,17,774.82,5.06,13656.65,255.00,4384,4227,576,17030,0.257428,0.248209,0.033823,0.000000,0.000000,189
21000,17,771.06,5.06,14404.29,255.00,4383,4215,576,17030,0.257369,0.247504,0.033823,0.000000,0.000000,199
22000,17,775.53,5.06,15181.76,255.00,4391,4216,575,17027,0.257885,0.247607,0.033770,0.000000,0.000000,208
23000,17,772.24,5.06,15940.88,255.00,4382,4225,578,17030,0.257311,0.248092,0.033940,0.000000,0.000000,218
24000,17,775.71,5.06,16718.35,255.00,4383,4215,577,17027,0.257415,0.247548,0.033887,0.000000,0.000000,227
25000,17,776.18,5.06,17477.47,255.00,4394,4218,575,17030,0.258015,0.247681,0.033764,0.000000,0.000000,237
26000,17,772.29,5.06,18236.59,255.00,4381,4225,576,17030,0.257252,0.248092,0.033823,0.000000,0.000000,247
27000,17,775.12,5.06,19014.06,255.00,4382,4216,577,17027,0.257356,0.247607,0.033887,0.000000,0.000000,256
28000,17,776.41,5.06,19773.18,255.00,4395,4214,577,17030,0.258074,0.247446,0.033881,0.000000,0.000000,266
29000,17,775.76,5.06,20539.18,255.00,4380,4227,576,17027,0.257239,0.248253,0.033829,0.000000,0.000000,275
30000,17,773.59,5.06,21298.29,255.00,4383,4217,575,17030,0.257369,0.247622,0.033764,0.000000,0.000000,285
31000,16,819.06,4.88,23434.75,255.00,4374,4201,563,16931,0.258343,0.248125,0.033253,0.000000,0.000000,295
32000,16,820.38,4.88,24256.81,255.00,4238,4081,431,16018,0.264577,0.254776,0.026907,0.000000,0.000000,304
33000,16,819.00,4.88,25065.88,255.00,4239,4072,433,16020,0.264607,0.254182,0.027029,0.000000,0.000000,314
34000,16,819.88,4.88,25874.94,255.00,4249,4073,431,16020,0.265231,0.254245,0.026904,0.000000,0.000000,324
35000,16,821.19,4.88,26697.00,255.00,4238,4080,432,16018,0.264577,0.254713,0.026970,0.000000,0.000000,333
36000,16,816.31,4.88,27493.88,255.00,4236,4071,433,16020,0.264419,0.254120,0.027029,0.000000,0.000000,343
37000,16,821.75,4.88,28315.94,255.00,4250,4072,432,16018,0.265327,0.254214,0.026970,0.000000,0.000000,352
38000,16,819.75,4.88,29125.00,255.00,4239,4081,432,16020,0.264607,0.254744,0.026966,0.000000,0.000000,362
39000,16,817.12,4.88,29934.06,255.00,4237,4073,431,16020,0.264482,0.254245,0.026904,0.000000,0.000000,372
40000,16,821.88,4.88,30756.12,255.00,4249,4072,433,16018,0.265264,0.254214,0.027032,0.000000,0.000000,381
41000,16,819.38,4.88,31565.19,255.00,4238,4080,433,16020,0.264544,0.254682,0.027029,0.000000,0.000000,391
42000,16,821.25,4.88,32387.25,255.00,4238,4072,431,16018,0.264577,0.254214,0.026907,0.000000,0.000000,400
43000,16,821.62,4.88,33196.31,255.00,4248,4072,432,16020,0.265169,0.254182,0.026966,0.000000,0.000000,410
44000,16,817.25,4.88,33993.19,255.00,4238,4081,432,16020,0.264544,0.254744,0.026966,0.000000,0.000000,420
45000,16,819.12,4.88,34815.25,255.00,4238,4072,432,16018,0.264577,0.254214,0.026970,0.000000,0.000000,429
46000,16,820.06,4.88,35624.31,255.00,4249,4072,433,16020,0.265231,0.254182,0.027029,0.000000,0.000000,439
47000,16,818.00,4.88,36433.38,255.00,4239,4082,431,16020,0.264607,0.254806,0.026904,0.000000,0.000000,449
48000,16,819.31,4.88,37255.44,255.00,4237,4071,432,16018,0.264515,0.254152,0.026970,0.000000,0.000000,458
49000,16,820.31,4.88,38064.50,255.00,4249,4071,432,16020,0.265231,0.254120,0.026966,0.000000,0.000000,468
50000,16,821.75,4.88,38886.56,255.00,4238,4080,433,16018,0.264577,0.254713,0.027032,0.000000,0.000000,477
51000,16,819.75,4.88,39695.62,255.00,4238,4073,431,16020,0.264544,0.254245,0.026904,0.000000,0.000000,487
52000,16,818.75,4.88,40492.50,255.00,4249,4073,432,16020,0.265231,0.254245,0.026966,0.000000,0.000000,497
53000,16,819.44,4.88,41314.56,255.00,4237,4080,433,16018,0.264515,0.254713,0.027032,0.000000,0.000000,506
54000,16,818.12,4.88,42123.62,255.00,4239,4072,432,16020,0.264607,0.254182,0.026966,0.000000,0.000000,516
55000,16,822.88,4.88,42945.69,255.00,4249,4072,432,16018,0.265264,0.254214,0.026970,0.000000,0.000000,525
56000,16,820.31,4.88,43754.75,255.00,4238,4081,431,16020,0.264544,0.254744,0.026904,0.000000,0.000000,535
57000,16,817.81,4.88,44563.81,255.00,4237,4072,433,16020,0.264482,0.254182,0.027029,0.000000,0.000000,545
58000,16,822.06,4.88,45385.88,255.00,4248,4071,432,16018,0.265202,0.254152,0.026970,0.000000,0.000000,554
59000,16,820.00,4.88,46194.94,255.00,4239,4082,432,16020,0.264607,0.254806,0.026966,0.000000,0.000000,564
60000,16,816.81,4.88,46991.81,255.00,4239,4072,432,16020,0.264607,0.254182,0.026966,0.000000,0.000000,574
61000,16,821.00,4.88,47813.88,255.00,4248,4072,431,16018,0.265202,0.254214,0.026907,0.000000,0.000000,583
62000,16,818.38,4.88,48622.94,255.00,4238,4081,433,16020,0.264544,0.254744,0.027029,0.000000,0.000000,593
63000,16,820.44,4.88,49445.00,255.00,4238,4070,433,16018,0.264577,0.254089,0.027032,0.000000,0.000000,602
64000,16,821.38,4.88,50254.06,255.00,4249,4073,431,16020,0.265231,0.254245,0.026904,0.000000,0.000000,612
65000,16,818.12,4.88,51063.12,255.00,4237,4081,432,16020,0.264482,0.254744,0.026966,0.000000,0.000000,622
66000,16,820.06,4.88,51885.19,255.00,4238,4072,432,16018,0.264577,0.254214,0.026970,0.000000,0.000000,631
67000,16,821.62,4.88,52694.25,255.00,4250,4071,433,16020,0.265293,0.254120,0.027029,0.000000,0.000000,641
68000,16,820.44,4.88,53504.12,255.00,4237,4082,432,16018,0.264515,0.254838,0.026970,0.000000,0.000000,650
