tick,cpu_usage,food_injected
0,0.3674,371
100,0.0000,500
200,0.3347,382
300,0.2324,418
400,0.2823,401
500,0.3069,392
600,0.2941,397
700,0.2888,398
800,0.2529,411
900,0.2358,417
1000,0.2437,414
1100,0.2783,402
1200,0.2571,410
1300,0.3052,393
1400,0.2273,420
1500,0.3083,392
1600,1.0000,150
1700,0.5681,301
1800,0.2906,398
1900,0.1722,439
2000,0.1230,456
2100,0.2672,406
2200,0.2937,397
2300,0.2789,402
2400,1.0000,150
2500,1.0000,150
2600,0.5930,292
2700,1.0000,150
2800,0.7535,236
2900,1.0000,150
3000,0.5844,295
3100,0.4860,329
3200,0.1837,435
3300,1.0000,150
3400,0.6356,277
3500,1.0000,150
3600,0.6377,276
3700,1.0000,150
3800,0.5964,291
3900,1.0000,150
4000,0.5997,290
4100,1.0000,150
4200,0.5761,298
4300,0.6280,280
4400,1.0000,150
4500,0.6305,279
4600,1.0000,150
4700,1.0000,150
4800,0.6244,281
4900,0.2817,401
5000,1.0000,150
5100,0.5898,293
5200,0.2110,426
5300,0.2407,415
5400,0.5431,309
5500,1.0000,150
5600,1.0000,150
5700,0.7559,235
5800,1.0000,150
5900,0.4864,329
6000,1.0000,150
6100,0.5934,292
6200,1.0000,150
6300,0.5993,290
6400,1.0000,150
6500,0.5864,294
6600,1.0000,150
6700,0.6113,286
6800,0.1916,432
6900,1.0000,150
7000,0.5755,298
7100,0.5990,290
7200,1.0000,150
7300,0.6146,284
7400,1.0000,150
7500,1.0000,150
7600,0.7111,251
7700,0.2324,418
7800,1.0000,150
7900,1.0000,150
8000,1.0000,150
8100,0.7140,250
8200,0.2605,408
8300,0.1417,450
8400,1.0000,150
8500,0.6999,255
8600,1.0000,150
8700,0.5860,294
8800,1.0000,150
8900,1.0000,150
9000,0.7442,239
9100,1.0000,150
9200,0.6309,279
9300,1.0000,150
9400,1.0000,150
9500,0.6299,279
9600,1.0000,150
9700,0.6279,280
9800,1.0000,150
9900,1.0000,150
10000,0.7472,238
10100,1.0000,150
10200,1.0000,150
10300,0.3672,371
10400,0.6117,285
10500,1.0000,150
10600,0.6149,284
10700,0.1687,440
10800,1.0000,150
10900,0.5838,295
11000,1.0000,150
11100,1.0000,150
11200,0.7471,238
11300,1.0000,150
11400,0.6580,269
11500,1.0000,150
11600,0.1081,462
11700,0.4813,331
11800,0.3512,377
11900,1.0000,150
12000,0.5689,300
12100,1.0000,150
12200,0.7371,241
12300,1.0000,150
12400,0.6652,267
12500,1.0000,150
12600,0.2990,395
12700,0.2457,413
12800,1.0000,150
12900,0.6529,271
13000,1.0000,150
13100,0.6502,272
13200,1.0000,150
13300,0.5738,299
13400,1.0000,150
13500,0.6112,286
13600,1.0000,150
13700,0.5318,313
13800,1.0000,150
13900,0.7003,254
14000,1.0000,150
14100,0.6402,275
14200,1.0000,150
14300,0.5795,297
14400,1.0000,150
14500,0.5560,305
14600,0.1493,447
14700,1.0000,150
14800,0.4170,354
14900,0.4882,329
15000,1.0000,150
15100,0.5465,308
15200,0.5929,292
15300,1.0000,150
15400,0.5047,323
15500,1.0000,150
15600,0.6709,265
15700,1.0000,150
15800,0.5790,297
15900,1.0000,150
16000,0.5939,292
16100,1.0000,150
16200,0.6508,272
16300,0.3267,385
16400,1.0000,150
16500,1.0000,150
16600,0.5947,291
16700,1.0000,150
16800,1.0000,150
16900,0.7513,237
17000,1.0000,150
17100,0.6058,287
17200,0.2319,418
17300,1.0000,150
17400,0.6136,285
17500,1.0000,150
17600,1.0000,150
17700,0.6924,257
17800,0.5555,305
17900,1.0000,150
18000,0.5452,309
18100,0.5381,311
18200,0.0686,476
18300,1.0000,150
18400,0.5727,299
18500,0.2280,420
18600,1.0000,150
18700,0.5563,305
18800,1.0000,150
18900,0.6300,279
19000,1.0000,150
19100,0.5888,293
19200,1.0000,150
19300,0.5914,293
19400,0.5429,309
19500,1.0000,150
19600,0.5776,297
19700,1.0000,150
19800,0.6064,287
19900,1.0000,150
20000,0.6158,284
20100,0.2984,395
20200,1.0000,150
20300,0.6059,287
20400,0.1670,441
20500,1.0000,150
20600,0.5119,320
20700,0.6089,286
20800,1.0000,150
20900,0.6154,284
21000,1.0000,150
21100,0.5020,324
21200,0.5586,304
21300,1.0000,150
21400,0.6210,282
21500,1.0000,150
21600,0.5979,290
21700,1.0000,150
21800,1.0000,150
21900,0.6418,275
22000,0.3312,384
22100,1.0000,150
22200,0.5812,296
22300,1.0000,150
22400,1.0000,150
22500,0.8021,219
22600,1.0000,150
22700,1.0000,150
22800,0.6707,265
22900,0.3160,389
23000,1.0000,150
23100,0.6157,284
23200,1.0000,150
23300,1.0000,150
23400,1.0000,150
23500,0.7858,224
23600,1.0000,150
23700,0.6439,274
23800,1.0000,150
23900,1.0000,150
24000,0.5981,290
24100,0.6445,274
24200,0.2367,417
24300,1.0000,150
24400,0.6448,274
24500,1.0000,150
24600,0.5942,292
24700,1.0000,150
24800,0.6029,288
24900,1.0000,150
25000,0.5939,292
25100,0.2683,406
25200,1.0000,150
25300,0.5847,295
25400,1.0000,150
25500,0.5865,294
25600,0.6127,285
25700,1.0000,150
25800,1.0000,150
25900,0.5632,302
26000,1.0000,150
26100,0.6193,283
26200,0.2488,412
26300,1.0000,150
26400,0.5944,291
26500,1.0000,150
26600,0.5950,291
26700,1.0000,150
26800,1.0000,150
26900,0.6460,273
27000,1.0000,150
27100,0.5543,306
27200,0.2249,421
27300,0.5754,298
27400,1.0000,150
27500,0.6241,281
27600,0.5977,290
27700,1.0000,150
27800,0.5688,300
27900,1.0000,150
28000,0.7331,243
28100,1.0000,150
28200,0.6339,278
28300,1.0000,150
28400,1.0000,150
28500,1.0000,150
28600,0.7556,235
28700,1.0000,150
28800,0.6593,269
28900,0.3174,388
29000,1.0000,150
29100,1.0000,150
29200,0.6319,278
29300,1.0000,150
29400,1.0000,150
29500,0.7715,229
29600,1.0000,150
29700,1.0000,150
29800,0.5003,324
29900,1.0000,150
30000,1.0000,150
30100,0.7339,243
30200,1.0000,150
30300,0.4571,340
30400,0.6172,283
30500,1.0000,150
30600,1.0000,150
30700,0.7338,243
30800,1.0000,150
30900,0.6317,278
31000,1.0000,150
31100,0.6073,287
31200,1.0000,150
31300,0.5961,291
31400,1.0000,150
31500,1.0000,150
31600,0.7249,246
31700,1.0000,150
31800,1.0000,150
31900,0.6275,280
32000,0.2851,400
32100,0.3032,393
32200,1.0000,150
32300,1.0000,150
32400,0.6399,276
32500,1.0000,150
32600,0.6430,274
32700,1.0000,150
32800,1.0000,150
32900,0.6305,279
33000,1.0000,150
33100,0.6387,276
33200,1.0000,150
33300,0.6456,274
33400,1.0000,150
33500,0.6058,287
33600,1.0000,150
33700,1.0000,150
33800,0.6519,271
33900,1.0000,150
34000,0.6713,265
34100,0.3417,380
34200,1.0000,150
34300,1.0000,150
34400,1.0000,150
34500,0.7201,247
34600,0.4109,356
34700,1.0000,150
34800,1.0000,150
34900,0.6447,274
35000,0.2696,405
35100,1.0000,150
35200,1.0000,150
35300,0.7569,235
35400,1.0000,150
35500,1.0000,150
35600,0.6624,268
35700,0.2617,408
