tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,112.50,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,8,122.38,13.12,8.38,185.38,17,0.150781,0.148594,0.141875,0.098203,25600
2000,8,125.25,13.12,8.38,182.50,25,0.146273,0.145369,0.136659,0.103624,24338
3000,8,122.38,13.12,8.38,164.38,33,0.145616,0.144793,0.137215,0.103241,24283
4000,8,122.38,13.12,8.38,164.38,42,0.145521,0.145398,0.137060,0.104407,24347
5000,8,122.38,13.12,8.38,164.38,54,0.145714,0.145386,0.137254,0.104522,24349
6000,8,122.38,13.12,8.38,164.38,65,0.145416,0.145499,0.137221,0.104687,24282
7000,8,122.38,13.12,8.38,164.38,74,0.145723,0.145146,0.136991,0.104905,24279
8000,9,121.78,13.22,8.44,168.89,86,0.145752,0.145258,0.137062,0.104444,24281
9000,8,122.38,13.12,8.38,138.38,95,0.146059,0.145605,0.135658,0.103137,24230
10000,8,122.38,13.12,8.38,139.38,106,0.145745,0.145167,0.137329,0.104822,24241
11000,8,122.38,13.12,8.38,139.38,118,0.145620,0.145414,0.117742,0.104957,24248
12000,9,109.11,13.22,8.44,148.44,127,0.145123,0.145370,0.098410,0.104548,24276
13000,8,122.38,13.12,8.38,139.38,138,0.145657,0.145123,0.096269,0.104692,24338
14000,8,122.38,13.12,8.38,139.38,150,0.145779,0.145532,0.090643,0.104293,24249
15000,8,122.38,13.12,8.38,139.38,159,0.145411,0.145989,0.097312,0.104744,24221
16000,7,139.43,13.00,8.29,131.14,170,0.181719,0.145610,0.080996,0.104234,23927
17000,6,129.67,12.83,8.17,133.33,183,0.332664,0.145816,0.027114,0.103886,23420
18000,7,139.57,13.00,8.29,108.57,192,0.373169,0.146111,0.010868,0.102508,23003
19000,7,140.57,13.00,8.29,119.71,198,0.374392,0.146044,0.010767,0.103321,23219
20000,7,133.86,13.00,8.29,143.71,206,0.372217,0.146506,0.010958,0.101812,23180
21000,8,122.12,13.12,8.38,162.12,215,0.373890,0.146088,0.010729,0.102785,23301
22000,7,98.29,13.00,8.29,163.57,226,0.372182,0.146270,0.012664,0.099617,22978
23000,10,98.00,13.30,8.50,154.40,235,0.374292,0.146663,0.010813,0.103023,23121
24000,11,90.27,13.36,8.55,188.18,245,0.373191,0.146442,0.010921,0.101586,23074
25000,7,124.43,13.00,8.29,167.71,250,0.374078,0.146309,0.010787,0.102947,23177
26000,6,137.00,12.83,8.17,131.50,257,0.374117,0.146469,0.011111,0.102972,23220
27000,7,139.57,13.00,8.29,102.29,267,0.374425,0.146042,0.010738,0.103131,23281
28000,7,138.29,13.00,8.29,122.71,274,0.373501,0.145902,0.010744,0.103571,23269
29000,7,130.43,13.00,8.29,106.71,282,0.373501,0.146141,0.010864,0.099600,23012
30000,12,82.00,13.42,8.58,168.92,290,0.373274,0.146132,0.010854,0.103195,23034
