seed,group,refresh_ratio,eat_ratio,divide_ratio,population,avg_energy
1000,exp,0.194380,0.337570,0.034989,43.64,66.14
1001,exp,0.152930,0.253642,0.069687,57.00,43.65
1002,exp,0.231490,0.164471,0.088007,105.94,33.19
1003,exp,0.125012,0.303910,0.060154,64.23,62.89
1004,exp,0.155645,0.344660,0.019791,36.89,78.09
1005,exp,0.023650,0.224128,0.152893,115.75,24.42
1006,exp,0.015266,0.286059,0.130650,124.23,22.54
1007,exp,0.227601,0.152530,0.097891,147.00,25.19
1008,exp,0.151154,0.362656,0.045410,44.14,68.06
1009,exp,0.138705,0.286936,0.079828,74.28,42.27
1010,exp,0.018580,0.262331,0.081892,136.28,25.12
1011,exp,0.227102,0.152722,0.099313,156.06,23.97
1012,exp,0.166790,0.262657,0.049336,54.04,80.91
1013,exp,0.219715,0.228718,0.204565,129.87,18.83
1014,exp,0.227102,0.152721,0.099314,156.07,23.97
1015,exp,0.229219,0.227545,0.081623,117.31,23.88
1016,exp,0.195009,0.513523,0.068411,77.71,46.74
1017,exp,0.163664,0.135675,0.088958,113.99,26.11
1018,exp,0.227101,0.152717,0.099318,156.11,23.97
1019,exp,0.227347,0.152634,0.099625,156.11,23.95
1020,exp,0.227098,0.152721,0.099320,156.03,23.97
1021,exp,0.141709,0.444452,0.093722,71.57,45.47
1022,exp,0.196282,0.342264,0.090754,111.78,22.62
1023,exp,0.227350,0.152625,0.098629,151.02,24.74
1024,exp,0.195402,0.324097,0.000000,29.00,96.63
1025,exp,0.209058,0.245790,0.081101,106.02,31.75
1026,exp,0.227911,0.254689,0.183779,126.64,20.98
1027,exp,0.274730,0.306433,0.095488,96.26,38.57
1028,exp,0.227101,0.152721,0.099318,156.04,23.98
1029,exp,0.227095,0.152721,0.099315,156.05,23.97
1030,exp,0.139097,0.277036,0.076393,70.81,46.66
1031,exp,0.066637,0.197413,0.139616,129.48,27.91
1032,exp,0.147725,0.147065,0.119212,111.00,24.72
1033,exp,0.008958,0.165411,0.022964,147.49,25.68
1034,exp,0.021897,0.254050,0.056918,126.72,37.82
1035,exp,0.043664,0.261830,0.090332,102.11,29.96
1036,exp,0.018988,0.236120,0.169182,137.72,21.48
1037,exp,0.166155,0.360279,0.000000,31.00,96.30
1038,exp,0.138265,0.112181,0.094761,117.00,22.84
1039,exp,0.214758,0.437612,0.068685,89.19,51.47
1040,exp,0.227337,0.153484,0.098626,150.97,24.75
1041,exp,0.229790,0.210793,0.059351,90.86,53.54
1042,exp,0.228532,0.152019,0.095653,135.07,26.92
1043,exp,0.229347,0.156947,0.093817,124.02,29.29
1044,exp,0.012609,0.165584,0.022239,137.70,27.63
1045,exp,0.227091,0.152722,0.099314,156.00,23.98
1046,exp,0.227597,0.152532,0.097897,147.14,25.16
1047,exp,0.215127,0.320786,0.058703,66.88,53.17
1048,exp,0.227602,0.152527,0.097895,147.15,25.50
1049,exp,0.227341,0.153486,0.098625,152.94,24.32
1050,exp,0.093209,0.246528,0.086604,139.58,25.14
1051,exp,0.013057,0.165268,0.022508,136.00,27.43
1052,exp,0.107738,0.225612,0.126645,130.73,25.24
1053,exp,0.120747,0.208901,0.081752,78.63,34.97
1054,exp,0.231294,0.164542,0.087497,106.02,33.23
1055,exp,0.137632,0.231648,0.107034,85.15,26.02
1056,exp,0.227345,0.152630,0.098624,152.12,24.40
1057,exp,0.228165,0.154177,0.096313,138.95,26.60
1058,exp,0.227102,0.132268,0.093934,133.01,21.38
1059,exp,0.214004,0.141553,0.085640,157.21,23.25
1060,exp,0.139132,0.288243,0.094644,119.00,23.77
1061,exp,0.229143,0.153983,0.093543,127.10,31.01
1062,exp,0.092650,0.291971,0.122176,105.35,26.48
1063,exp,0.200405,0.267472,0.088330,103.99,25.72
1064,exp,0.021713,0.188404,0.102109,165.47,20.52
1065,exp,0.156708,0.182173,0.119996,113.03,37.72
