seed,group,refresh_ratio,eat_ratio,divide_ratio,population,avg_energy
100,exp,0.239166,0.145292,0.104537,7.00,139.71
100,ctrl,0.137139,0.146393,0.074653,26.78,64.04
101,exp,0.049249,0.209004,0.095315,10.82,88.50
101,ctrl,0.136885,0.151818,0.077439,26.23,60.44
102,exp,0.256944,0.312501,0.000000,4.00,96.49
102,ctrl,0.136864,0.151798,0.077383,26.44,59.82
103,exp,0.021374,0.370571,0.085285,16.66,51.37
103,ctrl,0.136872,0.151799,0.077388,26.35,60.00
104,exp,0.250000,0.250000,0.000000,1.00,98.00
104,ctrl,0.144261,0.148282,0.072038,26.97,66.81
105,exp,0.226131,0.231172,0.074974,22.76,25.36
105,ctrl,0.142226,0.146395,0.074614,26.62,64.28
106,exp,0.250000,0.250000,0.000000,1.00,98.00
106,ctrl,0.137782,0.162386,0.078570,25.61,59.90
107,exp,0.215511,0.135608,0.087502,10.23,128.84
107,ctrl,0.137131,0.151512,0.074638,27.07,63.08
108,exp,0.106943,0.239457,0.145164,21.10,44.08
108,ctrl,0.138378,0.159741,0.074617,23.00,58.59
109,exp,0.104478,0.258510,0.129772,8.00,124.83
109,ctrl,0.142229,0.146411,0.074644,26.57,64.60
110,exp,0.010905,0.261544,0.095453,9.94,106.44
110,ctrl,0.136554,0.157601,0.080303,26.07,55.49
111,exp,0.022549,0.279539,0.107154,10.30,82.30
111,ctrl,0.136744,0.150624,0.072040,27.23,65.72
112,exp,0.020625,0.272254,0.102668,9.67,106.86
112,ctrl,0.147442,0.157132,0.077382,26.03,60.78
113,exp,0.010552,0.297669,0.072353,9.23,105.47
113,ctrl,0.128278,0.157567,0.080308,25.88,55.05
114,exp,0.187915,0.328049,0.086436,12.83,89.90
114,ctrl,0.131315,0.158767,0.078675,24.43,65.42
115,exp,0.021744,0.304925,0.091379,12.21,74.48
115,ctrl,0.144735,0.153603,0.071558,22.85,62.56
116,exp,0.089560,0.224366,0.104763,9.36,94.76
116,ctrl,0.136210,0.164326,0.078127,25.71,60.09
117,exp,0.021443,0.342651,0.088450,15.34,65.56
117,ctrl,0.142148,0.151852,0.077333,26.63,59.20
118,exp,0.250000,0.250000,0.000000,1.00,98.00
118,ctrl,0.141612,0.150853,0.074645,26.82,62.69
119,exp,0.012462,0.145433,0.104849,7.74,124.22
119,ctrl,0.152472,0.146403,0.074641,26.75,64.02
120,exp,0.250000,0.250000,0.000000,1.00,98.00
120,ctrl,0.137142,0.146393,0.074643,26.76,63.79
121,exp,0.014609,0.271650,0.103514,8.10,119.94
121,ctrl,0.137128,0.151502,0.074666,26.65,64.08
122,exp,0.010137,0.321468,0.095667,9.36,112.52
122,ctrl,0.138982,0.164566,0.077353,26.37,58.74
123,exp,0.019985,0.323867,0.090118,11.32,83.04
123,ctrl,0.137110,0.146391,0.074678,26.85,63.54
124,exp,0.238576,0.146431,0.098844,10.98,85.77
124,ctrl,0.152435,0.146412,0.074641,26.60,64.32
125,exp,0.010638,0.376868,0.107981,8.83,109.99
125,ctrl,0.137115,0.151483,0.074622,26.69,64.10
126,exp,0.021938,0.252374,0.097832,10.90,87.92
126,ctrl,0.136866,0.157096,0.077413,26.38,59.88
127,exp,0.016092,0.271288,0.103738,8.33,116.24
127,ctrl,0.142218,0.146414,0.074621,26.90,63.48
128,exp,0.076434,0.248324,0.078217,8.58,88.36
128,ctrl,0.142239,0.151504,0.074641,26.72,64.08
129,exp,0.107081,0.175388,0.089832,18.41,40.73
129,ctrl,0.137570,0.155406,0.075145,26.05,64.83
