tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,112.50,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,11,103.73,13.36,8.55,255.00,39,0.150739,0.145082,0.139604,0.098178,27929
2000,12,95.75,13.42,8.58,255.00,79,0.146120,0.141515,0.134846,0.103124,27142
3000,12,95.75,13.42,8.58,255.00,119,0.145434,0.141348,0.135420,0.103756,27160
4000,13,92.85,13.46,8.62,255.00,159,0.146111,0.141983,0.135311,0.102433,27130
5000,10,128.20,13.30,8.50,255.00,2,0.151753,0.143092,0.136783,0.091388,26787
6000,16,92.06,13.56,8.69,255.00,2,0.153158,0.142681,0.136806,0.085354,26724
7000,21,69.90,13.67,8.76,255.00,3,0.152062,0.142395,0.137139,0.084209,27206
8000,25,60.84,13.72,8.80,255.00,2,0.157087,0.142820,0.137128,0.077139,26705
9000,26,59.00,13.73,8.81,255.00,3,0.156789,0.142140,0.136675,0.077521,26896
10000,26,59.88,13.73,8.81,255.00,3,0.157672,0.142650,0.136864,0.076815,26961
11000,21,76.57,13.67,8.76,255.00,2,0.157080,0.142597,0.136953,0.077240,26929
12000,26,59.31,13.73,8.81,255.00,3,0.157186,0.142318,0.136881,0.077003,27038
13000,28,55.64,13.75,8.82,255.00,3,0.157304,0.142185,0.136812,0.077003,26986
14000,27,58.56,13.74,8.81,255.00,3,0.157694,0.142815,0.136989,0.077697,26951
15000,28,56.68,13.75,8.82,255.00,4,0.156662,0.142413,0.136862,0.077387,27020
16000,26,58.62,13.73,8.81,255.00,3,0.157036,0.142350,0.136875,0.077538,27032
17000,28,56.50,13.75,8.82,255.00,3,0.157148,0.142471,0.136763,0.077536,26981
18000,27,57.19,13.74,8.81,255.00,3,0.157063,0.142491,0.136729,0.076840,26900
19000,27,57.63,13.74,8.81,255.00,3,0.157303,0.142497,0.137153,0.077408,26948
20000,31,50.68,13.77,8.84,255.00,3,0.157260,0.142369,0.136911,0.077014,26930
21000,28,56.64,13.75,8.82,255.00,3,0.157399,0.142571,0.136825,0.076698,26976
22000,26,59.58,13.73,8.81,255.00,3,0.156567,0.142270,0.136603,0.078117,26998
23000,26,60.58,13.73,8.81,255.00,3,0.157312,0.142071,0.136793,0.077727,26902
24000,27,57.33,13.74,8.81,255.00,3,0.157306,0.142724,0.137093,0.077310,26814
25000,27,56.26,13.74,8.81,255.00,3,0.156924,0.142514,0.137046,0.077668,27064
26000,25,65.16,13.72,8.80,255.00,2,0.157232,0.142571,0.136892,0.077725,26941
27000,29,53.00,13.76,8.83,255.00,3,0.157112,0.142640,0.136645,0.077242,27019
28000,24,62.83,13.71,8.79,255.00,3,0.157423,0.142592,0.136771,0.077043,26972
29000,28,55.82,13.75,8.82,255.00,3,0.157297,0.141988,0.136528,0.077468,27108
30000,29,54.41,13.76,8.83,255.00,3,0.156884,0.142414,0.136729,0.078073,27090
31000,24,67.21,13.71,8.79,255.00,4,0.156574,0.142498,0.136883,0.077401,27067
32000,25,62.08,13.72,8.80,255.00,3,0.157210,0.142435,0.136710,0.077202,27072
33000,28,55.89,13.75,8.82,255.00,3,0.156876,0.142319,0.137035,0.077403,27066
34000,28,54.21,13.75,8.82,255.00,3,0.156790,0.142486,0.136764,0.076389,26915
35000,27,58.11,13.74,8.81,255.00,3,0.157271,0.142740,0.137017,0.077186,26909
36000,28,55.32,13.75,8.82,255.00,3,0.157312,0.142617,0.136986,0.077351,26813
37000,28,56.43,13.75,8.82,255.00,3,0.157280,0.142450,0.137088,0.077327,27041
38000,25,61.64,13.72,8.80,255.00,3,0.157331,0.142698,0.136290,0.076943,26994
39000,20,78.65,13.65,8.75,255.00,2,0.156760,0.142243,0.136689,0.077732,27003
40000,25,65.16,13.72,8.80,255.00,2,0.157471,0.142555,0.136952,0.076954,26951
41000,28,56.39,13.75,8.82,255.00,2,0.157285,0.141779,0.136597,0.078050,27021
42000,27,56.30,13.74,8.81,255.00,3,0.157178,0.142751,0.137003,0.077662,26963
43000,24,65.58,13.71,8.79,255.00,3,0.156569,0.142194,0.136808,0.076743,26921
44000,26,61.54,13.73,8.81,255.00,2,0.157444,0.142002,0.136793,0.077059,27070
45000,29,52.86,13.76,8.83,255.00,3,0.156837,0.142525,0.136919,0.076943,27111
46000,22,70.55,13.68,8.77,255.00,2,0.156725,0.142127,0.137014,0.077584,26990
47000,28,55.64,13.75,8.82,255.00,3,0.157266,0.142483,0.136953,0.077638,27126
48000,30,52.30,13.77,8.83,255.00,2,0.156932,0.142598,0.136709,0.077670,26999
49000,21,74.19,13.67,8.76,255.00,2,0.156811,0.142462,0.136855,0.077834,27109
50000,26,60.54,13.73,8.81,255.00,3,0.157197,0.142530,0.136619,0.077730,27068
51000,28,56.57,13.75,8.82,255.00,3,0.157289,0.142630,0.137040,0.077367,27014
52000,24,67.21,13.71,8.79,255.00,4,0.157181,0.142435,0.136854,0.077389,27058
53000,25,62.08,13.72,8.80,255.00,3,0.157232,0.142303,0.137019,0.077600,27062
54000,28,55.89,13.75,8.82,255.00,3,0.156876,0.142171,0.136703,0.077514,27066
55000,27,57.81,13.74,8.81,255.00,3,0.157471,0.142703,0.136767,0.077585,26951
56000,27,57.56,13.74,8.81,255.00,3,0.157038,0.142464,0.137073,0.077478,26898
57000,28,55.04,13.75,8.82,255.00,3,0.157359,0.142385,0.136848,0.077137,26913
58000,26,60.58,13.73,8.81,255.00,3,0.157342,0.142453,0.136832,0.077499,26865
59000,27,57.33,13.74,8.81,255.00,3,0.157277,0.142362,0.136992,0.077333,26819
60000,27,56.26,13.74,8.81,255.00,3,0.156555,0.142477,0.136602,0.077594,27064
61000,25,65.16,13.72,8.80,255.00,2,0.157529,0.142459,0.136558,0.077688,26941
62000,27,59.22,13.74,8.81,255.00,2,0.157108,0.141863,0.136868,0.077074,27026
63000,26,59.58,13.73,8.81,255.00,3,0.156913,0.142635,0.137183,0.076658,26964
64000,27,55.89,13.74,8.81,255.00,3,0.156939,0.142151,0.136727,0.077689,26915
65000,25,63.52,13.72,8.80,255.00,2,0.157029,0.142683,0.137026,0.077091,27046
66000,28,58.04,13.75,8.82,255.00,3,0.157318,0.142485,0.136984,0.077395,26901
67000,25,62.52,13.72,8.80,255.00,3,0.156951,0.142497,0.136716,0.077864,26983
68000,26,60.31,13.73,8.81,255.00,3,0.157204,0.142566,0.137044,0.077527,26984
