tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,112.50,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,6,138.83,12.83,8.17,122.67,15,0.150722,0.148620,0.141767,0.097224,25683
2000,6,138.83,12.83,8.17,132.00,31,0.145819,0.145570,0.135971,0.104854,24167
3000,6,138.83,12.83,8.17,132.00,47,0.145005,0.145418,0.137240,0.104655,24213
4000,6,138.83,12.83,8.17,132.00,63,0.145664,0.145209,0.137432,0.104791,24172
5000,6,138.83,12.83,8.17,132.00,79,0.145343,0.145219,0.137406,0.104874,24191
6000,6,138.83,12.83,8.17,132.00,95,0.145734,0.144945,0.137471,0.104879,24085
7000,6,138.83,12.83,8.17,136.00,111,0.146179,0.144981,0.137051,0.103759,24210
8000,6,138.83,12.83,8.17,138.67,127,0.145887,0.145473,0.137371,0.104547,24190
9000,7,119.14,13.00,8.29,159.29,143,0.145228,0.145145,0.137363,0.105122,24286
10000,6,138.17,12.83,8.17,157.50,151,0.145055,0.145055,0.137197,0.104934,24177
11000,7,129.14,13.00,8.29,140.71,163,0.145348,0.144853,0.137640,0.104497,24259
12000,7,139.71,13.00,8.29,128.00,179,0.146050,0.144601,0.138311,0.103009,24163
13000,6,138.83,12.83,8.17,156.00,195,0.145554,0.145389,0.137209,0.104900,24204
14000,6,138.83,12.83,8.17,122.67,207,0.146107,0.145442,0.137515,0.104308,24092
15000,6,138.83,12.83,8.17,132.00,223,0.145658,0.145203,0.137304,0.104839,24180
16000,6,138.83,12.83,8.17,132.00,239,0.145531,0.145325,0.137121,0.104840,24256
17000,7,127.71,13.00,8.29,138.71,255,0.146048,0.145427,0.137569,0.103239,24177
18000,8,111.88,13.12,8.38,160.75,271,0.146368,0.144845,0.138547,0.102614,24295
19000,6,138.83,12.83,8.17,157.33,286,0.146054,0.145022,0.137218,0.103687,24217
20000,6,138.83,12.83,8.17,121.33,295,0.145652,0.145486,0.137072,0.105281,24126
21000,6,138.83,12.83,8.17,132.00,311,0.145849,0.145312,0.136968,0.104709,24210
22000,6,138.83,12.83,8.17,132.00,327,0.145677,0.145347,0.137064,0.104508,24266
23000,6,138.83,12.83,8.17,132.00,343,0.145623,0.145251,0.137142,0.104625,24172
24000,6,138.83,12.83,8.17,132.00,359,0.145939,0.145567,0.136888,0.104898,24195
25000,6,138.83,12.83,8.17,132.00,375,0.145567,0.145154,0.137094,0.104898,24195
26000,6,138.83,12.83,8.17,132.00,391,0.146037,0.144920,0.137059,0.105328,24172
27000,6,138.83,12.83,8.17,132.00,407,0.145623,0.145416,0.137266,0.105246,24172
28000,6,138.83,12.83,8.17,132.00,423,0.145253,0.145542,0.137447,0.104242,24213
29000,6,138.83,12.83,8.17,132.00,439,0.145803,0.145223,0.137314,0.104890,24149
30000,6,138.83,12.83,8.17,132.00,455,0.145696,0.145531,0.136997,0.104634,24256
31000,6,138.83,12.83,8.17,132.00,471,0.145875,0.145256,0.137251,0.104279,24233
32000,6,138.83,12.83,8.17,138.67,487,0.145482,0.145275,0.137060,0.104776,24223
33000,7,119.14,13.00,8.29,159.29,503,0.145325,0.144914,0.136996,0.105034,24373
34000,6,138.17,12.83,8.17,157.50,519,0.145835,0.144840,0.137257,0.105015,24130
35000,6,138.83,12.83,8.17,132.00,531,0.145930,0.145103,0.137119,0.105270,24176
36000,6,138.83,12.83,8.17,132.00,547,0.145815,0.145195,0.137549,0.104691,24195
37000,6,138.83,12.83,8.17,132.00,563,0.146161,0.145333,0.137225,0.104915,24172
38000,6,138.83,12.83,8.17,132.00,579,0.145954,0.145292,0.137184,0.104956,24172
39000,6,138.83,12.83,8.17,132.00,595,0.146135,0.144605,0.136792,0.105291,24190
40000,6,138.83,12.83,8.17,132.00,611,0.145467,0.145385,0.137365,0.104956,24191
41000,6,138.83,12.83,8.17,133.33,627,0.146497,0.145139,0.137030,0.104141,24294
42000,6,138.83,12.83,8.17,132.00,643,0.145971,0.144852,0.137767,0.104454,24135
43000,6,138.83,12.83,8.17,132.00,659,0.145556,0.145184,0.137247,0.104506,24190
44000,6,138.83,12.83,8.17,126.67,675,0.146320,0.145205,0.137069,0.104113,24214
45000,10,84.40,13.30,8.50,159.50,691,0.146823,0.145323,0.136777,0.103719,23988
46000,10,84.40,13.30,8.50,159.50,707,0.145873,0.145050,0.137273,0.105218,24302
47000,10,84.40,13.30,8.50,159.50,723,0.145338,0.145173,0.136738,0.105135,24302
48000,10,84.40,13.30,8.50,159.50,739,0.145743,0.145248,0.136961,0.104803,24255
49000,10,84.40,13.30,8.50,159.50,755,0.145632,0.145385,0.137383,0.104718,24246
50000,10,84.40,13.30,8.50,159.50,771,0.145633,0.145386,0.137341,0.104996,24239
51000,10,84.40,13.30,8.50,159.50,787,0.145669,0.145298,0.137105,0.104661,24288
52000,10,84.40,13.30,8.50,159.50,803,0.145674,0.145221,0.137052,0.104872,24239
53000,10,84.40,13.30,8.50,159.50,819,0.145623,0.144924,0.137156,0.104357,24330
54000,10,84.40,13.30,8.50,159.50,835,0.145667,0.145173,0.137067,0.105012,24302
55000,10,84.40,13.30,8.50,159.50,851,0.145334,0.145087,0.137406,0.104543,24344
56000,10,84.40,13.30,8.50,159.50,867,0.145626,0.145132,0.137232,0.104888,24302
57000,10,84.40,13.30,8.50,159.50,883,0.145175,0.144681,0.137064,0.104867,24288
58000,10,84.40,13.30,8.50,159.50,899,0.145535,0.145082,0.137130,0.105031,24269
59000,10,84.40,13.30,8.50,159.50,915,0.146247,0.145054,0.137816,0.105161,24315
60000,10,84.40,13.30,8.50,159.50,931,0.145708,0.145379,0.136985,0.105012,24302
61000,10,84.40,13.30,8.50,163.50,947,0.145477,0.145108,0.137354,0.105190,24375
62000,10,84.40,13.30,8.50,169.10,963,0.146113,0.145083,0.137087,0.104690,24262
63000,10,99.10,13.30,8.50,172.30,974,0.146537,0.145000,0.111014,0.104782,24069
64000,9,94.00,13.22,8.44,195.89,984,0.145587,0.145257,0.094650,0.105052,24226
65000,10,99.80,13.30,8.50,206.20,997,0.145647,0.145439,0.105009,0.104759,24017
66000,10,99.60,13.30,8.50,188.00,1008,0.145599,0.145269,0.137095,0.104937,24224
67000,11,90.55,13.36,8.55,176.18,1024,0.145787,0.145412,0.137135,0.103194,24042
68000,11,90.55,13.36,8.55,180.55,1040,0.145517,0.145270,0.086767,0.104895,24272
69000,10,100.10,13.30,8.50,186.10,1052,0.145761,0.145430,0.091447,0.104901,24156
70000,10,99.60,13.30,8.50,188.00,1064,0.144920,0.145044,0.136892,0.105442,24165
71000,8,122.50,13.12,8.38,147.50,1080,0.145507,0.145632,0.137105,0.103577,24040
72000,8,122.50,13.12,8.38,146.50,1096,0.145495,0.145413,0.137004,0.104855,24262
73000,8,122.50,13.12,8.38,146.50,1112,0.145711,0.145092,0.136589,0.105094,24226
74000,8,122.50,13.12,8.38,146.50,1128,0.145708,0.145419,0.136761,0.105014,24254
75000,8,122.50,13.12,8.38,147.50,1144,0.145155,0.145113,0.136866,0.104619,24250
76000,8,122.50,13.12,8.38,146.50,1160,0.145837,0.145092,0.136981,0.104370,24164
77000,8,122.50,13.12,8.38,146.50,1176,0.145824,0.145741,0.137071,0.104868,24221
78000,8,122.50,13.12,8.38,146.50,1192,0.145284,0.145284,0.137366,0.104953,24249
79000,8,122.50,13.12,8.38,146.50,1208,0.145340,0.145546,0.137002,0.104929,24226
80000,8,122.50,13.12,8.38,146.50,1224,0.145747,0.145088,0.136682,0.104623,24268
81000,8,122.50,13.12,8.38,147.50,1240,0.145655,0.145078,0.136585,0.104551,24256
82000,8,122.50,13.12,8.38,146.50,1256,0.145185,0.145556,0.137078,0.104198,24300
83000,8,122.50,13.12,8.38,146.50,1272,0.145570,0.144952,0.137785,0.104585,24277
84000,8,122.50,13.12,8.38,146.50,1288,0.145711,0.145464,0.137291,0.104681,24226
85000,8,122.50,13.12,8.38,146.50,1304,0.145735,0.145405,0.137065,0.104739,24222
86000,8,122.50,13.12,8.38,146.50,1320,0.145587,0.145422,0.137002,0.105094,24226
87000,8,122.50,13.12,8.38,146.50,1336,0.145318,0.145153,0.137117,0.104682,24264
88000,8,122.50,13.12,8.38,146.50,1352,0.145752,0.145505,0.136754,0.105094,24226
89000,8,122.50,13.12,8.38,146.50,1368,0.145585,0.145336,0.136928,0.104954,24144
90000,8,122.50,13.12,8.38,146.50,1384,0.145381,0.145464,0.136960,0.104970,24226
91000,8,122.50,13.12,8.38,147.50,1400,0.145836,0.145340,0.136876,0.105000,24219
92000,8,122.50,13.12,8.38,147.50,1416,0.145519,0.145230,0.137049,0.104615,24203
93000,8,122.50,13.12,8.38,147.50,1432,0.145207,0.145207,0.136983,0.104711,24200
94000,8,122.50,13.12,8.38,147.50,1448,0.145908,0.144667,0.137216,0.104516,24159
95000,8,122.50,13.12,8.38,146.50,1464,0.145772,0.145524,0.098961,0.104756,24161
96000,8,122.50,13.12,8.38,151.50,1480,0.145371,0.145289,0.075839,0.104814,24262
97000,8,122.50,13.12,8.38,157.50,1496,0.145621,0.145291,0.074873,0.105111,24241
