tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,7.25,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,39,173.08,7.46,427.51,252.56,5808,5796,2469,33021,0.175888,0.175525,0.074771,0.176358,0.000000,10
2000,40,180.10,7.42,721.67,252.53,6538,6672,3409,38058,0.171790,0.175311,0.089574,0.179294,0.000000,12
3000,40,205.18,7.40,1079.12,252.55,6649,6701,3480,38092,0.174551,0.175916,0.091358,0.184328,0.000000,16
4000,37,233.57,7.32,1367.76,252.22,6769,6742,3532,38298,0.176746,0.176041,0.092224,0.198223,0.000000,21
5000,40,218.07,7.38,1587.97,253.05,6790,6769,3667,38447,0.176607,0.176061,0.095378,0.199554,0.000000,27
6000,38,230.32,7.34,2031.34,252.32,6845,6800,3728,38882,0.176045,0.174888,0.095880,0.193731,0.000000,21
7000,37,239.43,7.32,2437.68,250.68,6811,6638,3678,38555,0.176657,0.172170,0.095396,0.191808,0.000000,26
8000,38,244.79,7.34,2720.08,252.55,6786,6749,3593,38379,0.176815,0.175851,0.093619,0.196824,0.000000,31
9000,39,254.23,7.36,3076.36,252.49,6885,6862,3522,38881,0.177079,0.176487,0.090584,0.201018,0.000000,35
10000,34,314.79,7.26,3903.00,252.50,6818,6788,3356,38296,0.178034,0.177251,0.087633,0.192209,0.000000,31
11000,39,294.44,7.36,3812.31,252.87,6798,6776,3178,38014,0.178829,0.178250,0.083601,0.195956,0.000000,33
12000,37,337.81,7.32,4495.11,252.38,6911,6844,3194,38456,0.179712,0.177970,0.083056,0.197417,0.000000,31
13000,38,344.29,7.34,4786.08,252.84,7082,6884,3114,38603,0.183457,0.178328,0.080667,0.190276,0.000000,31
14000,37,364.19,7.32,5432.62,252.49,7157,6974,3061,39109,0.183001,0.178322,0.078268,0.190622,0.000000,31
15000,34,419.03,7.26,6470.79,253.38,7451,6935,2814,38616,0.192951,0.179589,0.072871,0.202842,0.000000,31
16000,35,440.46,7.29,6795.00,252.09,8302,6805,2521,37615,0.220710,0.180912,0.067021,0.259925,0.000000,31
17000,37,428.30,7.32,6988.24,252.86,8469,6819,2514,38035,0.222663,0.179282,0.066097,0.251517,0.000000,31
18000,40,394.25,7.38,6973.98,252.03,8878,6706,2378,38358,0.231451,0.174827,0.061995,0.265385,0.000000,31
19000,37,439.59,7.32,8099.19,243.92,8839,6564,2172,38105,0.231964,0.172261,0.057000,0.265878,0.000000,34
