tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,7.25,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,41,172.44,7.59,499.56,252.71,5849,5841,1826,33169,0.176339,0.176098,0.055051,0.197260,0.000000,7
2000,39,191.59,7.51,926.54,252.64,6458,6468,2834,37551,0.171979,0.172246,0.075471,0.184900,0.000000,12
3000,42,177.67,7.52,1194.24,252.60,6524,6516,3122,37897,0.172151,0.171940,0.082381,0.200760,0.000000,16
4000,40,206.35,7.47,1569.38,252.47,6558,6423,3006,37247,0.176068,0.172443,0.080704,0.186511,0.000000,22
5000,42,203.81,7.48,1814.00,252.52,6728,6586,3213,38240,0.175941,0.172228,0.084022,0.205544,0.000000,27
6000,42,214.71,7.45,2083.52,252.14,6811,6664,3366,38792,0.175577,0.171788,0.086770,0.191465,0.000000,30
7000,40,228.82,7.42,2514.25,252.60,6846,6725,3434,38961,0.175714,0.172609,0.088139,0.197044,0.000000,14
8000,39,242.38,7.41,2961.26,252.64,6776,6804,3231,38385,0.176527,0.177257,0.084174,0.196675,0.000000,15
9000,39,251.44,7.41,3394.23,252.97,6823,6847,3272,38715,0.176237,0.176857,0.084515,0.186287,0.000000,14
10000,37,274.16,7.35,3759.51,251.68,6852,6866,3412,38896,0.176162,0.176522,0.087721,0.200462,0.000000,15
11000,39,257.51,7.38,3933.10,244.21,6909,6775,3411,38688,0.178583,0.175119,0.088167,0.203255,0.000000,22
12000,37,266.19,7.32,4199.81,204.97,9208,4385,3395,38298,0.240430,0.114497,0.088647,0.276171,0.000000,30
13000,39,252.77,7.36,4354.46,196.77,9967,3507,3359,37585,0.265186,0.093309,0.089371,0.302550,0.000000,37
14000,35,285.69,7.29,5251.00,210.17,9838,3645,3317,37480,0.262487,0.097252,0.088501,0.300216,0.000000,43
15000,37,268.11,7.32,5346.38,200.14,9874,3617,3316,37631,0.262390,0.096118,0.088119,0.296336,0.000000,48
16000,33,324.06,7.24,6420.82,210.45,9547,3943,3275,37421,0.255124,0.105369,0.087518,0.294886,0.000000,56
17000,37,297.08,7.32,6146.22,207.41,9772,3960,3192,37578,0.260046,0.105381,0.084943,0.297801,0.000000,63
18000,36,303.89,7.31,6715.75,204.69,9995,3689,3223,37626,0.265641,0.098044,0.085659,0.297426,0.000000,71
19000,36,304.53,7.31,7128.53,214.89,10011,3725,3242,37762,0.265108,0.098644,0.085854,0.296389,0.000000,78
20000,35,313.77,7.29,7745.49,222.94,9833,3947,3235,37952,0.259090,0.104000,0.085239,0.296257,0.000000,85
21000,38,291.74,7.34,7554.82,216.74,10013,3757,3260,37888,0.264279,0.099161,0.086043,0.301334,0.000000,93
22000,37,297.05,7.32,8154.76,207.19,10002,3797,3280,38026,0.263031,0.099853,0.086257,0.299189,0.000000,99
23000,38,288.26,7.34,8326.37,217.79,9984,3749,3240,37783,0.264246,0.099225,0.085753,0.298825,0.000000,108
24000,34,323.94,7.26,9741.41,218.15,9993,3655,3166,37489,0.266558,0.097495,0.084451,0.299404,0.000000,114
25000,40,272.35,7.38,8665.00,214.22,9996,3739,3213,37760,0.264725,0.099020,0.085090,0.299178,0.000000,121
26000,40,269.98,7.38,9044.45,225.47,9963,3773,3260,37829,0.263369,0.099738,0.086177,0.291738,0.000000,128
27000,42,258.95,7.40,8968.81,215.55,9961,3744,3233,37697,0.264239,0.099318,0.085763,0.301480,0.000000,135
28000,41,263.32,7.39,9554.88,214.00,10038,3713,3230,37813,0.265464,0.098194,0.085420,0.301738,0.000000,142
29000,41,262.71,7.39,9921.29,214.44,10079,3692,3240,37887,0.266028,0.097448,0.085517,0.296981,0.000000,150
30000,37,290.68,7.32,11388.35,217.89,9996,3723,3474,37822,0.264291,0.098435,0.091851,0.298179,0.000000,155
31000,41,263.61,7.39,10660.17,212.10,10009,3696,3878,37728,0.265294,0.097964,0.102788,0.299194,0.000000,164
32000,37,292.57,7.32,12224.86,209.27,9921,3849,4370,37927,0.261581,0.101484,0.115221,0.301065,0.000000,170
33000,37,291.32,7.32,12608.11,214.54,10013,3700,5233,37715,0.265491,0.098104,0.138751,0.297940,0.000000,179
34000,39,279.26,7.36,12358.85,202.82,10074,3676,5339,37819,0.266374,0.097200,0.141172,0.298406,0.000000,186
35000,38,283.97,7.34,13076.58,204.03,10108,3670,5830,37869,0.266920,0.096913,0.153952,0.304840,0.000000,191
36000,39,278.72,7.36,13119.54,218.59,9966,3755,5931,37716,0.264238,0.099560,0.157254,0.297592,0.000000,198
37000,35,309.80,7.29,15041.09,215.03,9999,3681,6006,37651,0.265571,0.097766,0.159518,0.297014,0.000000,207
38000,37,294.46,7.32,14643.59,215.14,9996,3760,6141,37858,0.264039,0.099319,0.162211,0.295535,0.000000,214
39000,36,302.83,7.31,15452.89,217.61,10004,3695,6140,37651,0.265703,0.098138,0.163077,0.298197,0.000000,222
40000,37,294.76,7.32,15439.97,219.32,9931,3796,6099,37784,0.262836,0.100466,0.161418,0.293782,0.000000,229
41000,36,301.39,7.31,16297.19,207.03,10027,3756,6172,37918,0.264439,0.099056,0.162772,0.299085,0.000000,237
42000,37,293.62,7.32,16267.24,211.68,9948,3851,6114,38030,0.261583,0.101262,0.160768,0.297241,0.000000,244
43000,37,295.73,7.32,16658.51,217.00,9930,3828,6078,37844,0.262393,0.101152,0.160607,0.298871,0.000000,253
44000,38,287.47,7.34,16625.13,215.11,10041,3711,6160,37823,0.265473,0.098115,0.162864,0.302334,0.000000,261
45000,36,305.67,7.31,17967.06,203.42,10014,3745,5902,37858,0.264515,0.098922,0.155898,0.300108,0.000000,266
46000,40,274.15,7.38,16532.20,221.75,9927,3821,6050,37885,0.262030,0.100858,0.159694,0.292287,0.000000,275
47000,36,303.89,7.31,18841.19,235.42,9753,4571,5372,37935,0.257098,0.120496,0.141611,0.298186,0.000000,279
48000,40,280.70,7.38,17400.55,246.75,8723,6423,3412,37576,0.232143,0.170934,0.090803,0.274308,0.000000,277
49000,42,261.74,7.40,17010.74,251.40,8662,6747,3190,37938,0.228320,0.177843,0.084085,0.273180,0.000000,278
50000,41,278.20,7.39,17827.00,252.98,8486,6792,3135,38003,0.223298,0.178723,0.082493,0.259949,0.000000,279
51000,42,279.83,7.40,17834.07,252.36,8520,6754,3103,37847,0.225117,0.178455,0.081988,0.265233,0.000000,279
52000,40,295.73,7.38,19220.22,253.03,8587,6813,3163,38225,0.224644,0.178234,0.082747,0.265912,0.000000,280
53000,39,304.97,7.36,20103.64,253.54,8651,6779,3112,37968,0.227850,0.178545,0.081964,0.268159,0.000000,279
54000,40,296.20,7.38,20081.12,251.78,8602,6832,3162,38306,0.224560,0.178353,0.082546,0.272610,0.000000,278
55000,37,320.05,7.32,22244.41,251.51,8509,6824,3155,38298,0.222179,0.178182,0.082380,0.264114,0.000000,277
56000,37,320.30,7.32,22483.73,252.24,8526,6761,3079,38033,0.224174,0.177767,0.080956,0.272531,0.000000,279
57000,38,312.61,7.34,22311.08,231.29,8601,6632,3159,38365,0.224189,0.172866,0.082341,0.268036,0.000000,285
58000,36,327.58,7.31,23668.47,207.14,9832,4779,2960,38222,0.257234,0.125033,0.077442,0.309049,0.000000,292
59000,37,316.92,7.32,23484.92,217.41,10082,4492,2922,38066,0.264856,0.118006,0.076761,0.321094,0.000000,298
60000,39,302.79,7.36,22658.08,210.97,10039,4175,2874,38104,0.263463,0.109569,0.075425,0.315587,0.000000,305
61000,38,310.61,7.34,23709.32,222.24,10105,4273,2904,38264,0.264086,0.111672,0.075894,0.318412,0.000000,310
62000,36,329.42,7.31,25410.53,223.08,10008,4458,2907,37872,0.264259,0.117712,0.076759,0.318147,0.000000,317
63000,36,330.72,7.31,25883.25,218.58,10107,4376,2874,38027,0.265785,0.115076,0.075578,0.323328,0.000000,321
64000,38,314.16,7.34,24965.05,202.26,9943,4477,2945,38035,0.261417,0.117707,0.077429,0.311078,0.000000,326
65000,35,346.63,7.29,27529.17,194.69,9999,4085,2867,38010,0.263062,0.107472,0.075428,0.321358,0.000000,333
66000,35,345.89,7.29,27971.83,209.14,10137,3882,2864,38294,0.264715,0.101374,0.074790,0.314933,0.000000,339
67000,41,291.93,7.39,24275.59,208.54,10068,3911,2846,38040,0.264669,0.102813,0.074816,0.317304,0.000000,346
68000,35,341.86,7.29,28883.94,211.66,10156,3829,2907,38217,0.265746,0.100191,0.076066,0.321379,0.000000,351
69000,36,335.03,7.31,28531.36,206.89,10183,3822,2879,38277,0.266034,0.099851,0.075215,0.325300,0.000000,358
70000,36,333.92,7.31,28993.47,189.64,10100,3848,2874,38102,0.265078,0.100992,0.075429,0.322072,0.000000,364
71000,43,275.35,7.42,24639.07,206.84,10118,3912,2920,38392,0.263544,0.101896,0.076058,0.318629,0.000000,369
72000,41,289.71,7.39,26229.22,213.80,10109,3876,2915,38314,0.263846,0.101164,0.076082,0.318501,0.000000,374
73000,41,312.93,7.39,26645.10,221.59,9931,4144,2631,38018,0.261218,0.109001,0.069204,0.315712,0.000000,382
74000,42,309.07,7.40,26452.14,210.62,10164,4186,2696,38749,0.262304,0.108029,0.069576,0.316283,0.000000,388
75000,40,327.18,7.38,28222.78,211.07,10161,4157,2686,38742,0.262274,0.107300,0.069330,0.321206,0.000000,392
76000,40,330.75,7.38,28673.88,210.45,10109,4159,2652,38516,0.262462,0.107981,0.068855,0.320261,0.000000,397
77000,41,324.95,7.39,28404.17,221.20,10081,4161,2607,38362,0.262786,0.108467,0.067958,0.321753,0.000000,403
78000,43,312.72,7.42,27517.21,207.05,10123,4221,2726,38792,0.260956,0.108811,0.070272,0.314401,0.000000,405
79000,39,348.41,7.36,30795.13,204.90,10129,4180,2649,38649,0.262077,0.108153,0.068540,0.312900,0.000000,411
80000,37,372.14,7.32,32936.43,213.59,10135,4145,2656,38533,0.263021,0.107570,0.068928,0.319864,0.000000,417
81000,37,371.46,7.32,33429.84,204.92,10144,4146,2657,38587,0.262886,0.107446,0.068857,0.319596,0.000000,423
82000,38,360.92,7.34,33014.82,215.53,10104,4157,2682,38570,0.261965,0.107778,0.069536,0.318990,0.000000,430
83000,38,361.39,7.34,33488.47,215.55,10086,4142,2639,38409,0.262595,0.107839,0.068708,0.318299,0.000000,437
84000,36,383.75,7.31,35862.72,213.50,10068,4262,2736,38832,0.259271,0.109755,0.070457,0.308760,0.000000,440
85000,37,371.08,7.32,35369.73,211.05,10116,4182,2724,38699,0.261402,0.108065,0.070389,0.318358,0.000000,445
86000,35,394.23,7.29,37908.57,205.97,10444,4149,2689,38610,0.270500,0.107459,0.069645,0.335561,0.000000,451
87000,39,354.15,7.36,34489.13,203.03,10574,4130,2715,38631,0.273718,0.106909,0.070280,0.344412,0.000000,456
88000,36,384.53,7.31,37851.83,217.08,10340,4227,2646,38410,0.269201,0.110049,0.068888,0.332795,0.000000,462
89000,37,376.76,7.32,37319.03,207.89,10049,4271,2663,38715,0.259563,0.110319,0.068785,0.308112,0.000000,467
90000,37,378.46,7.32,37803.05,210.59,10137,4161,2616,38678,0.262087,0.107581,0.067635,0.321248,0.000000,474
91000,36,389.64,7.31,39371.47,209.67,10066,4355,2548,38560,0.261048,0.112941,0.066079,0.318705,0.000000,479
92000,37,389.38,7.32,38813.08,219.49,9954,4488,2497,38364,0.259462,0.116985,0.065087,0.322234,0.000000,485
93000,36,406.53,7.31,40428.92,207.97,10015,4496,2538,38641,0.259181,0.116353,0.065682,0.321845,0.000000,491
94000,36,415.47,7.31,40964.42,200.50,9906,4559,2540,38496,0.257325,0.118428,0.065981,0.316248,0.000000,496
95000,38,394.05,7.34,39297.61,213.89,10025,4484,2539,38672,0.259231,0.115950,0.065655,0.316881,0.000000,502
96000,44,334.89,7.43,34375.52,214.84,10034,4517,2509,38619,0.259820,0.116963,0.064968,0.311905,0.000000,509
97000,44,335.75,7.43,34805.18,217.59,10030,4513,2509,38741,0.258899,0.116492,0.064763,0.315157,0.000000,516
98000,41,358.05,7.39,37811.12,220.17,10033,4527,2574,38804,0.258556,0.116663,0.066333,0.313811,0.000000,520
99000,41,357.80,7.39,38278.17,217.29,10062,4493,2550,38829,0.259136,0.115712,0.065673,0.311829,0.000000,526
100000,40,366.77,7.38,39712.97,214.10,10016,4479,2556,38636,0.259240,0.115928,0.066156,0.316083,0.000000,533
