tick,exp_refresh_ratio,ctrl_refresh_ratio
0,0.000000,0.000000
1000,0.141516,0.140359
2000,0.137333,0.136364
3000,0.137267,0.136684
4000,0.137421,0.136456
5000,0.137203,0.136749
6000,0.137640,0.136612
7000,0.137172,0.135629
8000,0.136989,0.136809
9000,0.137445,0.137345
10000,0.136884,0.137709
11000,0.138007,0.137045
12000,0.137337,0.137272
13000,0.137056,0.137179
14000,0.137048,0.137227
15000,0.137067,0.137174
16000,0.137317,0.136600
17000,0.136959,0.137285
18000,0.136916,0.137428
19000,0.137021,0.137047
20000,0.137129,0.137072
21000,0.136839,0.137171
22000,0.137171,0.137245
23000,0.136965,0.137331
24000,0.136996,0.136884
25000,0.136792,0.137016
26000,0.137253,0.137032
27000,0.137330,0.137657
28000,0.137194,0.136941
29000,0.136720,0.137138
30000,0.136744,0.136991
31000,0.136431,0.137161
32000,0.136114,0.137061
33000,0.136429,0.137361
34000,0.136540,0.137157
35000,0.136261,0.137089
36000,0.137053,0.137060
37000,0.136894,0.137143
38000,0.136894,0.137349
39000,0.137209,0.136985
40000,0.136668,0.137096
41000,0.137508,0.137245
42000,0.136995,0.136969
43000,0.136914,0.137219
44000,0.161834,0.137004
45000,0.239156,0.136992
46000,0.238610,0.137277
47000,0.239546,0.136586
48000,0.239383,0.137218
49000,0.239628,0.137270
50000,0.239628,0.137271
51000,0.239199,0.137271
52000,0.239401,0.137330
53000,0.239159,0.137421
54000,0.238202,0.137099
55000,0.239483,0.137066
56000,0.239788,0.137214
57000,0.239200,0.137061
58000,0.239057,0.137063
59000,0.238933,0.137056
60000,0.239200,0.137508
61000,0.239200,0.136963
62000,0.239567,0.137508
63000,0.239976,0.137033
64000,0.239853,0.137025
65000,0.238994,0.137380
66000,0.238080,0.137147
67000,0.238504,0.137081
68000,0.239016,0.137483
69000,0.239465,0.137208
70000,0.239159,0.137126
71000,0.238975,0.137501
72000,0.239625,0.137044
73000,0.239422,0.137529
74000,0.239587,0.137132
75000,0.239423,0.136993
76000,0.239220,0.137544
77000,0.238914,0.137022
78000,0.238894,0.137025
79000,0.237979,0.136956
80000,0.238770,0.137191
81000,0.239935,0.136620
82000,0.239486,0.137021
83000,0.239771,0.137518
84000,0.239096,0.137265
85000,0.238406,0.137296
86000,0.239873,0.136973
87000,0.238709,0.136561
88000,0.238566,0.137268
89000,0.239037,0.137799
90000,0.239649,0.137362
91000,0.239526,0.137027
92000,0.238465,0.136822
93000,0.238873,0.137087
94000,0.239179,0.137218
95000,0.238528,0.136790
96000,0.238770,0.137182
97000,0.239014,0.137285
98000,0.238321,0.136925
99000,0.239016,0.137049
100000,0.239486,0.137096
101000,0.238730,0.137324
102000,0.239383,0.137064
103000,0.238628,0.136718
104000,0.238955,0.137049
105000,0.239567,0.136561
106000,0.239261,0.137734
107000,0.238118,0.136952
108000,0.239690,0.137279
109000,0.239220,0.136730
110000,0.239731,0.137405
111000,0.239138,0.137304
112000,0.239383,0.137089
113000,0.238975,0.136892
114000,0.239057,0.136705
115000,0.238384,0.137275
116000,0.238811,0.137153
117000,0.238118,0.137117
118000,0.239220,0.137219
119000,0.239586,0.137136
120000,0.239506,0.137131
121000,0.238547,0.137279
122000,0.239464,0.137084
123000,0.239853,0.136893
124000,0.240098,0.137159
125000,0.236020,0.137084
