tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,5.50,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,22,500.55,5.73,528.23,255.00,5521,5511,1472,24464,0.225679,0.225270,0.060170,0.177136,0.000000,6
2000,21,542.33,5.62,1060.10,255.00,5068,5076,1576,22007,0.230290,0.230654,0.071614,0.000000,0.000000,16
3000,21,550.52,5.62,1609.43,255.00,4936,4942,1442,21091,0.234033,0.234318,0.068370,0.000000,0.000000,25
4000,21,557.67,5.62,2119.14,255.00,4970,4940,1422,21099,0.235556,0.234134,0.067397,0.000000,0.000000,35
5000,21,587.71,5.62,2678.38,255.00,5078,4946,1300,21089,0.240789,0.234530,0.061644,0.000000,0.000000,45
6000,21,593.71,5.62,3272.29,255.00,5080,4938,1286,21082,0.240964,0.234228,0.061000,0.000000,0.000000,54
7000,21,615.76,5.62,3876.10,255.00,5116,4964,1155,21080,0.242694,0.235484,0.054791,0.000000,0.000000,64
8000,21,632.33,5.62,4484.86,255.00,5104,4969,1152,21079,0.242137,0.235732,0.054652,0.000000,0.000000,74
9000,21,636.71,5.62,5123.33,255.00,5101,4960,1152,21073,0.242063,0.235372,0.054667,0.000000,0.000000,83
10000,21,636.29,5.62,5737.05,255.00,5115,4983,1139,21078,0.242670,0.236408,0.054037,0.000000,0.000000,93
11000,21,657.95,5.62,6420.10,255.00,5129,5156,1009,21064,0.243496,0.244778,0.047902,0.000000,0.000000,102
12000,21,668.43,5.62,7073.43,255.00,5123,5153,1009,21070,0.243142,0.244566,0.047888,0.000000,0.000000,112
13000,21,679.48,5.62,7731.71,255.00,5136,5150,1008,21069,0.243770,0.244435,0.047843,0.000000,0.000000,122
14000,20,714.00,5.50,8831.70,255.00,5082,5120,975,20804,0.244280,0.246107,0.046866,0.000000,0.000000,131
15000,20,710.95,5.50,9519.70,255.00,4983,5004,865,20060,0.248405,0.249452,0.043121,0.000000,0.000000,141
16000,20,717.75,5.50,10238.90,255.00,4991,5008,865,20054,0.248878,0.249726,0.043134,0.000000,0.000000,150
17000,20,712.70,5.50,10924.95,255.00,4981,5014,863,20051,0.248417,0.250062,0.043040,0.000000,0.000000,160
18000,74,269.27,7.32,3196.73,255.00,6211,4969,1426,24088,0.257846,0.206285,0.059200,0.468493,0.000000,179
19000,100,956.99,7.50,3364.87,255.00,27845,4998,12262,99929,0.278648,0.050016,0.122707,0.292308,0.000000,179
20000,100,972.86,7.50,4364.87,255.00,27833,5006,12297,100000,0.278330,0.050060,0.122970,0.000000,0.000000,179
21000,100,988.08,7.50,5364.87,255.00,27816,4997,12286,100000,0.278160,0.049970,0.122860,0.000000,0.000000,179
22000,100,993.81,7.50,6364.87,255.00,27827,4995,12291,100000,0.278270,0.049950,0.122910,0.000000,0.000000,179
23000,100,994.62,7.50,7364.87,255.00,27825,5007,12283,100000,0.278250,0.050070,0.122830,0.000000,0.000000,179
24000,100,528.65,7.50,8306.42,255.00,27864,4962,12269,99950,0.278779,0.049645,0.122751,0.133333,0.000000,179
25000,40,366.52,6.75,8304.42,255.00,18772,4643,7426,66415,0.282647,0.069909,0.111812,0.294346,0.000000,181
26000,37,395.95,6.65,9421.38,255.00,11231,4149,3465,38422,0.292306,0.107985,0.090183,0.320280,0.000000,179
27000,36,409.14,6.61,10128.47,255.00,11645,4140,3652,38371,0.303484,0.107894,0.095176,0.336343,0.000000,185
28000,36,407.39,6.61,10418.83,255.00,11986,4143,3234,38150,0.314181,0.108598,0.084771,0.349199,0.000000,194
29000,39,376.44,6.72,10042.87,255.00,12871,4153,2917,37493,0.343291,0.110767,0.077801,0.391161,0.000000,195
30000,38,385.11,6.68,10802.42,255.00,12968,4140,2923,37597,0.344921,0.110115,0.077746,0.394410,0.000000,196
31000,36,407.56,6.61,11938.78,255.00,13000,4140,2909,37602,0.345726,0.110101,0.077363,0.397274,0.000000,195
32000,39,374.87,6.72,11508.28,255.00,12974,4148,2910,37590,0.345145,0.110348,0.077414,0.393873,0.000000,194
33000,38,386.21,6.68,12302.42,255.00,12953,4140,2917,37554,0.344917,0.110241,0.077675,0.394678,0.000000,195
34000,40,364.65,6.75,12169.85,255.00,12993,4140,2927,37640,0.345191,0.109989,0.077763,0.395159,0.000000,198
35000,38,385.53,6.68,13301.63,255.00,12963,4154,2929,37682,0.344010,0.110238,0.077729,0.391046,0.000000,196
36000,37,396.32,6.65,14183.81,255.00,12896,4146,2911,37501,0.343884,0.110557,0.077625,0.393307,0.000000,195
37000,35,418.37,6.57,15522.77,255.00,13004,4140,2927,37661,0.345291,0.109928,0.077720,0.392627,0.000000,196
38000,37,396.38,6.65,15210.14,255.00,12947,4153,2918,37574,0.344573,0.110529,0.077660,0.391478,0.000000,194
39000,35,418.23,6.57,16617.34,255.00,13005,4139,2926,37669,0.345244,0.109878,0.077677,0.394635,0.000000,195
40000,35,417.83,6.57,17170.23,255.00,13373,4140,2921,37594,0.355722,0.110124,0.077699,0.413554,0.000000,201
41000,35,418.46,6.57,17698.06,255.00,13391,4149,2870,37369,0.358345,0.111028,0.076802,0.419099,0.000000,206
42000,37,394.35,6.65,17263.22,255.00,13839,4140,2875,37275,0.371268,0.111066,0.077129,0.444787,0.000000,208
43000,37,394.19,6.65,17756.46,255.00,13290,4140,2874,37256,0.356721,0.111123,0.077142,0.415188,0.000000,195
44000,38,383.55,6.68,16615.24,255.00,12969,4149,2929,37641,0.344545,0.110226,0.077814,0.391910,0.000000,194
45000,37,396.14,6.65,17029.19,255.00,12887,4140,2920,37554,0.343159,0.110241,0.077755,0.391447,0.000000,198
46000,37,410.76,6.65,17441.05,255.00,12750,4139,2817,37100,0.343666,0.111563,0.075930,0.390349,0.000000,206
47000,37,420.32,6.65,17863.46,255.00,12813,4149,2780,37364,0.342924,0.111043,0.074403,0.389180,0.000000,211
48000,35,447.11,6.57,19325.91,255.00,13015,4140,2819,37779,0.344504,0.109585,0.074618,0.392705,0.000000,216
49000,38,436.76,6.68,18303.37,255.00,12930,4140,2698,37434,0.345408,0.110595,0.072074,0.387973,0.000000,223
50000,38,452.11,6.68,18841.74,255.00,13124,4149,2660,37858,0.346664,0.109594,0.070263,0.389444,0.000000,223
51000,40,437.38,6.75,18415.58,255.00,13309,4140,2643,38345,0.347086,0.107967,0.068927,0.391223,0.000000,225
52000,38,460.74,6.68,19762.42,255.00,13314,4140,2651,38359,0.347089,0.107928,0.069110,0.389017,0.000000,230
53000,40,437.95,6.75,19313.97,255.00,13326,4148,2673,38489,0.346229,0.107771,0.069448,0.390434,0.000000,231
54000,37,475.03,6.65,21444.32,255.00,13364,4140,2680,38572,0.346469,0.107332,0.069480,0.390350,0.000000,231
55000,41,429.32,6.78,19874.98,255.00,13395,4147,2664,38538,0.347579,0.107608,0.069127,0.392072,0.000000,232
56000,40,437.85,6.75,20913.20,255.00,13394,4149,2678,38589,0.347094,0.107518,0.069398,0.391868,0.000000,231
57000,39,449.69,6.72,21959.15,255.00,13345,4140,2649,38452,0.347056,0.107667,0.068891,0.388607,0.000000,233
58000,40,438.15,6.75,21945.55,255.00,13367,4140,2660,38462,0.347538,0.107639,0.069159,0.391534,0.000000,231
59000,36,488.06,6.61,24953.89,255.00,13410,4153,2682,38633,0.347113,0.107499,0.069423,0.390659,0.000000,231
60000,38,461.74,6.68,24200.13,255.00,13425,4139,2682,38655,0.347303,0.107075,0.069383,0.390374,0.000000,230
61000,38,463.79,6.68,24755.29,255.00,13376,4140,2664,38522,0.347230,0.107471,0.069155,0.391022,0.000000,231
62000,38,462.13,6.68,25307.21,255.00,13403,4149,2659,38589,0.347327,0.107518,0.068906,0.390076,0.000000,233
63000,37,474.65,6.65,26546.68,255.00,13411,4140,2671,38599,0.347444,0.107257,0.069199,0.391957,0.000000,231
64000,39,449.87,6.72,25727.82,255.00,13400,4140,2670,38557,0.347537,0.107373,0.069248,0.389040,0.000000,231
65000,37,475.95,6.65,27696.41,255.00,13402,4152,2669,38583,0.347355,0.107612,0.069176,0.392683,0.000000,231
66000,37,475.65,6.65,28257.46,255.00,13360,4140,2644,38453,0.347437,0.107664,0.068759,0.391128,0.000000,230
