round,base_seed,exp_refresh,ctrl_refresh,refresh_diff,eat_diff,pop_diff,refresh_p,refresh_d,exp_survived,ctrl_survived
1,10000,0.169709,0.137956,0.031753,0.076006,-18.79,0.601508,0.4099,5,5
2,10100,0.153102,0.136072,0.017030,0.063832,-17.42,0.601508,0.2250,5,5
3,10200,0.110406,0.138632,-0.028226,0.118078,-20.84,0.601508,-0.3130,5,5
4,10300,0.130073,0.137634,-0.007561,0.031793,-17.34,0.754023,-0.0963,5,5
5,10400,0.059504,0.138619,-0.079114,0.092575,-14.02,0.009024,-2.1593,5,5
6,10500,0.207107,0.139094,0.068013,0.108880,-15.48,0.009024,2.3548,5,5
7,10600,0.223652,0.138128,0.085524,0.017950,-17.22,0.009024,5.5454,5,5
8,10700,0.145892,0.138037,0.007855,0.112960,-20.44,0.601508,0.0930,5,5
9,10800,0.135515,0.137215,-0.001700,0.121615,-19.12,0.601508,-0.0248,5,5
10,10900,0.017199,0.137828,-0.120629,0.138724,-16.91,0.009024,-16.6868,5,5
11,11000,0.107424,0.142958,-0.035533,0.145992,-21.38,0.601508,-0.3857,5,5
12,11100,0.162065,0.137902,0.024164,0.101512,-13.86,0.601508,0.3557,5,5
13,11200,0.049930,0.140936,-0.091006,0.075641,-13.78,0.009024,-2.9360,5,5
14,11300,0.101562,0.138108,-0.036546,0.101117,-16.89,0.601508,-0.4606,5,5
15,11400,0.146889,0.139056,0.007833,0.123045,-12.60,0.601508,0.1010,5,5
16,11500,0.062232,0.136377,-0.074145,0.063247,-8.97,0.117185,-1.1805,5,5
17,11600,0.220815,0.142145,0.078669,0.101196,-23.07,0.117185,1.8598,5,5
18,11700,0.156566,0.136899,0.019666,0.100181,-11.72,0.601508,0.3483,5,5
19,11800,0.197716,0.138272,0.059444,0.105510,-20.23,0.117185,0.7978,5,5
20,11900,0.171511,0.136283,0.035228,0.064991,-18.39,0.250592,0.5509,5,5
21,12000,0.167574,0.138541,0.029033,0.059673,-16.27,0.601508,0.4285,5,5
22,12100,0.045049,0.137454,-0.092405,0.112009,-17.45,0.009024,-3.2542,5,5
23,12200,0.065749,0.139088,-0.073339,0.166131,-18.72,0.117185,-1.0030,5,5
24,12300,0.176104,0.139538,0.036566,0.120090,-15.22,0.117185,0.5108,5,5
25,12400,0.172860,0.139325,0.033536,0.083874,-17.28,0.117185,0.9048,5,5
26,12500,0.118729,0.140036,-0.021307,0.070877,-17.68,0.601508,-0.2536,5,5
27,12600,0.074683,0.140135,-0.065452,0.084060,-17.77,0.117185,-0.9300,5,5
28,12700,0.117999,0.136626,-0.018627,0.107439,-10.01,0.601508,-0.2431,5,5
29,12800,0.183249,0.138190,0.045059,0.088261,-19.04,0.117185,0.6293,5,5
30,12900,0.161856,0.140225,0.021631,0.101378,-16.80,0.601508,0.2910,5,5
31,13000,0.118154,0.133665,-0.015511,0.077945,-17.31,0.601508,-0.1841,5,5
32,13100,0.052399,0.138788,-0.086389,0.183797,-17.62,0.075800,-2.2273,5,5
33,13200,0.087015,0.140047,-0.053032,0.156271,-15.46,0.117185,-0.7368,5,5
34,13300,0.116335,0.133879,-0.017544,0.095531,-14.40,0.601508,-0.3138,5,5
35,13400,0.120681,0.137527,-0.016845,0.067630,-18.60,0.601508,-0.2628,5,5
36,13500,0.135588,0.140385,-0.004796,0.044700,-14.30,0.916815,-0.0641,5,5
37,13600,0.097894,0.140399,-0.042505,0.120098,-14.70,0.117185,-0.6759,5,5
38,13700,0.142904,0.136544,0.006360,0.097655,-14.16,0.601508,0.0969,5,5
39,13800,0.172850,0.138659,0.034191,0.130807,-19.78,0.601508,0.6720,5,5
40,13900,0.091856,0.140638,-0.048782,0.094511,-15.72,0.117185,-0.7266,5,5
41,14000,0.081025,0.137892,-0.056867,0.125057,-15.95,0.117185,-0.8233,5,5
42,14100,0.123300,0.137983,-0.014684,0.120465,-16.92,0.601508,-0.1722,5,5
43,14200,0.145697,0.137904,0.007793,0.092914,-17.58,0.601508,0.1117,5,5
44,14300,0.157828,0.136699,0.021130,0.133648,-21.18,0.601508,0.2545,5,5
45,14400,0.039050,0.138570,-0.099520,0.160155,-17.35,0.009024,-3.6570,5,5
46,14500,0.157390,0.139114,0.018276,0.089011,-18.49,0.916815,0.2888,5,5
47,14600,0.121377,0.136925,-0.015548,0.092966,-16.84,0.601508,-0.1967,5,5
48,14700,0.148184,0.137780,0.010404,0.061941,-19.67,0.916815,0.1471,5,5
49,14800,0.076198,0.138841,-0.062643,0.103792,-15.29,0.117185,-1.0383,5,5
50,14900,0.165745,0.139106,0.026639,0.085172,-20.84,0.601508,0.3329,5,5
51,15000,0.123447,0.139023,-0.015576,0.111280,-17.94,0.601508,-0.2219,5,5
