round,seed,cpu_eat,const_eat,eat_diff,cpu_refresh,const_refresh,cpu_pop,const_pop,survived_cpu,survived_const
1,20000,0.253072,0.138741,0.114331,0.016871,0.236089,7.98,8.24,true,true
2,20137,0.245098,0.407453,-0.162355,0.245098,0.041248,1.00,8.71,true,true
3,20274,0.351852,0.183824,0.168029,0.032001,0.245098,5.41,2.00,true,true
4,20411,0.245098,0.339834,-0.094736,0.245098,0.308321,1.00,26.06,true,true
5,20548,0.265059,0.138536,0.126523,0.034467,0.236155,15.71,8.08,true,true
6,20685,0.372451,0.266552,0.105899,0.126099,0.010533,14.75,9.76,true,true
7,20822,0.313880,0.328753,-0.014873,0.222239,0.084162,25.14,9.92,true,true
8,20959,0.245098,0.220919,0.024179,0.245098,0.138000,1.00,18.02,true,true
9,21096,0.141814,0.281780,-0.139966,0.235787,0.010004,7.00,10.67,true,true
10,21233,0.307775,0.285119,0.022656,0.010861,0.096058,8.41,18.84,true,true
11,21370,0.109762,0.267042,-0.157280,0.215218,0.010541,10.00,8.84,true,true
12,21507,0.221764,0.138739,0.083025,0.221655,0.236085,22.04,8.16,true,true
13,21644,0.135466,0.140639,-0.005174,0.134897,0.236426,23.61,10.98,true,true
14,21781,0.245098,0.285242,-0.040144,0.245098,0.123256,1.00,2.96,true,true
15,21918,0.323065,0.267345,0.055720,0.095501,0.010456,15.45,8.67,true,true
16,22055,0.245098,0.391707,-0.146609,0.245098,0.076204,1.00,17.90,true,true
17,22192,0.141935,0.433857,-0.291922,0.235496,0.025784,7.00,9.84,true,true
18,22329,0.213586,0.198877,0.014709,0.171560,0.019438,11.18,8.53,true,true
19,22466,0.313843,0.245098,0.068745,0.066196,0.245098,16.14,1.00,true,true
20,22603,0.451457,0.259318,0.192140,0.010612,0.010520,8.33,9.08,true,true
21,22740,0.293064,0.352849,-0.059785,0.010541,0.010273,8.12,9.25,true,true
22,22877,0.245098,0.138787,0.106311,0.245098,0.236067,1.00,8.22,true,true
23,23014,0.190432,0.244418,-0.053986,0.083401,0.221526,17.80,26.59,true,true
24,23151,0.331544,0.280957,0.050587,0.215637,0.031073,12.55,16.78,true,true
25,23288,0.218845,0.272484,-0.053639,0.043609,0.110890,13.12,11.61,true,true
26,23425,0.236799,0.281179,-0.044379,0.009871,0.012370,8.55,7.20,true,true
27,23562,0.346034,0.332714,0.013321,0.009918,0.067782,9.24,16.08,true,true
28,23699,0.245098,0.245098,0.000000,0.245098,0.245098,1.00,1.00,true,true
29,23836,0.141913,0.208267,-0.066353,0.235558,0.031216,7.00,17.31,true,true
30,23973,0.133706,0.382849,-0.249143,0.237378,0.021642,10.57,10.31,true,true
31,24110,0.245098,0.138610,0.106488,0.245098,0.236358,1.00,8.06,true,true
32,24247,0.245098,0.500803,-0.255705,0.245098,0.010559,1.00,10.18,true,true
33,24384,0.238310,0.262818,-0.024508,0.237753,0.021363,1.33,10.04,true,true
34,24521,0.245655,0.130041,0.115614,0.223374,0.249961,22.31,26.00,true,true
35,24658,0.329834,0.163373,0.166461,0.116909,0.010070,7.78,9.96,true,true
36,24795,0.245098,0.330602,-0.085504,0.245098,0.022134,1.00,9.04,true,true
37,24932,0.141813,0.152388,-0.010575,0.235788,0.125743,7.00,19.88,true,true
38,25069,0.431240,0.303303,0.127937,0.010595,0.073813,7.78,15.22,true,true
39,25206,0.245098,0.369703,-0.124605,0.245098,0.024004,1.00,15.51,true,true
40,25343,0.245098,0.209092,0.036006,0.245098,0.010613,1.00,8.96,true,true
41,25480,0.318688,0.413946,-0.095258,0.176353,0.009919,8.16,9.43,true,true
42,25617,0.245098,0.138762,0.106336,0.245098,0.236039,1.00,8.20,true,true
43,25754,0.335531,0.138738,0.196794,0.010090,0.236058,7.96,8.10,true,true
44,25891,0.270289,0.138603,0.131686,0.010426,0.236340,8.20,8.02,true,true
45,26028,0.422858,0.396154,0.026705,0.132027,0.036003,14.20,18.29,true,true
46,26165,0.280581,0.400609,-0.120028,0.023534,0.022319,6.63,13.59,true,true
47,26302,0.333165,0.246917,0.086248,0.011786,0.021658,7.82,9.51,true,true
48,26439,0.186773,0.245098,-0.058325,0.236452,0.245098,2.08,1.00,true,true
49,26576,0.248389,0.245098,0.003291,0.174387,0.245098,12.55,1.00,true,true
50,26713,0.141928,0.274427,-0.132499,0.235520,0.064816,7.00,10.47,true,true
51,26850,0.183824,0.222973,-0.039149,0.245098,0.011884,2.00,12.37,true,true
52,26987,0.224538,0.155789,0.068749,0.037345,0.121085,9.76,20.96,true,true
53,27124,0.230943,0.269995,-0.039052,0.225112,0.091487,17.43,17.41,true,true
54,27261,0.405652,0.138824,0.266828,0.010287,0.236023,8.63,8.22,true,true
55,27398,0.245098,0.390182,-0.145084,0.245098,0.030574,1.00,14.73,true,true
56,27535,0.162083,0.183824,-0.021740,0.008243,0.245098,30.29,2.00,true,true
57,27672,0.246951,0.138775,0.108177,0.112761,0.236091,15.82,8.06,true,true
58,27809,0.245098,0.327859,-0.082761,0.245098,0.066352,1.00,15.98,true,true
59,27946,0.245098,0.275721,-0.030623,0.245098,0.010427,1.00,9.75,true,true
60,28083,0.265689,0.228145,0.037544,0.010657,0.134776,7.86,23.02,true,true
61,28220,0.341531,0.245098,0.096433,0.211609,0.245098,9.00,1.00,true,true
62,28357,0.305421,0.218689,0.086732,0.021425,0.218613,11.73,26.75,true,true
63,28494,0.141912,0.288640,-0.146728,0.235593,0.028537,7.00,8.80,true,true
64,28631,0.365674,0.183588,0.182086,0.010213,0.309240,8.33,7.00,true,true
65,28768,0.238515,0.267341,-0.028825,0.081427,0.010473,7.24,8.86,true,true
66,28905,0.135432,0.244434,-0.109002,0.135125,0.221537,23.82,26.61,true,true
67,29042,0.222665,0.233409,-0.010743,0.012008,0.211541,8.41,14.22,true,true
68,29179,0.351993,0.340706,0.011287,0.032460,0.194933,11.43,25.61,true,true
69,29316,0.142565,0.319447,-0.176882,0.234492,0.010319,8.69,10.45,true,true
