round,seed,a_eat,e_eat,f_eat,ae_diff,af_diff,a_pop,e_pop,f_pop,a_surv,e_surv,f_surv
1,30000,0.249004,0.237266,0.249004,0.011738,0.000000,2.00,21.46,3.00,true,true,true
2,30077,0.296151,0.249004,0.292090,0.047147,0.004060,13.97,2.00,28.09,true,true,true
3,30154,0.249004,0.422953,0.249004,-0.173949,0.000000,2.00,23.81,3.00,true,true,true
4,30231,0.249004,0.395645,0.249004,-0.146641,0.000000,2.00,23.08,3.00,true,true,true
5,30308,0.238111,0.459495,0.249004,-0.221384,-0.010893,19.31,22.27,3.00,true,true,true
6,30385,0.342394,0.431394,0.249004,-0.088999,0.093390,20.75,24.75,3.00,true,true,true
7,30462,0.240141,0.359453,0.249004,-0.119312,-0.008863,20.22,21.40,3.00,true,true,true
8,30539,0.423204,0.307954,0.249004,0.115250,0.174200,20.71,22.56,3.00,true,true,true
9,30616,0.249004,0.317132,0.494813,-0.068128,-0.245809,2.00,24.45,25.90,true,true,true
10,30693,0.249004,0.483937,0.249004,-0.234933,0.000000,2.00,24.14,3.00,true,true,true
11,30770,0.356642,0.249004,0.249004,0.107638,0.107638,22.78,1.00,2.00,true,true,true
12,30847,0.249004,0.268070,0.521867,-0.019066,-0.272863,2.00,24.31,27.40,true,true,true
13,30924,0.492343,0.110103,0.249004,0.382241,0.243339,20.96,21.39,3.00,true,true,true
14,31001,0.249004,0.366733,0.249004,-0.117729,0.000000,2.00,22.93,3.00,true,true,true
15,31078,0.249004,0.320479,0.249004,-0.071475,0.000000,2.00,26.37,3.00,true,true,true
16,31155,0.249004,0.507261,0.174423,-0.258257,0.074581,2.00,23.10,30.69,true,true,true
17,31232,0.249004,0.154093,0.249004,0.094911,0.000000,2.00,26.35,3.00,true,true,true
18,31309,0.283156,0.403009,0.249004,-0.119853,0.034152,22.65,20.65,3.00,true,true,true
19,31386,0.249004,0.257028,0.249004,-0.008024,0.000000,2.00,26.16,3.00,true,true,true
20,31463,0.216041,0.355236,0.249004,-0.139195,-0.032963,23.58,20.55,3.00,true,true,true
21,31540,0.400858,0.249004,0.249004,0.151854,0.151854,20.26,1.00,3.00,true,true,true
22,31617,0.249004,0.186753,0.249004,0.062251,0.000000,2.00,2.00,3.00,true,true,true
23,31694,0.249004,0.257036,0.249004,-0.008032,0.000000,2.00,27.24,3.00,true,true,true
24,31771,0.217194,0.249004,0.249004,-0.031810,-0.031810,22.33,1.00,3.00,true,true,true
25,31848,0.249004,0.163921,0.249004,0.085083,0.000000,2.00,28.38,3.00,true,true,true
26,31925,0.274702,0.245765,0.249004,0.028938,0.025698,20.83,21.67,3.00,true,true,true
27,32002,0.249004,0.321640,0.249004,-0.072636,0.000000,2.00,19.56,3.00,true,true,true
28,32079,0.170016,0.269923,0.401433,-0.099907,-0.231417,20.33,24.98,26.15,true,true,true
29,32156,0.249004,0.260945,0.249004,-0.011941,0.000000,2.00,20.70,3.00,true,true,true
30,32233,0.251377,0.186753,0.271818,0.064624,-0.020441,21.00,2.00,26.83,true,true,true
31,32310,0.249004,0.186753,0.249004,0.062251,0.000000,2.00,2.00,3.00,true,true,true
32,32387,0.249004,0.428249,0.249004,-0.179245,0.000000,2.00,17.64,3.00,true,true,true
33,32464,0.252984,0.244387,0.249004,0.008597,0.003980,22.30,26.29,3.00,true,true,true
34,32541,0.249004,0.385603,0.249004,-0.136599,0.000000,2.00,21.57,3.00,true,true,true
35,32618,0.249004,0.384358,0.249004,-0.135354,0.000000,2.00,25.84,3.00,true,true,true
36,32695,0.249004,0.186753,0.249004,0.062251,0.000000,2.00,2.00,3.00,true,true,true
37,32772,0.368412,0.366550,0.249004,0.001862,0.119408,21.38,23.26,3.00,true,true,true
38,32849,0.249004,0.249004,0.249004,0.000000,0.000000,2.00,2.00,2.00,true,true,true
39,32926,0.337847,0.468780,0.249004,-0.130933,0.088843,21.96,22.04,3.00,true,true,true
40,33003,0.249004,0.233019,0.249004,0.015985,0.000000,2.00,25.72,3.00,true,true,true
41,33080,0.249004,0.249004,0.249004,0.000000,0.000000,2.00,3.00,3.00,true,true,true
42,33157,0.274543,0.345796,0.249004,-0.071253,0.025539,21.13,23.65,3.00,true,true,true
43,33234,0.249004,0.164845,0.249004,0.084159,0.000000,2.00,24.35,3.00,true,true,true
44,33311,0.249004,0.249004,0.249004,0.000000,0.000000,2.00,1.00,3.00,true,true,true
45,33388,0.249004,0.163640,0.249004,0.085364,0.000000,2.00,22.96,3.00,true,true,true
46,33465,0.249004,0.331945,0.249004,-0.082941,0.000000,2.00,26.44,3.00,true,true,true
47,33542,0.213797,0.153531,0.249004,0.060266,-0.035207,22.57,24.32,3.00,true,true,true
48,33619,0.249004,0.186753,0.249004,0.062251,0.000000,2.00,2.00,3.00,true,true,true
49,33696,0.249004,0.249004,0.249004,0.000000,0.000000,2.00,3.00,3.00,true,true,true
50,33773,0.258572,0.249004,0.249004,0.009569,0.009569,20.77,1.00,3.00,true,true,true
51,33850,0.262782,0.135253,0.249004,0.127529,0.013778,21.72,26.54,3.00,true,true,true
52,33927,0.179493,0.471900,0.249004,-0.292407,-0.069510,22.00,21.58,3.00,true,true,true
53,34004,0.249004,0.461537,0.249004,-0.212533,0.000000,2.00,23.88,3.00,true,true,true
54,34081,0.207503,0.249004,0.249004,-0.041501,-0.041501,3.00,2.00,3.00,true,true,true
