group,seed,survived,avg_pop,avg_energy,eat_ratio,refresh_ratio,divide_ratio
A_square_d200,200,true,2.00,98.00,0.249004,0.249004,0.000000
A_square_d200,201,true,2.00,98.00,0.249004,0.249004,0.000000
A_square_d200,202,true,2.00,98.00,0.249004,0.249004,0.000000
A_square_d200,203,true,20.80,24.50,0.259143,0.075431,0.092372
A_square_d200,204,true,2.00,98.00,0.249004,0.249004,0.000000
A_square_d200,205,true,2.00,98.00,0.249004,0.249004,0.000000
A_square_d200,206,true,2.00,98.00,0.249004,0.249004,0.000000
A_square_d200,207,true,2.00,98.00,0.249004,0.249004,0.000000
A_square_d200,208,true,20.00,25.20,0.252426,0.137808,0.096610
A_square_d200,209,true,20.11,22.22,0.408338,0.057986,0.123358
A_square_d200,210,true,21.86,19.96,0.258927,0.024340,0.126979
A_square_d200,211,true,2.00,98.00,0.249004,0.249004,0.000000
A_square_d200,212,true,20.48,22.94,0.442806,0.025661,0.121236
A_square_d200,213,true,10.86,66.28,0.372720,0.202297,0.038112
A_square_d200,214,true,2.00,98.00,0.249004,0.249004,0.000000
A_square_d200,215,true,2.00,98.00,0.249004,0.249004,0.000000
A_square_d200,216,true,19.88,24.85,0.484288,0.039730,0.154560
A_square_d200,217,true,22.00,22.91,0.164373,0.240611,0.106310
A_square_d200,218,true,16.65,32.15,0.353096,0.056972,0.126920
A_square_d200,219,true,21.23,20.50,0.245476,0.217197,0.092053
A_square_d200,220,true,22.02,21.56,0.303379,0.039963,0.115815
A_square_d200,221,true,17.16,30.79,0.356870,0.042063,0.140361
A_square_d200,222,true,2.00,98.00,0.249004,0.249004,0.000000
A_square_d200,223,true,20.28,28.10,0.248467,0.231533,0.073763
A_square_d200,224,true,20.88,27.22,0.293093,0.054339,0.088215
A_square_d200,225,true,20.39,26.61,0.376455,0.025164,0.137617
A_square_d200,226,true,2.00,98.00,0.249004,0.249004,0.000000
A_square_d200,227,true,2.00,98.00,0.249004,0.249004,0.000000
A_square_d200,228,true,2.00,98.00,0.249004,0.249004,0.000000
A_square_d200,229,true,18.00,27.67,0.361133,0.142207,0.085079
B_sine_d200,200,true,2.00,97.00,0.249004,0.249004,0.000000
B_sine_d200,201,true,3.00,97.00,0.249004,0.249004,0.000000
B_sine_d200,202,true,22.25,47.21,0.232589,0.218719,0.070058
