organism_id,generation,chain_depth,has_gate,total_muts_in_chain,gate_slot_muts,gate_survived_muts,genome_len,genome
616770,6086,6087,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616826,6086,6087,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616850,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616864,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616872,6088,6089,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616874,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616875,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616876,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616877,6088,6089,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616878,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616879,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616880,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616881,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616882,6088,6089,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616883,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616884,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616885,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616886,6088,6089,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616887,6088,6089,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616888,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616889,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616890,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616891,6088,6089,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616892,6088,6089,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616893,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
616894,6087,6088,1,4,0,4,10,"SENSE_SELF|EAT|LOAD|SENSE_SELF|CMP|STORE|GATE|DIVIDE|EAT|LOAD"
20,0,1,0,0,0,0,4,"EAT|LOAD|REFRESH|JMP"
