round,refresh_diff,eat_diff,pop_diff,refresh_p,refresh_d,g1_refresh,g2_refresh
0,0.090418,0.005935,-14.08,0.001499,1.2462,0.094732,0.004314
1,-0.003450,0.058722,1.44,0.289919,-0.0440,0.049202,0.052652
2,0.005321,0.034801,-10.94,0.049366,0.0791,0.038179,0.032858
3,0.040969,0.023169,-10.92,0.000507,0.9691,0.044392,0.003423
4,0.072663,0.026407,-5.29,0.010165,1.1398,0.085149,0.012485
5,0.008409,0.005332,-7.50,0.034294,0.4462,0.021231,0.012821
6,0.038542,0.041758,-5.14,0.041250,0.5211,0.073167,0.034625
7,0.048799,-0.006953,-8.21,0.019110,0.5527,0.088822,0.040023
8,0.047672,0.000587,-9.08,0.069642,0.6727,0.074606,0.026933
9,0.085225,0.011930,-10.38,0.015564,1.2501,0.101936,0.016711
10,0.061504,0.021463,-15.02,0.001940,0.7834,0.080706,0.019202
11,0.056716,0.025100,-10.53,0.023342,0.9426,0.070734,0.014018
12,-0.010862,-0.004043,-5.08,0.096304,-0.1431,0.039085,0.049948
13,0.048937,0.059701,-5.79,0.004072,0.6774,0.073397,0.024460
14,-0.021464,0.025513,-8.91,0.041250,-0.3784,0.018040,0.039504
15,0.035463,0.031793,-13.51,0.041250,0.3637,0.098597,0.063134
16,0.045038,-0.008367,-9.55,0.041250,0.7704,0.054488,0.009451
17,0.011675,0.068497,1.31,0.256839,0.1540,0.054573,0.042898
18,0.041820,0.013457,-7.94,0.173617,0.4565,0.079657,0.037837
19,0.021080,-0.016278,-6.85,0.015564,0.3568,0.047268,0.026187
20,0.054951,0.019970,-12.47,0.012611,0.6891,0.079138,0.024187
21,0.039617,0.004362,-4.53,0.049366,0.5079,0.075087,0.035470
22,-0.007202,0.020939,-3.99,0.762369,-0.1213,0.032486,0.039688
23,0.067528,0.050421,-1.39,0.000157,1.0690,0.069151,0.001623
24,0.092861,-0.007073,-14.04,0.006502,1.2233,0.103768,0.010906
25,0.008493,0.024543,-10.37,0.058782,0.1443,0.037121,0.028628
26,0.010498,0.006208,-6.76,0.256839,0.1266,0.073430,0.062932
27,0.021942,0.009258,-5.18,0.000881,0.8253,0.024531,0.002589
28,0.053098,-0.019318,-9.86,0.006502,0.9692,0.060006,0.006908
29,0.071700,-0.002251,-14.13,0.001940,0.8674,0.094463,0.022762
30,0.035789,0.041871,-7.72,0.005159,0.7940,0.044428,0.008639
31,0.045540,0.017316,-12.62,0.006502,0.6953,0.064128,0.018588
32,0.060060,0.004907,-1.53,0.082099,0.9103,0.081984,0.021924
33,0.010138,0.035437,-6.20,0.198765,0.1508,0.047887,0.037749
34,0.057515,-0.006859,-4.20,0.049366,0.7602,0.085491,0.027976
35,0.006653,-0.008113,-7.52,0.198765,0.1220,0.037831,0.031178
