group,seed,survived,pop,energy,eat,refresh,divide
abundant_scarce,400,true,30.25,26.50,0.264866,0.008542,0.022183
always_scarce,400,true,38.91,24.71,0.218578,0.013517,0.023092
abundant_scarce,401,true,21.48,36.66,0.234529,0.043627,0.018473
always_scarce,401,true,39.15,24.76,0.259515,0.000064,0.022867
abundant_scarce,402,true,28.82,28.54,0.264229,0.016784,0.021289
always_scarce,402,true,40.09,24.92,0.262232,0.000261,0.022886
abundant_scarce,403,true,30.27,26.71,0.300939,0.008511,0.022123
always_scarce,403,true,35.46,27.33,0.238530,0.043783,0.022231
abundant_scarce,404,true,32.99,21.76,0.216426,0.185603,0.077349
always_scarce,404,true,33.73,28.61,0.249152,0.000113,0.021102
abundant_scarce,405,true,30.31,26.57,0.306130,0.008471,0.022134
always_scarce,405,true,38.25,24.86,0.218030,0.000570,0.022880
abundant_scarce,406,true,17.88,49.05,0.206646,0.197922,0.045412
always_scarce,406,true,32.47,28.64,0.302865,0.013996,0.021497
abundant_scarce,407,true,26.79,33.96,0.221440,0.009513,0.018236
always_scarce,407,true,41.26,24.92,0.201290,0.000167,0.022878
abundant_scarce,408,true,5.00,97.20,0.222888,0.222887,0.000000
always_scarce,408,true,39.15,24.91,0.215736,0.000197,0.022997
abundant_scarce,409,true,24.28,34.13,0.207939,0.029307,0.018849
always_scarce,409,true,26.79,35.55,0.212474,0.025261,0.018650
