seed,group,survived,pop,energy,refresh,eat,divide
9000,exp,true,30.17,24.07,0.196510,0.122115,0.072312
9000,ctrl,true,39.74,25.14,0.000823,0.256065,0.022702
9001,exp,true,9.00,94.68,0.226134,0.213910,0.000000
9001,ctrl,true,23.78,40.15,0.046955,0.159863,0.017912
9002,exp,true,7.00,96.64,0.217665,0.201949,0.000000
9002,ctrl,true,36.02,26.94,0.000091,0.235167,0.021746
9003,exp,true,26.37,31.38,0.026573,0.289185,0.020134
9003,ctrl,true,28.40,36.78,0.211745,0.130269,0.061004
9004,exp,true,6.00,96.18,0.224606,0.132930,0.000000
9004,ctrl,true,29.42,29.02,0.014532,0.263146,0.021115
9005,exp,true,11.00,90.88,0.220522,0.190519,0.000000
9005,ctrl,true,36.28,26.20,0.008366,0.298284,0.022124
9006,exp,true,26.67,21.08,0.020198,0.371754,0.117888
9006,ctrl,true,29.74,31.18,0.022329,0.297712,0.020352
9007,exp,true,24.43,32.27,0.028818,0.279682,0.019873
9007,ctrl,true,23.69,38.37,0.048048,0.283933,0.017727
9008,exp,true,6.00,96.67,0.215438,0.197103,0.000000
9008,ctrl,true,36.16,26.50,0.006353,0.303123,0.022103
9009,exp,true,29.92,29.27,0.016185,0.147626,0.021275
9009,ctrl,true,46.00,25.48,0.000044,0.208981,0.022958
9010,exp,true,7.00,81.99,0.209582,0.160863,0.000000
9010,ctrl,true,30.09,38.83,0.155423,0.247597,0.052291
9011,exp,true,26.30,31.09,0.019368,0.211042,0.020279
9011,ctrl,true,32.65,28.60,0.020906,0.268845,0.021408
9012,exp,true,29.61,28.54,0.008686,0.217954,0.020949
9012,ctrl,true,37.14,25.67,0.025979,0.258205,0.022132
9013,exp,true,29.39,29.44,0.016200,0.147639,0.021298
9013,ctrl,false,0.00,0.00,0.000000,0.000000,0.000000
9014,exp,true,33.30,28.24,0.007635,0.154875,0.022112
9014,ctrl,true,31.61,29.79,0.036323,0.234140,0.020947
9015,exp,true,6.00,88.15,0.202342,0.207580,0.000000
9015,ctrl,true,39.91,24.82,0.000095,0.300605,0.022681
9016,exp,true,5.00,96.16,0.225522,0.137514,0.000000
9016,ctrl,true,45.88,24.94,0.219811,0.087954,0.022198
9017,exp,true,27.31,28.96,0.017768,0.300662,0.021061
9017,ctrl,true,29.44,32.13,0.007859,0.226596,0.019386
9018,exp,true,6.00,96.41,0.220939,0.220939,0.000000
9018,ctrl,true,29.86,31.46,0.022376,0.286390,0.020395
9019,exp,true,19.86,37.15,0.045638,0.270063,0.017923
9019,ctrl,true,29.48,31.32,0.000077,0.214241,0.020051
9020,exp,true,26.71,30.50,0.018100,0.248179,0.020062
