group,bucket,eat,refresh,divide,total,eat_pct,refresh_pct,divide_pct
exp,0-20%,2924575848,2455906573,1385372913,14136304922,0.2069,0.1737,0.0980
exp,20-40%,1168478530,776239682,481762138,4734045638,0.2468,0.1640,0.1018
exp,40-60%,151936770,343530792,390114093,2252582120,0.0675,0.1525,0.1732
exp,60-80%,32216304,19667890,13500283,139125401,0.2316,0.1414,0.0970
exp,80-100%,639416172,648910879,119537584,2754502714,0.2321,0.2356,0.0434
ctrl,0-20%,2074879596,1766089093,1481994320,14112919716,0.1470,0.1251,0.1050
ctrl,20-40%,535296851,268328497,269571081,2658849486,0.2013,0.1009,0.1014
ctrl,40-60%,341381689,279696769,142262853,2078952230,0.1642,0.1345,0.0684
ctrl,60-80%,129906176,317210593,115032036,1744410314,0.0745,0.1818,0.0659
ctrl,80-100%,875335246,940337577,115023278,5299317160,0.1652,0.1774,0.0217
