tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,5.50,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,21,950.48,5.62,548.24,252.43,5450,5586,1402,23971,0.227358,0.233032,0.058487,0.176755,0.000000,6
2000,21,1914.62,5.62,1057.95,253.00,4943,5114,1443,21099,0.234277,0.242381,0.068392,0.000000,0.000000,16
3000,20,3028.60,5.50,1682.65,253.45,4801,4978,1314,20177,0.237944,0.246717,0.065124,0.000000,0.000000,25
4000,20,4046.05,5.50,2219.85,253.10,4807,4962,1296,20089,0.239285,0.247001,0.064513,0.000000,0.000000,35
5000,20,5075.05,5.50,2793.45,253.85,4811,4988,1189,20082,0.239568,0.248382,0.059207,0.000000,0.000000,45
6000,20,6143.05,5.50,3455.45,252.90,4838,5005,1009,20065,0.241116,0.249439,0.050287,0.000000,0.000000,54
7000,25,5775.04,6.00,3286.44,242.52,4915,4971,1071,20414,0.240766,0.243509,0.052464,0.121212,0.000000,67
8000,24,6866.79,5.92,4063.12,228.21,6538,4772,2664,29948,0.218312,0.159343,0.088954,0.191299,0.000000,73
9000,22,8410.64,5.73,4923.82,239.32,5402,4713,1540,23206,0.232785,0.203094,0.066362,0.200384,0.000000,80
10000,23,8933.52,5.83,5320.09,233.87,5379,4711,1516,22948,0.234400,0.205290,0.066062,0.196705,0.000000,91
11000,23,9812.87,5.83,5887.87,241.74,5388,4723,1553,23072,0.233530,0.204707,0.067311,0.200820,0.000000,101
12000,25,9829.56,6.00,5942.12,239.36,5419,4713,1588,23301,0.232565,0.202266,0.068152,0.191283,0.000000,111
13000,22,12092.27,5.73,7348.14,236.59,5438,4711,1581,23308,0.233310,0.202119,0.067831,0.195603,0.000000,119
14000,24,11922.33,5.92,7289.62,228.67,5445,4723,1602,23401,0.232682,0.201829,0.068459,0.197348,0.000000,126
15000,23,13317.09,5.83,8161.35,232.96,5411,4712,1543,23261,0.232621,0.202571,0.066334,0.192063,0.000000,134
16000,23,14192.48,5.83,8701.30,243.35,5383,4738,1530,22844,0.235642,0.207407,0.066976,0.195923,0.000000,143
17000,25,13851.20,6.00,8540.68,235.68,5429,4752,1591,23145,0.234565,0.205314,0.068741,0.196957,0.000000,152
18000,29,12575.97,6.28,7839.52,250.03,5798,4934,1733,23961,0.241977,0.205918,0.072326,0.241243,0.000000,162
19000,28,13431.82,6.21,8661.18,242.89,7990,5699,2472,27984,0.285520,0.203652,0.088336,0.336959,0.000000,169
20000,29,13360.83,6.28,8962.10,240.79,7998,5675,2503,28044,0.285195,0.202361,0.089253,0.337558,0.000000,182
21000,27,14768.37,6.15,10292.04,236.26,8012,5692,2493,28074,0.285389,0.202750,0.088801,0.337215,0.000000,195
22000,26,15773.73,6.08,11372.81,247.42,8034,5700,2474,28047,0.286448,0.203230,0.088209,0.340328,0.000000,208
23000,28,15049.89,6.21,11198.25,251.36,8022,5796,2415,27523,0.291465,0.210588,0.087745,0.392593,0.000000,225
24000,26,16670.88,6.08,12036.19,249.77,8050,5826,2409,26916,0.299079,0.216451,0.089501,0.390839,0.000000,241
25000,26,17154.85,6.08,12729.27,249.12,8050,5806,2404,26553,0.303167,0.218657,0.090536,0.393030,0.000000,258
26000,26,17635.81,6.08,13421.73,252.15,8085,5861,2411,26554,0.304474,0.220720,0.090796,0.391317,0.000000,273
27000,26,18113.27,6.08,14110.81,251.46,8220,5986,2417,26588,0.309162,0.225139,0.090906,0.389794,0.000000,290
28000,25,19342.88,6.00,15418.68,250.56,8360,6125,2417,26560,0.314759,0.230610,0.091002,0.390264,0.000000,306
29000,27,18373.52,6.15,15018.70,252.33,8399,6171,2414,26610,0.315633,0.231905,0.090718,0.389397,0.000000,323
30000,26,19555.15,6.08,16365.81,253.23,8439,6184,2426,26717,0.315866,0.231463,0.090804,0.388227,0.000000,340
31000,26,20041.12,6.08,17139.19,250.73,8420,6162,2411,26638,0.316090,0.231324,0.090510,0.388317,0.000000,356
32000,27,19761.63,6.15,17242.19,253.59,8592,6340,2430,26732,0.321413,0.237169,0.090902,0.386435,0.000000,132
33000,26,20997.31,6.08,18671.73,253.69,8635,6360,2440,26790,0.322322,0.237402,0.091079,0.391892,0.000000,132
34000,26,21482.27,6.08,19442.27,252.88,8616,6341,2426,26713,0.322540,0.237375,0.090817,0.392938,0.000000,132
35000,27,21150.78,6.15,19465.00,253.44,8602,6331,2432,26708,0.322076,0.237045,0.091059,0.392319,0.000000,132
36000,25,23338.68,6.00,21823.32,253.88,8633,6360,2436,26788,0.322271,0.237420,0.090936,0.390948,0.000000,132
37000,25,23843.52,6.00,22624.12,252.88,8609,6338,2432,26703,0.322398,0.237352,0.091076,0.392167,0.000000,132
38000,27,22539.96,6.15,21687.74,253.59,8622,6350,2431,26700,0.322921,0.237828,0.091049,0.394146,0.000000,132
39000,26,23882.50,6.08,23288.27,253.69,8635,6360,2436,26790,0.322322,0.237402,0.090929,0.391892,0.000000,132
40000,26,24367.46,6.08,24058.81,252.88,8617,6336,2431,26717,0.322529,0.237152,0.090991,0.392741,0.000000,132
41000,27,23927.19,6.15,23906.63,253.59,8580,6351,2435,26711,0.321216,0.237767,0.091161,0.391545,0.000000,132
42000,26,25324.27,6.08,25596.58,253.77,8629,6360,2440,26789,0.322110,0.237411,0.091082,0.390738,0.000000,132
43000,25,26840.96,6.00,27422.20,252.88,8610,6350,2417,26749,0.321881,0.237392,0.090359,0.387912,0.000000,132
44000,27,25315.37,6.15,26130.41,253.59,8601,6345,2432,26704,0.322087,0.237605,0.091072,0.393190,0.000000,132
45000,26,26765.85,6.08,27905.88,253.77,8629,6360,2445,26789,0.322110,0.237411,0.091269,0.390979,0.000000,132
