tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,5.50,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,20,527.00,5.50,537.50,252.50,5330,5320,1425,23275,0.229001,0.228571,0.061224,0.174051,0.000000,6
2000,20,521.50,5.50,1017.50,252.50,4775,4780,1445,20100,0.237562,0.237811,0.071891,0.000000,0.000000,16
3000,20,530.15,5.50,1549.50,253.15,4772,4777,1426,20090,0.237531,0.237780,0.070981,0.000000,0.000000,25
4000,20,552.75,5.50,2078.95,253.25,4902,4684,1390,20124,0.243590,0.232757,0.069072,0.000000,0.000000,69
5000,20,566.25,5.50,2612.75,253.65,4911,4683,1418,20132,0.243940,0.232615,0.070435,0.000000,0.000000,121
6000,20,572.95,5.50,3188.90,252.90,4909,4910,1402,20115,0.244047,0.244096,0.069699,0.000000,0.000000,164
7000,20,584.60,5.50,3774.30,252.90,4922,4912,1273,20114,0.244705,0.244208,0.063289,0.000000,0.000000,208
8000,20,595.50,5.50,4360.85,254.30,4912,4921,1269,20113,0.244220,0.244668,0.063094,0.000000,0.000000,251
9000,20,614.65,5.50,4982.65,253.60,4909,4909,1269,20107,0.244144,0.244144,0.063112,0.000000,0.000000,295
10000,20,616.30,5.50,5569.20,252.25,4919,4908,1271,20113,0.244568,0.244021,0.063193,0.000000,0.000000,338
11000,20,621.45,5.50,6191.00,252.75,4910,4918,1273,20107,0.244194,0.244591,0.063311,0.000000,0.000000,382
12000,100,385.14,7.50,1534.99,252.09,9621,7254,3571,36358,0.264619,0.199516,0.098218,0.361393,0.000000,418
13000,100,959.57,7.50,2534.99,251.91,27889,16317,12682,100000,0.278890,0.163170,0.126820,0.000000,0.000000,418
14000,100,976.10,7.50,3534.99,251.55,27880,16320,12678,100000,0.278800,0.163200,0.126780,0.000000,0.000000,418
15000,81,495.48,7.38,4853.72,251.72,27854,16284,12644,99831,0.279012,0.163116,0.126654,0.304556,0.000000,116
16000,35,365.37,6.57,6732.43,252.43,15790,9927,6102,55319,0.285435,0.179450,0.110306,0.317975,0.000000,117
17000,35,363.23,6.57,7470.91,252.69,10526,7201,3357,36049,0.291991,0.199756,0.093123,0.336939,0.000000,117
18000,37,343.03,6.65,7782.54,252.51,10547,7202,3360,36092,0.292225,0.199546,0.093095,0.337625,0.000000,117
19000,38,333.00,6.68,8255.32,252.45,10552,7200,3361,36056,0.292656,0.199689,0.093216,0.339178,0.000000,117
20000,34,374.44,6.53,9992.56,253.09,10520,7196,3348,36019,0.292068,0.199783,0.092951,0.339891,0.000000,117
21000,38,332.53,6.68,9628.61,252.58,10532,7199,3353,36078,0.291923,0.199540,0.092938,0.336751,0.000000,117
22000,38,334.24,6.68,10306.84,251.97,10530,7187,3357,36021,0.292329,0.199523,0.093196,0.338590,0.000000,117
23000,38,333.71,6.68,10989.71,252.84,10543,7210,3356,36080,0.292212,0.199834,0.093016,0.338732,0.000000,117
24000,40,316.88,6.75,11100.80,252.57,10537,7184,3352,36036,0.292402,0.199356,0.093018,0.337989,0.000000,117
25000,38,334.34,6.68,12362.89,252.32,10561,7204,3368,36097,0.292573,0.199573,0.093304,0.337767,0.000000,117
26000,34,375.94,6.53,14579.88,252.94,10519,7196,3355,36002,0.292178,0.199878,0.093189,0.337928,0.000000,116
27000,33,388.18,6.48,15809.42,252.61,10543,7198,3358,36067,0.292317,0.199573,0.093104,0.340633,0.000000,116
28000,36,353.28,6.61,15212.28,252.17,10570,7207,3374,36128,0.292571,0.199485,0.093390,0.337667,0.000000,116
29000,35,363.54,6.57,16388.94,253.09,10541,7211,3365,36087,0.292100,0.199823,0.093247,0.336862,0.000000,117
30000,35,363.66,6.57,17134.89,252.80,10556,7208,3358,36121,0.292240,0.199552,0.092965,0.336225,0.000000,117
31000,36,351.64,6.61,17383.39,252.28,10552,7197,3364,36083,0.292437,0.199457,0.093229,0.338689,0.000000,117
32000,35,363.11,6.57,18618.14,252.94,10523,7205,3348,36037,0.292005,0.199933,0.092905,0.339286,0.000000,117
33000,36,352.97,6.61,18826.94,252.47,10556,7207,3370,36127,0.292191,0.199491,0.093282,0.335359,0.000000,117
34000,36,351.75,6.61,19546.69,252.42,10552,7203,3365,36087,0.292404,0.199601,0.093247,0.337848,0.000000,116
35000,37,341.57,6.65,19718.59,252.81,10528,7193,3352,36042,0.292104,0.199573,0.093003,0.336476,0.000000,116
36000,35,363.86,6.57,21592.03,252.91,10550,7199,3355,36085,0.292365,0.199501,0.092975,0.339728,0.000000,117
37000,36,353.81,6.61,21715.33,252.42,10547,7191,3353,36023,0.292785,0.199622,0.093079,0.341243,0.000000,117
38000,37,342.05,6.65,21829.59,252.65,10535,7206,3361,36086,0.291941,0.199690,0.093139,0.338569,0.000000,117
39000,35,363.66,6.57,23819.77,252.54,10544,7197,3351,36061,0.292393,0.199578,0.092926,0.337690,0.000000,117
40000,38,333.82,6.68,22622.71,252.53,10528,7196,3344,36022,0.292266,0.199767,0.092832,0.338395,0.000000,117
41000,38,334.08,6.68,23305.68,252.89,10529,7201,3354,36032,0.292212,0.199850,0.093084,0.337065,0.000000,117
42000,37,342.73,6.65,24643.68,252.49,10556,7198,3352,36089,0.292499,0.199451,0.092881,0.339760,0.000000,117
43000,37,343.70,6.65,25343.14,252.19,10540,7194,3356,36034,0.292502,0.199645,0.093134,0.339860,0.000000,116
44000,38,333.61,6.68,25369.97,252.79,10534,7215,3359,36063,0.292100,0.200067,0.093143,0.336932,0.000000,116
45000,39,324.44,6.72,25374.82,252.67,10552,7195,3364,36072,0.292526,0.199462,0.093258,0.337514,0.000000,117
46000,37,344.41,6.65,27451.46,252.43,10537,7189,3354,36022,0.292516,0.199572,0.093110,0.337144,0.000000,117
47000,35,364.09,6.57,29767.66,252.91,10540,7206,3365,36089,0.292056,0.199673,0.093242,0.335933,0.000000,116
48000,32,398.03,6.44,33365.75,252.69,10567,7213,3370,36135,0.292431,0.199613,0.093261,0.338337,0.000000,117
49000,36,352.94,6.61,30380.64,252.22,10545,7194,3359,36050,0.292510,0.199556,0.093176,0.338003,0.000000,117
50000,36,353.25,6.61,31115.61,253.11,10533,7214,3360,36051,0.292169,0.200105,0.093201,0.337767,0.000000,117
