tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,5.50,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,20,527.00,5.50,537.50,255.00,5330,5320,1425,23275,0.229001,0.228571,0.061224,0.174051,0.000000,6
2000,20,521.50,5.50,1017.50,255.00,4775,4780,1445,20100,0.237562,0.237811,0.071891,0.000000,0.000000,16
3000,20,529.25,5.50,1549.50,255.00,4770,4775,1440,20090,0.237432,0.237680,0.071677,0.000000,0.000000,25
4000,20,526.00,5.50,2029.50,255.00,4785,4775,1440,20100,0.238060,0.237562,0.071642,0.000000,0.000000,35
5000,20,518.00,5.50,2509.50,255.00,4770,4780,1445,20100,0.237313,0.237811,0.071891,0.000000,0.000000,45
6000,19,549.74,5.37,3193.63,255.00,4638,4630,1317,19195,0.241625,0.241209,0.068612,0.000000,0.000000,55
7000,19,548.63,5.37,3704.89,255.00,4642,4487,1299,19094,0.243113,0.234995,0.068032,0.000000,0.000000,69
8000,19,542.32,5.37,4212.53,255.00,4630,4495,1297,19095,0.242472,0.235402,0.067924,0.000000,0.000000,84
9000,19,549.79,5.37,4767.58,255.00,4627,4482,1297,19086,0.242429,0.234832,0.067956,0.000000,0.000000,98
10000,19,544.68,5.37,5275.21,255.00,4637,4482,1302,19095,0.242838,0.234721,0.068185,0.000000,0.000000,113
11000,19,557.53,5.37,5841.21,255.00,4632,4492,1257,19084,0.242716,0.235380,0.065867,0.000000,0.000000,127
12000,19,566.95,5.37,6403.58,255.00,4628,4486,1153,19085,0.242494,0.235054,0.060414,0.000000,0.000000,142
13000,19,580.42,5.37,6971.63,255.00,4637,4346,1154,19088,0.242927,0.227682,0.060457,0.000000,0.000000,156
14000,19,615.68,5.37,7599.95,255.00,4643,4362,1058,19078,0.243369,0.228640,0.055457,0.000000,0.000000,171
15000,19,641.89,5.37,8224.58,255.00,4652,4359,1011,19078,0.243841,0.228483,0.052993,0.000000,0.000000,185
16000,19,654.53,5.37,8872.95,255.00,4661,4364,999,19074,0.244364,0.228793,0.052375,0.000000,0.000000,199
17000,18,720.56,5.22,10074.28,255.00,4614,4320,807,18719,0.246488,0.230782,0.043111,0.000000,0.000000,199
18000,18,730.67,5.22,10792.11,255.00,4508,4196,706,18045,0.249820,0.232530,0.039124,0.000000,0.000000,199
19000,18,736.78,5.22,11531.11,255.00,4519,4198,702,18041,0.250485,0.232692,0.038911,0.000000,0.000000,213
20000,18,732.89,5.22,12236.11,255.00,4512,4210,703,18045,0.250042,0.233306,0.038958,0.000000,0.000000,228
21000,18,731.67,5.22,12957.78,255.00,4509,4196,701,18044,0.249889,0.232543,0.038849,0.000000,0.000000,242
22000,18,735.11,5.22,13692.94,255.00,4517,4197,703,18042,0.250360,0.232624,0.038965,0.000000,0.000000,257
23000,18,744.22,5.22,14407.56,255.00,4529,4208,686,18043,0.251011,0.233221,0.038020,0.000000,0.000000,271
24000,18,787.50,5.22,15194.72,255.00,4652,4195,559,18033,0.257971,0.232629,0.030999,0.000000,0.000000,286
25000,18,788.61,5.22,15974.17,255.00,4660,4199,558,18034,0.258401,0.232838,0.030942,0.000000,0.000000,300
26000,18,784.56,5.22,16736.94,255.00,4652,4207,559,18035,0.257943,0.233269,0.030995,0.000000,0.000000,315
27000,18,787.06,5.22,17527.94,255.00,4650,4195,560,18032,0.257875,0.232642,0.031056,0.000000,0.000000,329
28000,18,788.33,5.22,18303.56,255.00,4663,4195,559,18035,0.258553,0.232603,0.030995,0.000000,0.000000,344
29000,18,788.28,5.22,19081.72,255.00,4649,4208,559,18032,0.257819,0.233363,0.031000,0.000000,0.000000,358
30000,18,786.11,5.22,19857.33,255.00,4651,4196,558,18035,0.257887,0.232659,0.030940,0.000000,0.000000,373
31000,18,786.50,5.22,20636.78,255.00,4658,4196,561,18034,0.258290,0.232672,0.031108,0.000000,0.000000,387
32000,18,785.89,5.22,21411.11,255.00,4652,4207,558,18033,0.257971,0.233295,0.030943,0.000000,0.000000,402
33000,18,785.94,5.22,22190.56,255.00,4652,4197,559,18034,0.257957,0.232727,0.030997,0.000000,0.000000,416
34000,18,786.00,5.22,22966.17,255.00,4661,4197,558,18035,0.258442,0.232714,0.030940,0.000000,0.000000,431
35000,18,787.28,5.22,23744.33,255.00,4652,4204,558,18032,0.257986,0.233141,0.030945,0.000000,0.000000,445
36000,18,784.67,5.22,24520.06,255.00,4649,4132,560,18037,0.257748,0.229085,0.031047,0.000000,0.000000,460
37000,18,794.11,5.22,25315.17,255.00,4667,4057,532,18036,0.258760,0.224939,0.029497,0.000000,0.000000,474
38000,18,817.83,5.22,26136.00,255.00,4674,4086,415,18030,0.259235,0.226622,0.023017,0.000000,0.000000,489
39000,18,862.56,5.22,27011.83,255.00,4687,4074,321,18019,0.260114,0.226095,0.017815,0.000000,0.000000,494
40000,18,893.06,5.22,27903.00,255.00,4706,4075,270,18015,0.261227,0.226200,0.014988,0.000000,0.000000,494
41000,18,892.50,5.22,28785.17,255.00,4698,4086,271,18014,0.260797,0.226824,0.015044,0.000000,0.000000,494
42000,18,891.06,5.22,29676.33,255.00,4694,4071,271,18015,0.260561,0.225978,0.015043,0.000000,0.000000,494
43000,18,894.06,5.22,30571.33,255.00,4705,4076,269,18014,0.261186,0.226268,0.014933,0.000000,0.000000,494
44000,18,891.28,5.22,31449.67,255.00,4697,4085,271,18015,0.260727,0.226755,0.015043,0.000000,0.000000,494
45000,18,891.61,5.22,32344.67,255.00,4694,4074,270,18014,0.260575,0.226157,0.014988,0.000000,0.000000,494
46000,18,892.94,5.22,33235.83,255.00,4706,4075,271,18015,0.261227,0.226200,0.015043,0.000000,0.000000,494
47000,18,892.39,5.22,34118.00,255.00,4698,4086,270,18014,0.260797,0.226824,0.014988,0.000000,0.000000,504
48000,18,891.39,5.22,35009.17,255.00,4695,4073,271,18015,0.260616,0.226089,0.015043,0.000000,0.000000,519
49000,18,894.50,5.22,35904.17,255.00,4706,4074,270,18014,0.261241,0.226157,0.014988,0.000000,0.000000,533
50000,18,891.67,5.22,36782.50,255.00,4696,4086,271,18015,0.260672,0.226811,0.015043,0.000000,0.000000,548
51000,18,890.50,5.22,37677.33,255.00,4679,4167,255,18004,0.259887,0.231449,0.014164,0.000000,0.000000,555
52000,18,893.67,5.22,38574.67,255.00,4687,4201,268,18000,0.260389,0.233389,0.014889,0.000000,0.000000,559
53000,18,893.28,5.22,39466.39,255.00,4679,4207,374,18000,0.259944,0.233722,0.020778,0.000000,0.000000,564
54000,18,890.72,5.22,40345.28,255.00,4676,4196,375,18000,0.259778,0.233111,0.020833,0.000000,0.000000,569
55000,18,892.78,5.22,41237.00,255.00,4688,4197,375,18000,0.260444,0.233167,0.020833,0.000000,0.000000,574
56000,18,893.00,5.22,42128.72,255.00,4680,4206,373,18000,0.260000,0.233667,0.020722,0.000000,0.000000,579
57000,18,890.00,5.22,43007.61,255.00,4674,4194,375,18000,0.259667,0.233000,0.020833,0.000000,0.000000,584
58000,17,943.12,5.06,46482.82,255.00,4640,4151,295,17650,0.262890,0.235184,0.016714,0.000000,0.000000,494
59000,17,942.47,5.06,47428.47,255.00,4551,4085,126,17000,0.267706,0.240294,0.007412,0.000000,0.000000,494
60000,17,940.47,5.06,48360.53,255.00,4550,4074,125,17000,0.267647,0.239647,0.007353,0.000000,0.000000,494
61000,17,943.35,5.06,49306.18,255.00,4562,4075,126,17000,0.268353,0.239706,0.007412,0.000000,0.000000,494
62000,17,943.00,5.06,50251.82,255.00,4552,4086,125,17000,0.267765,0.240353,0.007353,0.000000,0.000000,494
63000,17,941.12,5.06,51183.88,255.00,4550,4072,126,17000,0.267647,0.239529,0.007412,0.000000,0.000000,494
64000,17,942.82,5.06,52129.53,255.00,4559,4075,125,17000,0.268176,0.239706,0.007353,0.000000,0.000000,494
65000,16,998.00,4.88,56378.75,255.00,4496,4033,73,16577,0.271219,0.243289,0.004404,0.000000,0.000000,494
66000,16,996.50,4.88,57378.75,255.00,4423,3948,0,16000,0.276438,0.246750,0.000000,0.000000,0.000000,494
67000,16,998.62,4.88,58378.75,255.00,4436,3950,0,16000,0.277250,0.246875,0.000000,0.000000,0.000000,494
68000,16,998.00,4.88,59378.75,255.00,4427,3960,0,16000,0.276687,0.247500,0.000000,0.000000,0.000000,494
