tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,5.50,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,21,957.43,5.62,548.24,252.43,5450,5440,1402,23971,0.227358,0.226941,0.058487,0.175643,0.000000,6
2000,21,1929.52,5.62,1057.95,252.86,4943,4947,1443,21099,0.234277,0.234466,0.068392,0.000000,0.000000,16
3000,20,3052.60,5.50,1682.65,253.30,4801,4811,1314,20177,0.237944,0.238440,0.065124,0.000000,0.000000,25
4000,20,4078.35,5.50,2219.85,253.10,4807,4796,1296,20089,0.239285,0.238738,0.064513,0.000000,0.000000,35
5000,20,5160.65,5.50,2793.45,253.40,4899,4802,1192,20082,0.243950,0.239120,0.059357,0.000000,0.000000,45
6000,20,6273.35,5.50,3408.65,252.55,4934,4792,1153,20074,0.245791,0.238717,0.057437,0.000000,0.000000,54
7000,20,7396.25,5.50,4018.65,253.10,4959,4807,1090,20075,0.247024,0.239452,0.054296,0.000000,0.000000,64
8000,20,8529.60,5.50,4665.05,253.85,4960,4825,1008,20068,0.247160,0.240433,0.050229,0.000000,0.000000,74
9000,20,9666.55,5.50,5327.05,253.50,4957,4816,1009,20065,0.247047,0.240020,0.050287,0.000000,0.000000,83
10000,20,10803.40,5.50,5968.25,252.25,4969,4814,1011,20069,0.247596,0.239872,0.050376,0.000000,0.000000,93
11000,20,11940.95,5.50,6630.25,252.80,4959,4824,1011,20065,0.247147,0.240419,0.050386,0.000000,0.000000,102
12000,20,13088.05,5.50,7318.25,253.00,4980,4998,871,20060,0.248255,0.249153,0.043420,0.000000,0.000000,112
13000,20,14241.75,5.50,8011.45,253.20,4991,5007,864,20059,0.248816,0.249614,0.043073,0.000000,0.000000,122
14000,20,15394.35,5.50,8720.25,253.40,4980,5012,867,20056,0.248305,0.249900,0.043229,0.000000,0.000000,131
15000,20,16543.60,5.50,9413.45,253.05,4982,5006,866,20059,0.248367,0.249564,0.043173,0.000000,0.000000,141
16000,19,18632.26,5.37,10655.32,253.26,4917,4936,794,19563,0.251342,0.252313,0.040587,0.000000,0.000000,150
17000,19,19842.42,5.37,11387.11,253.42,4838,4868,720,19049,0.253977,0.255551,0.037797,0.000000,0.000000,160
18000,19,21049.16,5.37,12113.42,253.11,4834,4862,723,19050,0.253753,0.255223,0.037953,0.000000,0.000000,170
19000,19,22269.79,5.37,12863.68,252.63,4848,4860,720,19040,0.254622,0.255252,0.037815,0.000000,0.000000,179
20000,19,23479.95,5.37,13598.89,253.79,4836,4870,721,19039,0.254005,0.255791,0.037870,0.000000,0.000000,189
21000,34,13666.29,6.53,8034.35,221.26,9843,4680,3059,35632,0.276240,0.131343,0.085850,0.316704,0.000000,207
