tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,5.50,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,22,500.55,5.73,528.23,252.50,5521,5511,1472,24464,0.225679,0.225270,0.060170,0.177136,0.000000,6
2000,21,542.33,5.62,1060.10,252.71,5068,5076,1576,22007,0.230290,0.230654,0.071614,0.000000,0.000000,16
3000,21,550.52,5.62,1609.43,253.24,4936,4942,1442,21091,0.234033,0.234318,0.068370,0.000000,0.000000,25
4000,21,557.67,5.62,2119.14,252.95,4970,4940,1422,21099,0.235556,0.234134,0.067397,0.000000,0.000000,35
5000,21,587.71,5.62,2678.38,253.29,5078,4946,1300,21089,0.240789,0.234530,0.061644,0.000000,0.000000,45
6000,21,593.71,5.62,3272.29,252.52,5080,4938,1286,21082,0.240964,0.234228,0.061000,0.000000,0.000000,54
7000,21,615.76,5.62,3876.10,253.19,5116,4964,1155,21080,0.242694,0.235484,0.054791,0.000000,0.000000,64
8000,21,632.33,5.62,4484.86,254.00,5104,4969,1152,21079,0.242137,0.235732,0.054652,0.000000,0.000000,74
9000,21,636.71,5.62,5123.33,253.43,5101,4960,1152,21073,0.242063,0.235372,0.054667,0.000000,0.000000,83
10000,21,636.29,5.62,5737.05,252.52,5115,4983,1139,21078,0.242670,0.236408,0.054037,0.000000,0.000000,93
11000,21,657.95,5.62,6420.10,252.52,5129,5156,1009,21064,0.243496,0.244778,0.047902,0.000000,0.000000,102
12000,21,668.43,5.62,7073.43,253.24,5123,5153,1009,21070,0.243142,0.244566,0.047888,0.000000,0.000000,112
13000,21,679.48,5.62,7731.71,253.00,5136,5150,1008,21069,0.243770,0.244435,0.047843,0.000000,0.000000,122
14000,20,714.00,5.50,8831.70,253.45,5082,5120,975,20804,0.244280,0.246107,0.046866,0.000000,0.000000,131
15000,20,710.95,5.50,9519.70,252.80,4983,5004,865,20060,0.248405,0.249452,0.043121,0.000000,0.000000,141
16000,20,717.75,5.50,10238.90,253.35,4991,5008,865,20054,0.248878,0.249726,0.043134,0.000000,0.000000,150
17000,20,712.70,5.50,10924.95,254.05,4981,5014,863,20051,0.248417,0.250062,0.043040,0.000000,0.000000,160
18000,74,269.27,7.32,3196.73,202.62,6211,4969,1426,24088,0.257846,0.206285,0.059200,0.468493,0.000000,179
19000,93,308.55,7.46,2888.12,201.15,22915,6927,10717,89018,0.257420,0.077816,0.120391,0.251344,0.000000,183
20000,100,363.81,7.50,3571.82,252.04,16714,15657,12221,98315,0.170005,0.159253,0.124305,0.214586,0.000000,174
21000,100,598.43,7.50,4571.82,252.56,16406,16434,12283,100000,0.164060,0.164340,0.122830,0.000000,0.000000,174
22000,100,639.07,7.50,5571.82,252.66,16421,16428,12278,100000,0.164210,0.164280,0.122780,0.000000,0.000000,174
23000,37,403.86,6.65,8701.78,252.54,13471,13494,9284,79182,0.170127,0.170418,0.117249,0.155888,0.000000,174
24000,36,444.25,6.61,8841.44,253.06,7486,7371,3083,36415,0.205575,0.202417,0.084663,0.176471,0.000000,182
25000,35,466.94,6.57,9548.03,252.63,7452,7301,2841,35895,0.207606,0.203399,0.079148,0.000000,0.000000,191
26000,35,486.97,6.57,10026.91,253.23,7355,7222,2595,35166,0.209151,0.205369,0.073793,0.000000,0.000000,201
27000,35,507.06,6.57,10544.43,252.66,7357,7392,2424,35153,0.209285,0.210281,0.068956,0.000000,0.000000,210
28000,35,529.34,6.57,11091.66,252.26,7385,7541,2306,35143,0.210141,0.214580,0.065618,0.000000,0.000000,220
29000,35,569.89,6.57,11650.77,252.97,7493,7567,2219,35139,0.213239,0.215345,0.063149,0.000000,0.000000,229
30000,35,580.94,6.57,12228.69,252.63,7578,7578,2179,35137,0.215670,0.215670,0.062014,0.000000,0.000000,241
31000,35,583.06,6.57,12786.26,253.17,7602,7594,2188,35145,0.216304,0.216076,0.062256,0.000000,0.000000,258
32000,35,586.69,6.57,13358.31,252.89,7590,7596,2189,35142,0.215981,0.216152,0.062290,0.000000,0.000000,275
33000,35,590.14,6.57,13933.34,253.06,7587,7591,2187,35141,0.215902,0.216015,0.062235,0.000000,0.000000,292
34000,36,578.83,6.61,14115.67,252.44,7609,7596,2134,35137,0.216552,0.216182,0.060734,0.000000,0.000000,308
35000,35,603.57,6.57,15114.80,252.86,7611,7622,2044,35134,0.216628,0.216941,0.058177,0.000000,0.000000,325
36000,35,612.23,6.57,15713.60,253.09,7612,7614,2043,35133,0.216662,0.216719,0.058150,0.000000,0.000000,342
37000,35,619.00,6.57,16318.34,252.80,7621,7612,2045,35131,0.216931,0.216675,0.058211,0.000000,0.000000,359
38000,35,619.09,6.57,16920.49,253.37,7613,7650,2015,35130,0.216709,0.217763,0.057358,0.000000,0.000000,376
39000,35,622.60,6.57,17546.03,252.63,7613,7749,1900,35124,0.216746,0.220618,0.054094,0.000000,0.000000,393
40000,34,642.65,6.53,18703.97,252.85,7523,7612,1754,34363,0.218927,0.221517,0.051043,0.000000,0.000000,410
41000,34,647.29,6.53,19353.26,253.09,7469,7518,1756,34116,0.218930,0.220366,0.051471,0.000000,0.000000,427
42000,33,669.73,6.48,20608.76,251.55,7438,7442,1735,33989,0.218836,0.218953,0.051046,0.000000,0.000000,362
43000,33,676.21,6.48,21279.97,252.48,7308,7296,1588,33100,0.220785,0.220423,0.047976,0.000000,0.000000,377
44000,32,698.25,6.44,22625.12,253.59,7251,7308,1501,32759,0.221344,0.223084,0.045819,0.000000,0.000000,374
